WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,WindSpeed,DewPoint,MeanSeaLevelPressure,MinimumTemperature,VaporPressure,Rainfall,WindDirection,LandVisibility,Rainfall24Hr,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,974.62,08-22-2019,07:00:00,95,0.0,24.2,1005.59,23.3,30.23,0.00,000,6.00,7.90,25.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,842.84,08-22-2019,07:00:00,99,5.6,18.2,1003.78,17.9,20.93,0.00,140,8.00,1.20,18.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,962.50,08-22-2019,07:00:00,93,3.7,23.4,1006.23,24.3,28.81,7.30,220,1.50,14.40,24.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,960.16,08-22-2019,07:00:00,95,0.0,23.9,1005.75,23.3,29.69,0.01,000,7.00,0.40,24.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,969.62,08-22-2019,07:00:00,100,0.0,23.8,1007.50,22.8,29.46,1.70,000,10.00,11.10,23.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,961.37,08-22-2019,07:00:00,91,5.6,23.4,1006.51,23.5,28.74,0.01,150,6.00,0.70,25.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,980.35,08-22-2019,07:00:00,96,0.0,23.8,1007.22,24.2,29.41,0.00,000,9.00,15.90,24.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.87,08-22-2019,07:00:00,92,0.0,23.8,1006.69,25.2,29.54,0.00,000,15.00,0.00,25.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,982.34,08-22-2019,07:00:00,96,0.0,24.8,1006.49,23.0,31.25,0.20,000,6.00,1.00,25.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,971.89,08-22-2019,07:00:00,92,0.0,23.6,1006.49,25.0,29.18,0.01,000,9.00,3.10,25.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,980.05,08-22-2019,07:00:00,98,0.0,24.5,1007.73,24.4,30.75,0.00,000,10.00,51.80,24.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.45,08-22-2019,07:00:00,97,0.0,24.9,1006.07,25.1,31.41,0.00,000,10.00,2.80,25.3
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,988.16,08-22-2019,07:00:00,96,0.0,24.3,1006.75,24.4,30.32,0.20,000,7.00,13.80,25.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,984.17,08-22-2019,07:00:00,97,0.0,24.1,1007.13,24.0,30.03,0.30,000,10.00,53.40,24.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,976.98,08-22-2019,07:00:00,92,0.0,23.2,1007.04,24.0,28.37,0.70,000,6.00,20.10,24.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,970.83,08-22-2019,07:00:00,96,0.0,23.8,1006.51,24.0,29.41,0.10,000,6.00,0.90,24.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,977.12,08-22-2019,07:00:00,99,0.0,24.0,1007.04,24.1,29.92,0.00,000,6.00,24.20,24.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.76,08-22-2019,07:00:00,93,0.0,24.2,1007.10,25.0,30.25,0.01,000,7.00,11.80,25.4
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,986.87,08-22-2019,07:00:00,97,0.0,25.2,1006.83,25.5,32.09,3.20,000,4.00,5.80,25.8
48353,LOEI,เลย,เลย,17.45000,101.73333,978.40,08-22-2019,07:00:00,95,0.0,24.1,1007.21,24.6,30.05,0.00,000,10.00,13.70,25.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,986.56,08-22-2019,07:00:00,95,3.7,24.7,1006.81,25.2,31.17,0.10,120,8.00,28.60,25.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,985.39,08-22-2019,07:00:00,93,3.7,23.8,1007.25,24.0,29.52,0.90,180,10.00,5.00,25.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,987.38,08-22-2019,07:00:00,96,5.6,24.3,1006.98,23.7,30.32,1.10,220,12.00,11.40,25.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,991.10,08-22-2019,07:00:00,95,0.0,23.5,1007.99,23.9,28.97,1.40,000,8.00,25.50,24.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,990.49,08-22-2019,07:00:00,97,0.0,24.0,1008.04,22.4,29.85,2.30,000,8.00,13.20,24.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,980.42,08-22-2019,07:00:00,96,0.0,24.8,1006.28,25.0,31.25,0.01,000,10.00,0.80,25.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.52,08-22-2019,07:00:00,98,0.0,25.7,1007.33,22.6,33.04,0.00,000,10.00,52.20,26.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1000.75,08-22-2019,07:00:00,100,0.0,25.7,1006.96,24.3,33.01,0.00,000,6.00,53.80,25.7
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,991.89,08-22-2019,07:00:00,94,0.0,23.7,1008.47,24.0,29.25,0.00,000,10.00,2.60,24.7
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,983.61,08-22-2019,07:00:00,93,5.6,22.8,1006.13,23.4,27.76,0.80,140,10.00,1.60,24.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,993.05,08-22-2019,07:00:00,96,0.0,24.4,1007.53,24.6,30.50,0.00,000,5.00,17.60,25.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,990.35,08-22-2019,07:00:00,92,0.0,24.0,1006.81,25.2,29.91,0.01,000,7.00,3.00,25.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.04,08-22-2019,07:00:00,93,3.7,24.7,1007.29,25.2,31.11,0.01,120,10.00,0.40,26.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,992.42,08-22-2019,07:00:00,96,0.0,23.8,1005.71,24.3,29.41,0.00,000,10.00,15.00,24.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,997.45,08-22-2019,07:00:00,97,0.0,25.1,1006.81,25.1,31.90,0.00,000,10.00,6.50,25.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,985.73,08-22-2019,07:00:00,85,7.4,23.1,1007.50,25.6,28.26,0.00,190,9.00,0.00,25.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,990.27,08-22-2019,07:00:00,92,0.0,24.6,1007.84,25.0,30.84,0.00,000,10.00,15.20,26.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,991.21,08-22-2019,07:00:00,96,3.7,24.8,1007.12,24.0,31.25,0.50,220,10.00,9.30,25.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,987.69,08-22-2019,07:00:00,82,7.4,23.0,1006.60,25.8,28.11,0.00,180,10.00,0.00,26.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,957.34,08-22-2019,07:00:00,95,0.0,21.4,1009.26,21.7,25.53,1.90,000,6.00,7.10,22.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.82,08-22-2019,07:00:00,94,14.8,24.8,1006.79,25.3,31.27,0.00,110,6.00,0.00,25.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.38,08-22-2019,07:00:00,96,7.4,19.8,1007.89,19.9,23.03,0.40,230,1.50,19.80,20.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,991.63,08-22-2019,07:00:00,98,0.0,25.3,1007.70,24.8,32.26,0.10,000,7.00,5.60,25.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.76,08-22-2019,07:00:00,93,0.0,24.8,1006.81,25.6,31.38,0.00,000,10.00,0.00,26.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.90,08-22-2019,07:00:00,92,0.0,24.1,1008.64,24.7,29.99,0.00,000,9.00,0.60,25.4
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.69,08-22-2019,07:00:00,92,9.3,24.0,1007.63,25.0,29.91,0.00,180,9.00,3.30,25.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,986.67,08-22-2019,07:00:00,89,0.0,23.5,1007.65,24.0,28.93,0.00,000,10.00,0.00,25.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,990.29,08-22-2019,07:00:00,97,11.1,24.8,1008.06,24.2,31.33,0.00,210,10.00,64.30,25.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,991.31,08-22-2019,07:00:00,97,0.0,25.0,1007.55,24.8,31.71,0.01,000,10.00,41.00,25.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,994.65,08-22-2019,07:00:00,92,0.0,23.9,1008.78,24.8,29.72,0.00,000,10.00,22.10,25.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,994.86,08-22-2019,07:00:00,94,0.0,24.0,1009.82,24.5,29.79,0.00,000,9.00,4.60,25.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,994.77,08-22-2019,07:00:00,91,0.0,24.7,1009.51,25.5,31.13,0.00,000,7.00,0.00,26.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.76,08-22-2019,07:00:00,89,0.0,24.5,1006.79,25.2,30.78,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,0.01,26.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,999.61,08-22-2019,07:00:00,93,0.0,24.1,1007.61,24.6,30.07,0.00,000,8.00,0.00,25.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.31,08-22-2019,07:00:00,94,0.0,24.5,1007.42,24.5,30.71,0.60,000,7.00,16.80,25.5
