WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,VaporPressure,AirTemperature,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindSpeed,Rainfall24Hr,DewPoint,Rainfall,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,08-22-2019,13:00:00,27.25,30.7,973.78,1004.14,62,0.0,7.60,22.5,0.01,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-22-2019,13:00:00,22.91,20.0,843.16,1003.24,98,0.0,0.00,19.7,0.00,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-22-2019,13:00:00,27.75,27.8,961.69,1004.91,74,0.0,82.50,22.8,0.00,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,13.00,08-22-2019,13:00:00,29.58,30.2,959.70,1004.43,69,7.4,1.20,23.9,0.01,220
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,8.00,08-22-2019,13:00:00,32.04,26.2,968.65,1006.20,94,9.3,11.50,25.2,0.40,210
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,08-22-2019,13:00:00,30.38,30.6,960.32,1004.57,69,13.0,0.60,24.3,0.00,170
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,08-22-2019,13:00:00,32.30,30.0,979.87,1006.23,76,9.3,14.60,25.3,0.00,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,08-22-2019,13:00:00,26.86,31.5,984.39,1005.76,58,11.1,0.00,22.3,0.00,250
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,08-22-2019,13:00:00,36.47,29.6,981.81,1005.62,88,0.0,1.50,27.4,0.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-22-2019,13:00:00,29.42,30.4,970.74,1004.68,68,5.6,3.10,23.8,0.00,230
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-22-2019,13:00:00,28.26,30.8,978.31,1005.39,64,0.0,51.80,23.1,0.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-22-2019,13:00:00,30.31,30.0,971.52,1004.58,71,7.4,0.70,24.3,0.00,160
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,12.00,08-22-2019,13:00:00,31.15,30.7,987.37,1005.60,71,7.4,13.90,24.7,0.01,240
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-22-2019,13:00:00,32.67,29.9,983.01,1005.53,77,7.4,47.50,25.5,0.00,120
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10.00,08-22-2019,13:00:00,28.37,29.0,976.12,1005.70,71,5.6,19.50,23.2,0.00,120
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,08-22-2019,13:00:00,30.14,30.2,969.85,1004.81,70,0.0,0.90,24.2,0.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.00,08-22-2019,13:00:00,31.21,28.9,976.18,1005.60,78,9.3,24.20,24.8,0.00,140
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.00,08-22-2019,13:00:00,32.01,30.0,998.76,1005.99,75,0.0,15.90,25.2,4.10,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,13.00,08-22-2019,13:00:00,33.58,29.5,986.35,1006.05,81,5.6,3.60,26.0,0.00,160
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,08-22-2019,13:00:00,30.32,29.3,977.59,1005.96,74,9.3,13.70,24.3,0.00,160
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,08-22-2019,13:00:00,30.65,28.9,986.20,1006.21,77,7.4,4.20,24.5,0.01,250
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,08-22-2019,13:00:00,33.62,29.1,984.63,1006.17,83,3.7,4.10,26.0,0.10,230
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,15.00,08-22-2019,13:00:00,31.29,28.8,986.84,1006.19,79,3.7,10.80,24.8,0.01,170
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,9.00,08-22-2019,13:00:00,32.19,28.4,990.38,1007.04,83,0.0,25.90,25.3,0.20,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,9.00,08-22-2019,13:00:00,33.87,29.5,989.80,1007.06,82,0.0,12.50,26.1,0.10,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,08-22-2019,13:00:00,30.72,29.5,980.22,1005.74,75,3.7,1.10,24.5,0.01,200
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-22-2019,13:00:00,33.81,31.0,1000.97,1006.68,75,0.0,52.20,26.1,0.00,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,08-22-2019,13:00:00,33.98,30.8,999.80,1005.91,77,0.0,53.80,26.2,0.00,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-22-2019,13:00:00,28.81,30.8,990.90,1007.14,65,0.0,2.60,23.4,0.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,08-22-2019,13:00:00,27.98,30.8,982.45,1004.43,63,3.7,1.60,22.9,0.00,140
48376,TAK,ตาก,ตาก,16.87833,99.14333,9.00,08-22-2019,13:00:00,31.19,32.4,991.95,1006.07,64,3.7,14.80,24.7,0.00,180
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,12.00,08-22-2019,13:00:00,29.54,33.0,989.27,1005.30,59,0.0,3.00,23.8,0.00,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-22-2019,13:00:00,30.94,31.3,1001.36,1006.51,68,7.4,0.40,24.6,0.00,140
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,08-22-2019,13:00:00,32.48,31.9,992.31,1005.28,69,5.6,15.00,25.4,0.00,120
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,08-22-2019,13:00:00,30.20,32.2,996.67,1005.82,63,3.7,6.50,24.2,0.00,190
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-22-2019,13:00:00,27.27,32.0,984.46,1005.77,57,11.1,0.00,22.5,0.00,240
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,08-22-2019,13:00:00,30.87,33.5,988.86,1005.98,60,0.0,15.20,24.6,0.00,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,12.00,08-22-2019,13:00:00,30.49,31.5,989.99,1005.57,66,11.1,9.30,24.4,0.00,250
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,08-22-2019,13:00:00,28.12,33.0,986.04,1004.51,56,9.3,0.00,23.0,0.00,200
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,11.00,08-22-2019,13:00:00,26.11,29.8,956.79,1007.35,62,0.0,6.40,21.8,0.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10.00,08-22-2019,13:00:00,30.49,31.5,1002.16,1006.06,66,14.8,0.00,24.4,0.00,190
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,7.00,08-22-2019,13:00:00,24.37,25.7,911.81,1005.50,74,7.4,20.00,20.7,0.00,190
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,08-22-2019,13:00:00,33.47,30.7,990.36,1006.14,76,9.3,5.60,25.9,0.00,240
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,08-22-2019,13:00:00,30.94,32.7,1002.39,1006.34,63,11.1,0.00,24.6,0.00,180
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,08-22-2019,13:00:00,29.48,31.0,996.89,1007.43,66,5.6,0.60,23.8,0.00,210
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10.00,08-22-2019,13:00:00,30.08,32.0,1005.33,1007.23,63,13.0,3.30,24.1,0.00,190
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,12.00,08-22-2019,13:00:00,26.39,33.4,985.33,1005.73,51,14.8,0.00,22.0,0.00,230
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-22-2019,13:00:00,30.90,31.0,988.46,1005.87,69,9.3,64.30,24.6,0.00,200
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-22-2019,13:00:00,30.94,32.0,990.05,1005.93,65,9.3,41.00,24.6,0.00,200
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-22-2019,13:00:00,32.88,28.6,993.26,1007.22,84,5.6,24.10,25.6,2.00,170
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,6.00,08-22-2019,13:00:00,32.93,27.5,993.57,1008.39,90,0.0,11.20,25.7,6.60,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,08-22-2019,13:00:00,30.94,32.0,993.68,1008.13,65,9.3,0.00,24.6,0.00,260
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-22-2019,13:00:00,31.19,32.4,1003.33,1006.30,64,0.0,0.01,24.7,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,08-22-2019,13:00:00,29.66,32.5,998.42,1006.22,61,0.0,0.00,23.9,0.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,08-22-2019,13:00:00,29.74,33.1,1006.73,1007.82,59,14.8,16.80,24.0,0.00,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,9.00,08-22-2019,13:00:00,32.92,30.3,990.81,1005.31,76,0.0,0.00,25.6,0.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,08-22-2019,13:00:00,23.28,20.1,873.70,1008.65,99,11.1,12.40,19.9,10.60,100
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-22-2019,13:00:00,32.66,32.4,1001.05,1006.82,67,7.4,3.70,25.5,0.00,180
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.00,08-22-2019,13:00:00,31.52,32.0,1006.76,1007.54,66,11.1,2.90,24.9,0.00,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-22-2019,13:00:00,31.56,30.9,1007.03,1007.47,71,22.2,0.00,24.9,0.00,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,5.00,08-22-2019,13:00:00,32.59,29.3,996.50,1007.73,80,0.0,7.00,25.5,0.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,08-22-2019,13:00:00,30.94,32.0,1006.02,1007.01,65,5.6,4.40,24.6,0.00,190
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,08-22-2019,13:00:00,29.66,32.5,1005.07,1006.86,61,11.1,1.90,23.9,0.00,150
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,08-22-2019,13:00:00,27.00,32.0,1006.24,1006.99,57,11.1,0.20,22.3,0.00,200
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-22-2019,13:00:00,30.05,31.0,1006.94,1007.64,67,18.5,0.01,24.1,0.00,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-22-2019,13:00:00,33.29,32.0,1006.71,1007.40,70,0.0,0.01,25.8,0.01,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-22-2019,13:00:00,28.58,32.1,985.89,1006.68,60,7.4,1.40,23.3,0.01,230
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10.00,08-22-2019,13:00:00,29.59,31.9,990.38,1006.83,63,7.4,0.00,23.9,0.00,230
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10.00,08-22-2019,13:00:00,29.59,31.9,991.56,1007.73,63,5.6,0.00,23.9,0.00,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-22-2019,13:00:00,30.36,32.0,985.32,1006.82,64,0.0,0.00,24.3,0.00,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.00,08-22-2019,13:00:00,27.96,29.5,964.17,1007.06,68,7.4,9.20,22.9,0.00,210
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,08-22-2019,13:00:00,26.69,32.7,986.44,1006.61,54,5.6,0.00,22.2,0.00,190
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,08-22-2019,13:00:00,32.63,31.0,988.12,1008.70,73,13.0,0.00,25.5,0.00,240
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-22-2019,13:00:00,28.43,31.6,1006.74,1007.17,61,14.8,0.70,23.2,0.00,210
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10.00,08-22-2019,13:00:00,34.93,32.2,1005.63,1007.02,73,0.0,0.10,26.6,0.10,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,9.00,08-22-2019,13:00:00,32.33,32.8,1002.30,1007.14,65,7.4,3.90,25.3,0.00,270
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,08-22-2019,13:00:00,28.07,31.7,1003.97,1007.22,60,3.7,0.00,23.0,0.00,170
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-22-2019,13:00:00,31.11,32.5,1006.09,1007.18,64,0.0,0.20,24.7,0.00,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-22-2019,13:00:00,32.02,32.1,1007.35,1007.65,67,16.7,0.01,25.2,0.00,230
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,08-22-2019,13:00:00,29.66,32.5,1006.79,1007.46,61,9.3,0.00,23.9,0.00,200
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-22-2019,13:00:00,30.08,32.0,1006.83,1007.32,63,5.6,0.00,24.1,0.00,120
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-22-2019,13:00:00,29.34,32.2,1005.60,1006.99,61,16.7,5.80,23.7,0.00,090
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,08-22-2019,13:00:00,36.05,30.1,1006.02,1007.68,85,24.1,0.00,27.2,0.00,200
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-22-2019,13:00:00,29.25,33.0,1001.09,1008.96,58,7.4,0.00,23.7,0.00,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-22-2019,13:00:00,32.05,33.5,1007.02,1007.30,62,11.1,0.00,25.2,0.00,270
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,12.00,08-22-2019,13:00:00,31.06,31.5,1004.72,1007.81,67,9.3,0.00,24.7,0.00,250
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,08-22-2019,13:00:00,32.34,31.0,1001.38,1008.24,72,13.0,0.00,25.4,0.00,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,08-22-2019,13:00:00,31.46,33.5,1001.74,1007.22,61,7.4,0.00,24.9,0.00,280
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,12.00,08-22-2019,13:00:00,31.93,31.5,998.37,1007.55,69,14.8,0.00,25.1,0.00,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.00,08-22-2019,13:00:00,31.73,32.1,1007.01,1008.26,66,3.7,3.30,25.0,0.00,180
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-22-2019,13:00:00,35.25,33.3,1006.61,1007.03,69,18.5,0.70,26.8,0.00,150
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,08-22-2019,13:00:00,30.12,32.3,995.25,1007.30,62,11.1,0.00,24.2,0.00,220
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-22-2019,13:00:00,29.59,31.9,1006.83,1007.54,63,7.4,5.50,23.9,0.00,240
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-22-2019,13:00:00,30.73,32.6,1006.20,1008.60,62,11.1,2.00,24.5,0.00,220
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,08-22-2019,13:00:00,31.47,31.0,1008.16,1008.68,70,18.5,0.00,24.9,0.00,260
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,12.00,08-22-2019,13:00:00,30.20,31.5,1002.80,1007.89,65,7.4,7.40,24.2,0.00,150
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.00,08-22-2019,13:00:00,34.28,29.0,1008.35,1008.76,86,0.0,0.20,26.3,0.20,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-22-2019,13:00:00,33.57,28.8,1006.22,1008.98,85,7.4,0.00,26.0,0.00,260
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-22-2019,13:00:00,26.48,31.3,1007.98,1008.75,58,11.1,1.00,22.0,0.00,300
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.00,08-22-2019,13:00:00,33.53,28.5,1008.80,1009.26,86,11.1,3.30,26.0,2.70,210
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,8.00,08-22-2019,13:00:00,29.83,29.9,1008.73,1009.41,71,5.6,37.50,24.0,3.20,250
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,9.00,08-22-2019,13:00:00,29.33,29.5,1008.27,1009.79,71,7.4,3.00,23.7,0.80,250
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-22-2019,13:00:00,30.01,29.0,1009.82,1010.74,75,5.6,37.60,24.1,0.00,230
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,12.00,08-22-2019,13:00:00,30.40,32.3,1009.13,1009.81,63,0.0,0.70,24.3,0.00,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,08-22-2019,13:00:00,30.48,32.2,1009.14,1009.92,63,9.3,0.00,24.4,0.00,210
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-22-2019,13:00:00,29.42,32.8,1008.10,1008.73,59,1.9,35.20,23.8,0.00,180
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-22-2019,13:00:00,29.87,34.0,1008.68,1009.08,56,7.4,8.00,24.0,0.00,270
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,7.00,08-22-2019,13:00:00,29.66,32.5,1007.40,1011.55,61,5.6,0.00,23.9,0.00,250
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.00,08-22-2019,13:00:00,30.43,26.5,1008.75,1010.36,88,0.0,5.00,24.3,0.40,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,8.00,08-22-2019,13:00:00,32.18,31.2,1006.42,1009.86,71,3.7,15.50,25.3,0.00,240
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,08-22-2019,13:00:00,25.73,33.2,1008.15,1009.48,51,5.6,0.00,21.6,0.00,210
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-22-2019,13:00:00,33.58,29.5,1009.05,1009.93,81,0.0,57.70,26.0,4.20,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-22-2019,13:00:00,32.96,29.2,1006.55,1010.10,81,7.4,11.00,25.7,7.40,170
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-22-2019,13:00:00,29.34,32.2,1009.43,1009.86,61,7.4,26.00,23.7,0.00,250
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-22-2019,13:00:00,32.75,30.5,1008.69,1009.67,75,7.4,26.80,25.6,0.01,280
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-22-2019,13:00:00,31.60,31.2,1008.96,1009.77,70,9.3,3.00,25.0,0.00,210
