WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,WindDirection,VaporPressure,RelativeHumidity,Rainfall,AirTemperature,DewPoint,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-23-2019,01:00:00,976.40,000,29.82,91,0.00,25.6,24.0,0.10,7.00,1007.37
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.0,08-23-2019,01:00:00,844.34,000,21.06,99,0.00,18.5,18.3,0.00,8.00,1005.51
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-23-2019,01:00:00,962.82,000,27.94,91,0.01,24.4,22.9,106.50,10.00,1006.60
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,5.6,08-23-2019,01:00:00,961.08,280,28.88,96,2.80,24.2,23.5,8.00,7.00,1006.81
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-23-2019,01:00:00,968.65,000,31.28,100,3.50,24.8,24.8,15.30,6.00,1006.38
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-23-2019,01:00:00,981.03,000,32.91,95,0.00,26.5,25.6,11.40,7.00,1007.73
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-23-2019,01:00:00,986.28,000,31.55,95,0.10,25.8,24.9,0.10,10.00,1008.10
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-23-2019,01:00:00,983.72,000,29.79,94,0.60,25.0,24.0,2.30,6.00,1007.94
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-23-2019,01:00:00,973.41,000,29.97,94,0.50,25.1,24.1,42.00,10.00,1008.06
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-23-2019,01:00:00,980.63,000,30.43,88,0.00,26.5,24.3,0.00,10.00,1008.16
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-23-2019,01:00:00,974.27,000,30.32,96,0.01,25.0,24.3,28.20,10.00,1007.99
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.6,08-23-2019,01:00:00,989.04,270,28.37,92,0.00,24.5,23.2,3.20,10.00,1007.68
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-23-2019,01:00:00,985.42,000,28.37,92,11.40,24.5,23.2,13.70,8.00,1008.42
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-23-2019,01:00:00,977.21,000,29.89,93,0.30,25.2,24.0,1.00,7.00,1007.21
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-23-2019,01:00:00,972.16,000,30.32,96,0.00,25.0,24.3,2.10,5.00,1007.82
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-23-2019,01:00:00,977.27,000,27.42,93,0.90,23.8,22.6,1.20,6.00,1007.24
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-23-2019,01:00:00,1000.95,000,29.61,94,2.00,24.9,23.9,26.60,8.00,1008.31
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,08-23-2019,01:00:00,986.95,310,31.90,97,1.80,25.7,25.1,5.40,10.00,1006.92
48353,LOEI,เลย,เลย,17.45000,101.73333,3.7,08-23-2019,01:00:00,979.06,170,28.11,91,1.10,24.5,23.0,1.90,2.00,1007.94
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.9,08-23-2019,01:00:00,986.96,220,30.17,93,2.30,25.5,24.2,3.70,8.00,1007.22
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.6,08-23-2019,01:00:00,986.00,260,29.07,94,14.50,24.6,23.6,23.40,4.00,1007.90
