WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,MinimumTemperature,StationPressure,Rainfall24Hr,LandVisibility,DewPoint,Rainfall,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1007.47,08-23-2019,07:00:00,000,23.8,976.49,0.10,6.00,23.9,0.00,25.5,0.0,91,29.64
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.95,08-23-2019,07:00:00,000,17.8,844.41,0.00,8.00,17.7,0.00,17.9,0.0,99,20.28
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1007.59,08-23-2019,07:00:00,000,23.5,963.76,99.20,10.00,23.1,0.00,24.3,0.0,93,28.28
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1007.67,08-23-2019,07:00:00,000,23.3,961.88,8.00,15.00,23.3,0.00,24.0,0.0,96,28.53
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1008.67,08-23-2019,07:00:00,000,23.2,970.74,11.10,8.00,23.8,2.10,23.8,0.0,100,29.46
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1007.77,08-23-2019,07:00:00,100,23.6,962.49,8.10,6.00,23.9,0.00,24.5,3.7,97,29.67
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1008.94,08-23-2019,07:00:00,000,24.1,982.02,5.80,7.00,23.8,2.80,24.5,0.0,96,29.41
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1008.13,08-23-2019,07:00:00,000,24.4,986.25,1.90,6.00,24.2,0.00,24.9,0.0,96,30.13
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1008.18,08-23-2019,07:00:00,000,23.7,983.94,1.60,6.00,23.9,0.30,24.8,0.0,95,29.69
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.86,08-23-2019,07:00:00,000,24.1,973.16,45.60,10.00,23.6,0.30,24.6,0.0,94,29.07
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.66,08-23-2019,07:00:00,000,24.5,980.98,0.00,10.00,24.3,0.00,25.0,0.0,96,30.32
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.50,08-23-2019,07:00:00,000,24.1,973.71,30.20,10.00,23.9,0.20,24.2,0.0,98,29.66
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1008.08,08-23-2019,07:00:00,000,24.0,989.45,2.30,10.00,22.1,0.00,24.8,0.0,85,26.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,1008.44,08-23-2019,07:00:00,000,23.9,985.46,11.50,10.00,23.7,0.01,24.7,0.0,94,29.25
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1008.49,08-23-2019,07:00:00,000,23.8,978.33,1.50,7.00,22.5,0.00,24.0,0.0,91,27.25
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1007.95,08-23-2019,07:00:00,000,24.0,972.19,2.00,7.00,23.9,0.00,24.2,0.0,98,29.66
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1007.85,08-23-2019,07:00:00,000,23.1,977.84,1.30,12.00,23.2,0.00,23.5,0.0,98,28.42
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.26,08-23-2019,07:00:00,000,24.8,1000.90,26.60,6.00,24.3,0.00,25.0,0.0,96,30.32
