WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,VaporPressure,StationPressure,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,Rainfall,DewPoint,AirTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,81,08-23-2019,10:00:00,000,29.88,977.50,0.10,0.0,1008.30,0.00,24.0,27.5,7.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,08-23-2019,10:00:00,000,22.42,846.40,0.00,0.0,1007.38,0.00,19.3,19.5,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,83,08-23-2019,10:00:00,240,28.64,965.20,30.90,9.3,1008.79,0.00,23.3,26.4,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,84,08-23-2019,10:00:00,000,28.18,963.38,7.20,0.0,1008.93,0.00,23.1,26.0,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,87,08-23-2019,10:00:00,000,31.11,972.23,11.10,0.0,1009.81,0.00,24.7,27.0,10.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,77,08-23-2019,10:00:00,100,28.26,963.87,7.50,5.6,1008.75,0.00,23.1,27.5,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,84,08-23-2019,10:00:00,200,30.70,983.10,5.80,5.6,1009.77,0.00,24.5,27.5,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,79,08-23-2019,10:00:00,010,30.01,987.04,1.90,3.7,1008.71,0.00,24.1,28.0,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,88,08-23-2019,10:00:00,000,31.38,984.67,1.90,0.0,1008.75,0.80,24.8,27.0,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,76,08-23-2019,10:00:00,000,28.10,974.34,45.60,0.0,1008.72,0.00,23.0,27.7,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,72,08-23-2019,10:00:00,000,29.49,981.62,0.00,0.0,1008.93,0.00,23.8,29.3,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,81,08-23-2019,10:00:00,000,29.98,975.03,30.20,0.0,1008.47,0.00,24.1,27.7,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,80,08-23-2019,10:00:00,270,30.28,990.87,2.20,9.3,1009.33,0.00,24.3,28.0,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,83,08-23-2019,10:00:00,000,29.75,986.58,11.50,0.0,1009.41,0.00,24.0,27.0,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,85,08-23-2019,10:00:00,000,28.70,979.71,1.50,0.0,1009.70,0.00,23.4,26.0,9.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,82,08-23-2019,10:00:00,000,30.15,973.37,2.00,0.0,1008.78,0.00,24.2,27.5,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,89,08-23-2019,10:00:00,100,30.22,979.56,1.30,3.7,1009.36,0.00,24.2,26.1,14.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,86,08-23-2019,10:00:00,000,30.56,1002.41,26.60,0.0,1009.73,0.00,24.4,27.0,6.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,85,08-23-2019,10:00:00,230,33.99,989.39,1.80,7.4,1009.19,0.00,26.2,29.0,20.00
48353,LOEI,เลย,เลย,17.45000,101.73333,83,08-23-2019,10:00:00,160,28.64,980.73,1.90,5.6,1009.47,0.00,23.3,26.4,14.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,84,08-23-2019,10:00:00,180,30.50,983.13,3.20,5.6,1003.19,0.10,24.4,27.4,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,91,08-23-2019,10:00:00,000,29.10,988.56,54.20,0.0,1010.47,3.80,23.6,25.2,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,92,08-23-2019,10:00:00,000,30.46,989.99,44.00,0.0,1009.59,2.20,24.3,25.8,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,92,08-23-2019,10:00:00,000,28.82,993.50,49.30,0.0,1010.41,18.10,23.4,24.9,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,93,08-23-2019,10:00:00,280,30.17,992.73,31.50,3.7,1010.27,5.30,24.2,25.5,9.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,87,08-23-2019,10:00:00,000,30.83,982.45,1.40,0.0,1008.24,0.00,24.5,27.0,15.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,91,08-23-2019,10:00:00,000,34.23,1003.36,18.90,0.0,1009.14,0.00,26.3,28.0,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,91,08-23-2019,10:00:00,000,33.62,1002.96,58.50,0.0,1009.15,0.00,26.0,27.7,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,84,08-23-2019,10:00:00,000,30.02,994.54,18.50,0.0,1011.04,0.00,24.1,27.0,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,84,08-23-2019,10:00:00,200,30.02,985.06,29.40,3.7,1007.38,0.00,24.1,27.0,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,90,08-23-2019,10:00:00,000,31.63,995.45,13.30,0.0,1009.89,0.00,25.0,26.7,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,87,08-23-2019,10:00:00,000,30.72,992.52,3.50,0.0,1008.95,0.00,24.5,26.8,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,87,08-23-2019,10:00:00,180,32.28,1004.27,19.80,3.7,1009.50,0.00,25.3,27.6,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,88,08-23-2019,10:00:00,000,31.38,995.16,16.00,0.0,1008.38,0.00,24.8,27.0,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,86,08-23-2019,10:00:00,120,31.33,999.94,5.80,3.7,1009.27,0.00,24.8,27.4,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,85,08-23-2019,10:00:00,240,31.44,987.88,28.00,5.6,1009.58,0.01,24.9,27.6,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,90,08-23-2019,10:00:00,000,33.53,992.84,2.10,0.0,1010.35,0.10,26.0,27.8,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,96,08-23-2019,10:00:00,000,29.41,993.71,78.80,0.0,1009.72,5.00,23.8,24.5,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,81,08-23-2019,10:00:00,190,30.56,989.87,2.00,3.7,1008.72,0.01,24.4,28.0,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,79,08-23-2019,10:00:00,000,27.60,957.28,12.40,0.0,1008.40,0.00,22.7,26.7,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,87,08-23-2019,10:00:00,140,32.28,1004.90,26.90,5.6,1008.86,0.00,25.3,27.6,7.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,87,08-23-2019,10:00:00,220,24.55,914.03,17.90,9.3,1008.80,0.20,20.8,23.1,7.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,98,08-23-2019,10:00:00,000,33.83,993.66,39.40,0.0,1009.72,0.80,26.1,26.4,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,86,08-23-2019,10:00:00,120,33.66,1005.27,11.90,7.4,1009.29,0.00,26.0,28.7,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,70,08-23-2019,10:00:00,240,30.46,999.49,7.80,5.6,1010.07,0.00,24.3,30.5,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,71,08-23-2019,10:00:00,210,29.33,1007.76,6.70,7.4,1009.68,0.00,23.7,29.5,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,84,08-23-2019,10:00:00,260,30.02,988.82,2.60,3.7,1009.74,0.80,24.1,27.0,6.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,88,08-23-2019,10:00:00,250,31.77,991.81,6.90,5.6,1009.50,0.01,25.1,27.2,9.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,89,08-23-2019,10:00:00,000,32.64,993.16,11.20,0.0,1009.32,0.20,25.5,27.5,8.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,87,08-23-2019,10:00:00,000,32.20,996.12,28.60,0.0,1010.17,0.90,25.3,27.7,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,90,08-23-2019,10:00:00,000,32.61,995.75,27.80,0.0,1010.62,1.40,25.5,27.2,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,86,08-23-2019,10:00:00,290,34.28,995.55,4.60,7.4,1010.17,0.01,26.3,29.0,7.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,74,08-23-2019,10:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",31.56,1005.48,2.60,0.0,1008.47,0.00,24.9,30.2,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,88,08-23-2019,10:00:00,000,32.96,1001.54,3.70,0.0,1009.49,0.50,25.7,27.8,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,78,08-23-2019,10:00:00,140,32.75,1008.69,2.90,5.6,1009.79,0.00,25.6,29.8,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,90,08-23-2019,10:00:00,000,33.94,991.33,5.50,0.0,1005.95,0.00,26.2,28.0,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,98,08-23-2019,10:00:00,190,23.49,876.04,48.00,7.4,1011.21,0.00,20.1,20.4,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,85,08-23-2019,10:00:00,170,32.96,1003.98,0.80,3.7,1009.84,0.60,25.7,28.5,9.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,84,08-23-2019,10:00:00,090,35.53,1008.88,0.60,25.9,1009.68,0.00,26.9,30.0,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,74,08-23-2019,10:00:00,210,32.17,1009.39,0.50,14.8,1009.84,0.00,25.3,30.5,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,87,08-23-2019,10:00:00,000,31.22,998.94,8.30,0.0,1010.27,0.00,24.8,27.2,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,63,08-23-2019,10:00:00,210,30.08,1009.01,0.10,5.6,1010.01,0.00,24.1,32.0,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,69,08-23-2019,10:00:00,130,30.90,1007.89,0.00,3.7,1009.69,0.00,24.6,31.0,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,68,08-23-2019,10:00:00,230,28.91,1009.42,0.30,3.7,1010.18,0.00,23.5,30.0,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,67,08-23-2019,10:00:00,190,29.65,1009.27,0.01,16.7,1009.97,0.00,23.9,30.8,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,79,08-23-2019,10:00:00,090,32.71,1009.13,0.70,5.6,1009.83,0.00,25.5,29.5,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,59,08-23-2019,10:00:00,270,27.13,988.37,0.01,5.6,1009.26,0.00,22.4,31.5,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,75,08-23-2019,10:00:00,210,30.21,993.19,1.30,7.4,1009.83,0.00,24.2,29.1,10.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,79,08-23-2019,10:00:00,230,32.71,993.91,1.20,5.6,1010.26,0.00,25.5,29.5,9.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,63,08-23-2019,10:00:00,240,29.15,987.97,0.00,3.7,1009.57,0.00,23.6,31.4,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,73,08-23-2019,10:00:00,260,28.24,966.31,3.80,11.1,1009.44,0.00,23.1,28.5,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,64,08-23-2019,10:00:00,220,28.92,989.19,0.01,5.6,1009.53,0.00,23.5,31.0,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,87,08-23-2019,10:00:00,210,33.00,990.75,0.60,9.3,1011.58,0.00,25.7,28.1,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,72,08-23-2019,10:00:00,210,30.50,1009.74,23.90,13.0,1010.17,0.00,24.4,30.1,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,81,08-23-2019,10:00:00,000,33.58,1008.40,0.70,0.0,1009.81,0.00,26.0,29.5,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,82,08-23-2019,10:00:00,000,34.00,1005.01,17.80,0.0,1009.91,0.00,26.2,29.7,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,69,08-23-2019,10:00:00,230,30.18,1006.99,0.01,5.6,1010.26,0.00,24.2,30.5,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,72,08-23-2019,10:00:00,000,32.34,1009.08,1.30,0.0,1010.17,0.00,25.4,31.0,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,70,08-23-2019,10:00:00,160,31.89,1009.51,3.70,7.4,1009.80,0.00,25.1,31.2,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,67,08-23-2019,10:00:00,210,29.85,1009.07,14.50,5.6,1009.75,0.01,24.0,30.9,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,75,08-23-2019,10:00:00,270,32.75,1009.02,19.50,5.6,1009.51,0.00,25.6,30.5,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,72,08-23-2019,10:00:00,190,32.01,1008.50,6.40,13.0,1009.90,0.00,25.2,30.7,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,82,08-23-2019,10:00:00,190,34.72,1008.28,0.00,24.1,1009.94,0.00,26.5,29.9,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,74,08-23-2019,10:00:00,180,32.17,1003.64,0.01,7.4,1011.59,0.00,25.3,30.5,12.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,66,08-23-2019,10:00:00,000,30.49,1009.45,0.00,0.0,1009.73,0.00,24.4,31.5,10.00
