WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,WindSpeed,DewPoint,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,AirTemperature,LandVisibility,RelativeHumidity,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.66,08-23-2019,16:00:00,0.60,5.6,25.0,280,1004.76,0.60,28.7,7.00,80,974.18
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.96,08-23-2019,16:00:00,0.00,9.3,19.7,300,1001.85,0.00,23.6,8.00,79,843.73
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,30.99,08-23-2019,16:00:00,1.10,5.6,24.6,090,1004.11,32.00,30.2,10.00,72,961.26
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.46,08-23-2019,16:00:00,0.00,5.6,22.6,290,1003.61,7.20,32.1,15.00,57,959.18
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.21,08-23-2019,16:00:00,0.20,0.0,23.1,000,1006.50,10.80,29.2,10.00,70,969.32
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.20,08-23-2019,16:00:00,0.00,5.6,24.2,090,1003.67,7.50,31.5,10.00,65,959.58
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.72,08-23-2019,16:00:00,0.00,7.4,25.0,160,1005.07,6.70,31.4,12.00,69,978.85
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,32.13,08-23-2019,16:00:00,0.40,7.4,25.2,110,1005.06,2.30,29.5,15.00,78,983.57
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.98,08-23-2019,16:00:00,4.00,0.0,24.6,000,1005.63,5.80,28.5,8.00,80,981.74
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,30.33,08-23-2019,16:00:00,0.00,3.7,24.3,350,1004.30,45.60,31.0,10.00,68,970.43
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,31.31,08-23-2019,16:00:00,0.00,0.0,24.8,000,1004.57,0.00,30.5,10.00,72,977.48
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.89,08-23-2019,16:00:00,1.30,0.0,25.1,000,1004.32,30.90,29.8,9.00,76,971.24
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.20,08-23-2019,16:00:00,0.01,5.6,24.7,270,1004.71,0.40,29.6,15.00,75,986.44
48331,NAN,น่าน,น่าน,18.77972,100.77778,32.36,08-23-2019,16:00:00,0.00,0.0,25.4,000,1004.36,11.50,32.4,10.00,67,982.04
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,30.46,08-23-2019,16:00:00,0.10,0.0,24.3,000,1004.83,1.70,30.5,12.00,70,975.42
