WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,LandVisibility,WindDirection,AirTemperature,VaporPressure,RelativeHumidity,Rainfall,StationPressure,DewPoint,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.6,08-23-2019,19:00:00,7.00,000,26.1,30.48,90,1.10,975.68,24.4,0.0,1006.57,1.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,24.0,08-23-2019,19:00:00,8.00,300,20.1,21.49,91,0.00,844.12,18.7,9.3,1004.31,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,31.0,08-23-2019,19:00:00,10.00,330,27.0,30.02,84,0.50,961.50,24.1,3.7,1004.82,3.10
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,32.4,08-23-2019,19:00:00,9.00,000,27.3,29.77,82,0.00,959.71,24.0,0.0,1004.89,4.60
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.0,08-23-2019,19:00:00,7.00,000,27.0,32.77,92,0.00,970.34,25.6,0.0,1007.85,10.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,32.2,08-23-2019,19:00:00,15.00,000,25.0,29.00,92,24.20,960.65,23.5,0.0,1005.76,31.70
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.7,08-23-2019,19:00:00,10.00,180,28.8,33.57,85,0.00,979.19,26.0,3.7,1005.64,6.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.4,08-23-2019,19:00:00,15.00,220,29.4,33.08,81,0.00,984.39,25.7,3.7,1005.91,2.30
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.0,08-23-2019,19:00:00,8.00,000,26.4,31.05,90,2.50,983.27,24.7,0.0,1007.37,8.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,32.0,08-23-2019,19:00:00,10.00,300,25.7,29.21,89,3.90,972.36,23.7,9.3,1006.91,10.80
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,33.2,08-23-2019,19:00:00,10.00,000,26.0,31.65,94,21.70,979.14,25.0,0.0,1006.68,21.70
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,32.6,08-23-2019,19:00:00,8.00,000,25.0,30.32,96,11.10,973.10,24.3,0.0,1006.77,19.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,32.0,08-23-2019,19:00:00,12.00,300,28.3,31.70,82,0.00,987.23,25.0,1.9,1005.60,0.40
48331,NAN,น่าน,น่าน,18.77972,100.77778,32.5,08-23-2019,19:00:00,10.00,270,28.2,30.12,79,0.00,983.18,24.2,5.6,1005.84,11.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,30.8,08-23-2019,19:00:00,10.00,000,27.0,30.02,84,0.00,976.15,24.1,0.0,1005.93,1.70
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.5,08-23-2019,19:00:00,4.00,000,25.5,30.71,94,6.60,971.23,24.5,0.0,1006.80,13.40
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,31.6,08-23-2019,19:00:00,12.00,000,24.8,29.95,96,17.70,976.01,24.1,0.0,1005.84,30.50
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.7,08-23-2019,19:00:00,7.00,000,29.3,33.16,81,0.00,998.89,25.8,0.0,1006.13,22.50
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.3,08-23-2019,19:00:00,15.00,000,30.1,34.55,81,0.00,986.01,26.5,0.0,1005.67,1.80
48353,LOEI,เลย,เลย,17.45000,101.73333,31.8,08-23-2019,19:00:00,15.00,000,25.3,30.07,93,21.80,977.26,24.1,0.0,1006.00,30.40
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.3,08-23-2019,19:00:00,15.00,000,29.8,31.60,75,0.00,985.64,25.0,0.0,1005.58,3.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.5,08-23-2019,19:00:00,12.00,000,28.8,34.15,86,0.00,985.11,26.3,0.0,1006.69,47.50
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.8,08-23-2019,19:00:00,15.00,000,28.6,32.88,84,0.00,986.53,25.6,0.0,1005.88,35.30
