WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,Rainfall,WindDirection,StationPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,VaporPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,5.00,08-24-2019,01:00:00,24.1,5.30,000,977.58,34.70,96,1008.67,0.0,29.95,24.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-24-2019,01:00:00,22.8,1.30,210,964.39,3.10,91,1008.25,1.9,27.77,24.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1.00,08-24-2019,01:00:00,22.4,9.80,000,962.35,9.80,94,1008.24,0.0,27.16,23.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,4.00,08-24-2019,01:00:00,23.3,55.00,000,970.51,92.60,96,1008.41,0.0,28.53,24.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,08-24-2019,01:00:00,22.5,7.50,000,963.00,35.20,91,1008.37,0.0,27.25,24.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.00,08-24-2019,01:00:00,24.6,36.10,000,981.74,42.80,96,1008.57,0.0,30.87,25.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10.00,08-24-2019,01:00:00,24.5,0.40,090,986.58,2.60,94,1008.42,1.9,30.71,25.5
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,08-24-2019,01:00:00,23.6,0.80,000,984.77,8.40,95,1009.06,0.0,29.15,24.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-24-2019,01:00:00,23.7,1.60,000,974.09,16.40,95,1008.83,0.0,29.33,24.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,7.00,08-24-2019,01:00:00,24.2,22.50,000,981.87,47.40,97,1009.61,0.0,30.22,24.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,9.00,08-24-2019,01:00:00,24.3,1.10,000,975.08,20.30,97,1008.86,0.0,30.30,24.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10.00,08-24-2019,01:00:00,22.7,24.50,180,989.68,24.50,91,1008.35,1.9,27.51,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-24-2019,01:00:00,24.4,0.00,000,985.78,0.10,93,1008.70,0.0,30.63,25.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,7.00,08-24-2019,01:00:00,23.1,0.00,000,978.50,1.40,92,1008.62,0.0,28.20,24.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,4.00,08-24-2019,01:00:00,24.0,0.40,000,973.03,16.60,96,1008.76,0.0,29.77,24.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10.00,08-24-2019,01:00:00,23.9,0.00,000,977.04,29.60,98,1006.96,0.0,29.66,24.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,5.00,08-24-2019,01:00:00,23.7,2.80,000,1000.94,11.40,94,1008.31,0.0,29.25,24.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,12.00,08-24-2019,01:00:00,25.1,45.20,000,986.69,52.40,97,1006.66,0.0,31.79,25.5
48353,LOEI,เลย,เลย,17.45000,101.73333,10.00,08-24-2019,01:00:00,24.3,0.00,000,978.29,29.20,96,1007.09,0.0,30.32,25.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,8.00,08-24-2019,01:00:00,24.2,3.10,000,985.83,7.30,93,1006.08,0.0,30.25,25.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,8.00,08-24-2019,01:00:00,23.8,4.00,000,985.96,37.00,92,1007.81,0.0,29.54,25.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.00,08-24-2019,01:00:00,24.2,10.00,340,987.06,40.30,97,1006.67,5.6,30.22,24.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,08-24-2019,01:00:00,24.6,0.30,070,990.78,50.10,94,1007.61,1.9,30.90,25.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,08-24-2019,01:00:00,25.0,0.30,000,989.98,27.10,94,1007.45,0.0,31.65,26.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,6.00,08-24-2019,01:00:00,24.6,0.40,000,979.85,7.80,93,1005.68,0.0,31.00,25.8
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-24-2019,01:00:00,26.0,0.60,360,1001.93,4.70,100,1007.74,3.7,33.60,26.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,6.00,08-24-2019,01:00:00,25.3,1.80,000,1000.80,3.90,96,1007.01,0.0,32.20,26.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,8.00,08-24-2019,01:00:00,23.6,0.00,000,991.33,0.00,89,1007.86,0.0,29.11,25.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,08-24-2019,01:00:00,23.3,4.90,000,985.20,10.80,93,1007.71,0.0,28.63,24.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,08-24-2019,01:00:00,23.5,0.00,280,994.52,3.60,81,1008.93,7.4,28.94,27.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,8.00,08-24-2019,01:00:00,23.2,0.00,000,991.62,0.30,80,1008.01,0.0,28.41,27.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,8.00,08-24-2019,01:00:00,25.4,0.01,000,1002.81,1.50,89,1008.04,0.0,32.45,27.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-24-2019,01:00:00,23.5,0.00,000,993.64,0.60,92,1006.92,0.0,29.00,25.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,2.00,08-24-2019,01:00:00,26.1,1.60,000,998.81,2.00,97,1008.16,0.0,33.87,26.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-24-2019,01:00:00,25.3,0.00,330,985.57,5.60,93,1007.28,3.7,32.26,26.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-24-2019,01:00:00,25.3,0.00,000,990.50,66.50,94,1006.35,0.0,32.23,26.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,7.00,08-24-2019,01:00:00,26.6,0.10,000,987.08,5.70,96,1005.92,0.0,34.81,27.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,4.00,08-24-2019,01:00:00,22.4,2.30,000,957.05,9.30,95,1008.75,0.0,27.08,23.3
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.00,08-24-2019,01:00:00,25.1,0.00,110,1003.70,0.90,92,1007.67,5.6,31.79,26.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.05,08-24-2019,01:00:00,20.9,0.50,250,913.53,15.90,99,1008.92,20.4,24.77,21.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.00,08-24-2019,01:00:00,25.6,3.70,000,991.34,12.70,99,1007.40,0.0,32.92,25.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.00,08-24-2019,01:00:00,25.3,0.01,000,1003.80,11.30,94,1007.84,0.0,32.23,26.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,6.00,08-24-2019,01:00:00,25.4,0.20,000,998.18,1.70,94,1008.90,0.0,32.43,26.4
