WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,VaporPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,WindDirection,RelativeHumidity,LandVisibility,AirTemperature,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,46.80,08-24-2019,04:00:00,12.10,29.41,1007.56,0.0,23.8,000,96,5.00,24.5,976.47
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,7.90,08-24-2019,04:00:00,4.80,28.10,1007.23,1.9,23.0,250,93,10.00,24.2,963.39
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,13.00,08-24-2019,04:00:00,3.20,26.83,1007.20,0.0,22.2,000,94,10.00,23.3,961.32
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,93.50,08-24-2019,04:00:00,1.50,27.57,1007.81,0.0,22.7,000,98,4.00,23.0,969.81
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,38.20,08-24-2019,04:00:00,6.00,28.85,1007.69,0.0,23.4,000,99,7.00,23.6,962.28
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,46.30,08-24-2019,04:00:00,6.50,30.42,1007.36,0.0,24.3,000,95,6.00,25.2,980.55
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,2.00,08-24-2019,04:00:00,1.20,30.56,1006.89,1.9,24.4,090,98,10.00,24.7,985.02
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.40,08-24-2019,04:00:00,0.00,29.13,1007.76,0.0,23.6,000,97,6.00,24.2,983.47
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,15.20,08-24-2019,04:00:00,2.20,28.28,1007.63,0.0,23.1,000,93,10.00,24.3,972.90
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,49.40,08-24-2019,04:00:00,2.00,29.93,1007.45,0.0,24.1,000,97,10.00,24.5,979.75
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,18.60,08-24-2019,04:00:00,0.10,29.93,1007.50,0.0,24.1,000,97,10.00,24.5,973.74
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,34.30,08-24-2019,04:00:00,9.80,29.85,1007.03,0.0,24.0,000,97,3.00,24.6,988.41
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.01,08-24-2019,04:00:00,0.00,29.52,1007.04,0.0,23.8,000,93,10.00,25.0,984.11
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,5.00,08-24-2019,04:00:00,4.80,29.30,1007.47,0.0,23.7,000,98,6.00,24.0,977.34
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,16.60,08-24-2019,04:00:00,0.00,29.41,1007.50,0.0,23.8,000,96,4.00,24.5,971.79
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.50,08-24-2019,04:00:00,0.00,29.66,1005.78,0.0,23.9,000,98,10.00,24.2,975.90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,11.80,08-24-2019,04:00:00,0.40,29.41,1006.73,0.0,23.8,000,96,6.00,24.5,999.36
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,79.80,08-24-2019,04:00:00,27.40,31.31,1006.22,5.6,24.8,040,98,1.00,25.1,986.22
48353,LOEI,เลย,เลย,17.45000,101.73333,29.20,08-24-2019,04:00:00,0.00,30.32,1006.14,0.0,24.3,000,96,10.00,25.0,977.36
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,11.80,08-24-2019,04:00:00,5.00,30.90,1007.16,0.0,24.6,000,94,7.00,25.6,986.91
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.50,08-24-2019,04:00:00,13.30,29.41,1006.28,0.0,23.8,000,96,7.00,24.5,984.41
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,35.10,08-24-2019,04:00:00,14.80,29.75,1005.41,3.7,24.0,340,97,9.00,24.4,985.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,41.50,08-24-2019,04:00:00,4.20,28.53,1006.49,0.0,23.3,000,96,7.00,24.0,989.60
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,69.50,08-24-2019,04:00:00,45.60,28.53,1006.68,0.0,23.3,000,96,5.00,24.0,989.12
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.60,08-24-2019,04:00:00,1.80,31.08,1005.13,0.0,24.7,000,94,10.00,25.7,979.31
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,4.20,08-24-2019,04:00:00,0.00,33.20,1006.56,3.7,25.8,060,100,10.00,25.8,1000.76
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,3.00,08-24-2019,04:00:00,0.10,31.77,1006.09,0.0,25.0,000,99,6.00,25.2,999.87
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,9.70,08-24-2019,04:00:00,9.70,29.00,1007.35,0.0,23.5,000,92,7.00,25.0,990.80
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.60,08-24-2019,04:00:00,0.00,29.15,1006.07,0.0,23.6,000,95,10.00,24.5,983.59
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-24-2019,04:00:00,0.00,28.04,1007.36,0.0,23.0,000,80,8.00,26.8,992.96
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-24-2019,04:00:00,0.00,28.87,1006.53,0.0,23.5,000,87,8.00,25.8,990.10
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.50,08-24-2019,04:00:00,27.00,31.90,1007.27,9.3,25.1,270,97,4.00,25.7,1002.02
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.20,08-24-2019,04:00:00,0.00,29.52,1004.95,0.0,23.8,000,93,10.00,25.0,991.69
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,4.40,08-24-2019,04:00:00,2.40,32.76,1006.86,0.0,25.6,000,98,10.00,26.0,997.51
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1.40,08-24-2019,04:00:00,0.50,31.49,1006.32,0.0,24.9,000,93,8.00,26.2,984.59
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,3.00,08-24-2019,04:00:00,1.30,31.55,1006.46,0.0,24.9,000,95,8.00,25.8,988.90
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,72.70,08-24-2019,04:00:00,27.40,29.00,1005.88,0.0,23.5,000,92,10.00,25.0,989.97
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.10,08-24-2019,04:00:00,0.20,32.76,1005.26,0.0,25.6,000,98,6.00,26.0,986.35
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,18.10,08-24-2019,04:00:00,8.80,25.76,1007.45,0.0,21.6,000,93,4.00,22.8,955.72
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.20,08-24-2019,04:00:00,0.00,32.23,1006.75,0.0,25.3,000,94,7.00,26.3,1002.78
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,14.60,08-24-2019,04:00:00,0.20,23.78,1007.50,9.3,20.3,200,98,.10,20.6,912.09
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,14.40,08-24-2019,04:00:00,6.60,31.77,1006.00,0.0,25.0,000,99,5.00,25.2,989.94
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,11.30,08-24-2019,04:00:00,0.00,30.67,1006.78,1.9,24.5,180,90,9.00,26.2,1002.74
