WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility,AirTemperature,Rainfall,Rainfall24Hr,VaporPressure,DewPoint,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-24-2019,16:00:00,1002.22,000,972.06,15.00,32.2,0.00,46.40,30.48,24.4,63,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-24-2019,16:00:00,1003.18,120,842.92,.80,19.6,8.50,30.00,22.79,19.6,100,20.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-24-2019,16:00:00,1002.06,150,959.57,12.00,32.2,0.00,6.80,28.78,23.4,60,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-24-2019,16:00:00,1002.05,000,957.53,15.00,31.0,0.00,13.00,30.05,24.1,67,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-24-2019,16:00:00,1003.64,000,966.54,7.00,29.0,2.30,93.70,32.55,25.5,81,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-24-2019,16:00:00,1002.66,270,958.57,15.00,31.1,0.00,44.70,30.82,24.5,68,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-24-2019,16:00:00,1004.01,160,977.53,8.00,28.0,0.10,45.30,32.23,25.3,85,7.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-24-2019,16:00:00,1005.64,000,983.90,7.00,26.1,1.20,3.20,31.03,24.7,92,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-24-2019,16:00:00,1005.06,000,980.99,8.00,26.0,3.50,6.80,30.84,24.6,92,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-24-2019,16:00:00,1003.56,000,969.61,10.00,30.0,0.01,15.40,30.31,24.3,71,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-24-2019,16:00:00,1004.44,000,977.28,10.00,29.6,0.10,49.60,29.24,23.7,71,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-24-2019,16:00:00,1003.50,000,970.55,10.00,30.7,0.00,17.20,31.15,24.7,71,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-24-2019,16:00:00,1004.10,250,985.79,15.00,28.8,0.01,35.00,31.01,24.6,78,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-24-2019,16:00:00,1003.24,000,980.89,10.00,31.6,0.00,0.00,30.98,24.6,67,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-24-2019,16:00:00,1003.89,000,974.26,7.00,28.0,4.50,9.30,33.37,25.9,88,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-24-2019,16:00:00,1004.13,000,969.08,8.00,29.2,0.00,10.40,32.38,25.4,80,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-24-2019,16:00:00,1002.11,000,972.97,15.00,30.7,0.00,17.70,32.59,25.5,74,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-24-2019,16:00:00,1004.05,000,996.85,10.00,30.5,0.00,11.80,32.75,25.6,75,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-24-2019,16:00:00,1002.75,260,983.18,12.00,30.6,0.00,131.40,33.55,26.0,76,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,08-24-2019,16:00:00,1002.37,210,974.31,15.00,31.6,0.00,21.80,30.69,24.5,66,7.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-24-2019,16:00:00,1003.06,210,983.25,15.00,31.1,0.00,22.10,30.25,24.2,67,7.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-24-2019,16:00:00,1003.84,120,982.20,12.00,27.0,0.00,36.60,31.11,24.7,87,7.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-24-2019,16:00:00,1003.64,110,984.18,12.00,26.2,0.00,41.40,30.40,24.3,89,7.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-24-2019,16:00:00,1003.98,000,987.24,9.00,26.0,8.40,47.40,30.84,24.6,92,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-24-2019,16:00:00,1004.40,000,986.96,10.00,25.5,19.50,73.10,30.71,24.5,94,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-24-2019,16:00:00,1001.99,250,976.58,15.00,29.6,0.00,16.00,30.63,24.4,74,5.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-24-2019,16:00:00,1004.99,000,999.23,8.00,28.2,0.20,4.40,34.65,26.5,91,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-24-2019,16:00:00,1005.58,000,999.41,6.00,27.5,1.00,4.10,33.78,26.1,92,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-24-2019,16:00:00,1004.67,190,988.29,10.00,27.2,10.00,22.90,32.61,25.5,90,9.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-24-2019,16:00:00,1004.74,270,982.51,8.00,27.5,2.00,10.90,30.97,24.6,84,11.1
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-24-2019,16:00:00,1005.22,290,990.99,7.00,29.7,0.00,0.00,28.61,23.3,69,13.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-24-2019,16:00:00,1004.53,120,988.27,7.00,28.4,0.00,0.00,30.23,24.2,78,11.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-24-2019,16:00:00,1004.92,210,999.69,7.00,25.8,19.60,59.10,31.00,24.6,93,7.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-24-2019,16:00:00,1003.32,000,990.21,10.00,27.7,14.40,15.60,30.81,24.5,83,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-24-2019,16:00:00,1004.47,070,995.27,10.00,30.2,0.00,4.40,34.47,26.4,80,5.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-24-2019,16:00:00,1003.05,240,981.70,10.00,30.6,0.00,8.10,30.66,24.5,70,11.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-24-2019,16:00:00,1003.16,000,985.93,12.00,30.5,0.00,17.30,31.31,24.8,72,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-24-2019,16:00:00,1003.10,190,987.22,8.00,25.0,9.80,138.60,30.32,24.3,96,5.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-24-2019,16:00:00,1002.10,210,983.58,10.00,31.5,0.00,10.10,31.64,25.0,68,7.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-24-2019,16:00:00,1007.34,000,956.09,10.00,25.6,0.00,12.80,27.47,22.6,84,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-24-2019,16:00:00,1004.49,320,1000.58,9.00,29.6,0.00,0.50,33.50,25.9,81,9.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-24-2019,16:00:00,1005.86,220,911.09,1.00,22.2,0.20,16.20,25.05,21.1,94,27.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-24-2019,16:00:00,1003.96,000,988.05,8.00,27.5,0.01,35.10,33.21,25.8,90,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-24-2019,16:00:00,1004.00,240,1000.05,10.00,32.3,0.00,11.30,31.27,24.8,65,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-24-2019,16:00:00,1005.37,000,994.82,9.00,29.8,4.30,5.60,32.46,25.4,77,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-24-2019,16:00:00,1004.94,180,1003.04,10.00,31.4,0.00,13.10,30.86,24.6,67,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-24-2019,16:00:00,1003.90,230,983.36,10.00,30.8,0.50,0.50,28.26,23.1,64,20.4
