WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,DewPoint,MaximumTemperature,WindDirection,VaporPressure,AirTemperature,WindSpeed,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,08-24-2019,19:00:00,974.10,45.30,0.01,76,23.9,34.1,000,29.60,28.5,0.0,1004.69
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,5.00,08-24-2019,19:00:00,843.24,30.00,0.00,96,18.1,23.1,120,20.82,18.8,3.7,1004.02
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,08-24-2019,19:00:00,960.54,6.30,0.00,79,23.6,32.4,360,29.17,27.7,3.7,1003.72
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,08-24-2019,19:00:00,958.62,13.00,0.00,80,24.8,32.8,000,31.26,28.5,0.0,1003.56
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,7.00,08-24-2019,19:00:00,967.69,96.40,2.70,96,24.8,31.7,000,31.25,25.5,0.0,1005.29
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,08-24-2019,19:00:00,959.36,20.50,0.00,85,25.1,32.1,000,31.95,28.0,0.0,1003.96
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,8.00,08-24-2019,19:00:00,978.23,45.90,0.60,94,25.8,32.6,000,33.14,26.9,0.0,1004.82
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10.00,08-24-2019,19:00:00,983.86,4.90,1.70,95,24.8,33.2,000,31.36,25.7,0.0,1005.63
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,08-24-2019,19:00:00,982.48,4.90,0.60,94,24.2,31.0,000,30.15,25.2,0.0,1006.66
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-24-2019,19:00:00,970.90,11.50,0.00,77,23.2,30.5,210,28.45,27.6,5.6,1005.17
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-24-2019,19:00:00,977.95,27.90,0.00,83,24.2,30.2,000,30.23,27.4,0.0,1005.33
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-24-2019,19:00:00,971.23,6.10,0.00,80,23.3,31.0,000,28.67,27.0,0.0,1004.61
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,15.00,08-24-2019,19:00:00,986.21,35.00,0.00,86,25.0,30.2,000,31.72,27.6,0.0,1004.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-24-2019,19:00:00,982.08,0.00,0.00,79,24.8,32.2,000,31.29,28.8,0.0,1004.67
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,8.00,08-24-2019,19:00:00,974.96,10.50,1.20,93,24.8,31.7,000,31.38,26.0,0.0,1004.81
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,5.00,08-24-2019,19:00:00,969.67,3.80,0.00,78,21.6,29.2,000,25.78,25.8,0.0,1005.15
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,13.00,08-24-2019,19:00:00,974.45,0.00,0.00,88,24.6,31.5,000,31.00,26.8,0.0,1004.03
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,08-24-2019,19:00:00,997.50,11.80,0.00,86,24.9,31.5,000,31.52,27.5,0.0,1004.77
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,12.00,08-24-2019,19:00:00,984.40,131.40,0.00,84,26.4,31.4,070,34.46,29.5,3.7,1004.06
48353,LOEI,เลย,เลย,17.45000,101.73333,14.00,08-24-2019,19:00:00,975.70,0.00,0.00,85,24.4,32.2,000,30.48,27.1,0.0,1004.22
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,08-24-2019,19:00:00,984.08,22.10,0.00,79,25.2,31.4,190,32.10,29.2,3.7,1004.04
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.00,08-24-2019,19:00:00,983.27,40.00,3.40,95,24.6,31.0,000,30.98,25.5,0.0,1005.04
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,8.00,08-24-2019,19:00:00,984.91,50.80,9.40,97,24.6,30.0,230,30.85,25.0,3.7,1004.46
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,08-24-2019,19:00:00,988.57,46.00,0.00,93,24.3,27.4,000,30.44,25.5,0.0,1005.36
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,08-24-2019,19:00:00,987.59,73.10,0.00,88,23.3,27.0,000,28.67,25.4,0.0,1005.04
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,12.00,08-24-2019,19:00:00,978.07,10.00,0.00,84,24.1,30.5,000,29.93,27.1,0.0,1003.74
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-24-2019,19:00:00,999.53,6.00,1.60,98,26.4,32.5,000,34.36,26.8,0.0,1005.31
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,8.00,08-24-2019,19:00:00,999.01,12.60,8.50,96,25.8,32.2,000,33.19,26.5,0.0,1005.20
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,7.00,08-24-2019,19:00:00,989.55,25.50,2.60,90,24.9,31.9,000,31.44,26.6,0.0,1005.99
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.00,08-24-2019,19:00:00,982.55,20.20,10.00,93,23.6,29.6,000,29.16,24.8,0.0,1004.98
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.00,08-24-2019,19:00:00,991.60,0.00,0.00,72,22.2,33.1,250,26.78,27.7,11.1,1005.94
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,08-24-2019,19:00:00,989.10,1.80,1.80,96,24.8,35.0,000,31.25,25.5,0.0,1005.54
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,7.00,08-24-2019,19:00:00,1000.32,68.20,9.10,97,25.0,31.7,000,31.60,25.4,0.0,1005.57
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-24-2019,19:00:00,990.77,15.60,0.00,91,25.5,31.7,000,32.69,27.1,0.0,1003.92
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.00,08-24-2019,19:00:00,996.16,27.50,23.50,98,25.9,32.0,140,33.35,26.3,3.7,1005.49
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-24-2019,19:00:00,982.72,7.40,0.01,80,23.3,31.4,230,28.67,27.0,7.4,1004.34
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,08-24-2019,19:00:00,987.20,17.30,0.00,82,24.5,31.6,000,30.72,27.8,0.0,1004.61
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-24-2019,19:00:00,988.23,139.30,0.70,97,24.7,25.8,000,31.04,25.1,0.0,1004.12
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,08-24-2019,19:00:00,984.69,8.70,0.00,77,23.2,31.6,000,28.45,27.6,0.0,1003.47
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.00,08-24-2019,19:00:00,956.32,11.70,0.00,91,22.7,28.4,000,27.60,24.2,0.0,1007.83
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,08-24-2019,19:00:00,1001.05,2.20,1.70,92,25.7,31.8,340,32.97,27.1,5.6,1005.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.10,08-24-2019,19:00:00,911.24,4.70,0.40,97,20.3,26.0,240,23.85,20.8,14.8,1006.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.00,08-24-2019,19:00:00,988.55,35.10,0.00,97,26.1,27.8,000,33.87,26.7,0.0,1004.51
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10.00,08-24-2019,19:00:00,1000.77,6.10,0.00,88,25.9,33.8,000,33.37,28.0,0.0,1004.78
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,08-24-2019,19:00:00,995.48,6.80,1.40,90,24.6,32.0,000,30.86,26.3,0.0,1006.17
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.00,08-24-2019,19:00:00,1003.66,1.00,0.60,84,26.1,33.5,030,33.91,29.1,9.3,1005.57
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-24-2019,19:00:00,983.85,0.60,0.10,85,24.5,33.1,000,30.67,27.2,0.0,1004.65
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-24-2019,19:00:00,987.25,8.40,0.00,94,25.5,27.5,000,32.63,26.5,0.0,1004.90
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-24-2019,19:00:00,988.03,12.70,0.00,92,25.6,27.8,000,32.77,27.0,0.0,1004.14
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-24-2019,19:00:00,991.31,34.10,0.20,88,24.6,28.0,000,31.00,26.8,0.0,1005.33
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.00,08-24-2019,19:00:00,991.13,27.30,0.00,92,25.1,28.0,000,31.79,26.5,0.0,1005.97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,8.00,08-24-2019,19:00:00,991.12,28.20,0.00,91,25.9,28.4,000,33.41,27.6,0.0,1005.75
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-24-2019,19:00:00,1001.65,3.30,1.50,90,25.5,33.4,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",32.61,27.2,0.0,1004.66
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,8.00,08-24-2019,19:00:00,997.61,19.50,10.60,93,24.1,32.6,210,30.07,25.3,14.8,1005.59
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.00,08-24-2019,19:00:00,1003.84,0.00,0.00,68,23.3,34.5,240,28.64,30.0,18.5,1004.93
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-24-2019,19:00:00,991.08,38.50,0.00,70,21.8,29.0,000,26.18,27.8,0.0,1005.71
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,08-24-2019,19:00:00,872.52,3.80,0.00,99,20.5,23.8,220,24.16,20.7,5.6,1007.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,08-24-2019,19:00:00,999.50,3.20,0.00,88,26.3,33.1,000,34.19,28.4,0.0,1005.35
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.00,08-24-2019,19:00:00,1005.07,0.00,0.00,74,24.4,34.1,240,30.63,29.6,5.6,1005.87
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-24-2019,19:00:00,1005.81,0.00,0.00,77,25.1,33.0,230,31.85,29.5,11.1,1006.25
