WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,WindDirection,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.19,08-25-2019,13:00:00,69,000,31.0,0.0,30.60,1003.88,10.00,0.00,973.56,24.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.54,08-25-2019,13:00:00,97,150,19.9,27.8,8.50,1004.56,4.00,0.00,844.23,19.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.51,08-25-2019,13:00:00,62,110,31.5,3.7,0.00,1003.67,12.00,0.00,961.01,23.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.37,08-25-2019,13:00:00,63,000,31.0,0.0,3.00,1003.71,15.00,0.00,959.12,23.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,33.40,08-25-2019,13:00:00,72,000,31.5,0.0,10.20,1004.71,8.00,0.00,967.86,25.9
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.90,08-25-2019,13:00:00,69,070,31.0,5.6,0.00,1004.40,12.00,0.00,960.21,24.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.33,08-25-2019,13:00:00,65,130,32.8,5.6,0.70,1004.44,12.00,0.00,978.36,25.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.33,08-25-2019,13:00:00,67,280,30.5,11.1,2.90,1004.73,15.00,0.00,983.32,23.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.09,08-25-2019,13:00:00,63,000,31.0,0.0,5.40,1005.33,10.00,0.00,981.64,23.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.27,08-25-2019,13:00:00,63,280,31.6,5.6,5.80,1004.18,10.00,0.00,970.38,23.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,29.65,08-25-2019,13:00:00,67,000,30.8,0.0,0.10,1005.17,10.00,0.00,978.10,23.9
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,29.98,08-25-2019,13:00:00,69,000,30.4,0.0,3.50,1004.09,12.00,0.00,971.09,24.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.20,08-25-2019,13:00:00,63,240,32.2,1.9,4.40,1004.24,12.00,0.00,986.13,24.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.20,08-25-2019,13:00:00,63,000,32.2,0.0,3.40,1004.51,10.00,0.00,982.18,24.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.11,08-25-2019,13:00:00,62,000,31.8,0.0,17.90,1004.71,12.00,0.00,975.42,23.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.34,08-25-2019,13:00:00,72,000,31.0,0.0,0.00,1005.67,7.00,0.00,970.77,25.4
