WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,DewPoint,MeanSeaLevelPressure,StationPressure,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,Rainfall24Hr,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,08-25-2019,22:00:00,0.0,24.6,1006.57,975.66,25.9,30.92,0.00,93,11.10,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-25-2019,22:00:00,0.0,19.1,1004.87,844.58,20.1,22.16,0.00,94,0.00,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,08-25-2019,22:00:00,3.7,24.2,1004.65,961.40,27.5,30.15,0.00,82,0.00,150
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,12.00,08-25-2019,22:00:00,0.0,25.2,1005.33,960.13,27.3,31.97,0.00,88,3.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,6.00,08-25-2019,22:00:00,0.0,23.9,1006.32,968.69,25.5,29.64,0.00,91,6.10,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,08-25-2019,22:00:00,0.0,23.5,1004.70,959.64,25.0,29.00,2.00,92,2.00,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,8.00,08-25-2019,22:00:00,0.0,26.0,1006.17,979.64,28.0,33.66,0.00,89,0.00,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,08-25-2019,22:00:00,0.0,24.5,1006.51,984.72,25.7,30.81,0.00,93,4.90,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,08-25-2019,22:00:00,0.0,23.5,1007.89,983.66,25.0,29.00,0.00,92,0.80,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-25-2019,22:00:00,3.7,23.5,1005.84,971.58,27.9,29.01,0.00,77,3.40,200
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-25-2019,22:00:00,0.0,23.1,1007.88,980.30,26.0,28.18,0.00,84,0.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-25-2019,22:00:00,0.0,24.8,1005.77,972.35,27.0,31.38,0.00,88,3.50,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10.00,08-25-2019,22:00:00,3.7,25.0,1005.85,987.40,27.0,31.66,0.00,89,3.70,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-25-2019,22:00:00,0.0,25.0,1005.35,982.70,28.3,31.70,0.00,82,3.40,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10.00,08-25-2019,22:00:00,0.0,24.5,1005.20,975.52,27.8,30.72,0.00,82,12.20,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,08-25-2019,22:00:00,0.0,25.5,1006.22,970.78,26.5,32.63,0.00,94,0.00,000
