WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,Rainfall24Hr,VaporPressure,AirTemperature,MeanSeaLevelPressure,StationPressure,WindSpeed,LandVisibility,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.4,08-26-2019,01:00:00,0.00,4.00,30.63,25.6,1006.39,975.45,0.0,6.00,000,93
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.8,08-26-2019,01:00:00,0.00,0.00,21.63,19.4,1004.62,844.03,11.1,8.00,200,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.5,08-26-2019,01:00:00,0.00,0.00,28.98,26.3,1004.69,961.27,0.0,12.00,000,85
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.9,08-26-2019,01:00:00,0.00,3.00,29.74,25.7,1005.11,959.69,0.0,12.00,000,90
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.6,08-26-2019,01:00:00,0.00,6.10,30.87,25.3,1007.03,969.35,0.0,5.00,000,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.4,08-26-2019,01:00:00,0.00,2.00,28.83,25.2,1003.84,958.84,0.0,10.00,000,90
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.8,08-26-2019,01:00:00,1.10,1.10,31.30,26.1,1006.05,979.36,9.3,6.00,120,93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.1,08-26-2019,01:00:00,0.00,4.90,30.07,25.3,1005.63,983.83,1.9,12.00,090,93
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.5,08-26-2019,01:00:00,0.00,0.60,29.00,25.0,1007.15,982.95,0.0,6.00,000,92
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.1,08-26-2019,01:00:00,0.00,0.00,28.18,26.0,1005.33,970.88,3.7,10.00,200,84
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.3,08-26-2019,01:00:00,0.00,0.00,28.59,25.5,1007.52,979.90,0.0,10.00,000,88
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.6,08-26-2019,01:00:00,0.00,0.30,30.84,26.0,1006.42,972.86,0.0,10.00,000,92
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.6,08-26-2019,01:00:00,0.00,1.50,30.84,26.0,1004.96,986.47,0.0,10.00,000,92
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.1,08-26-2019,01:00:00,0.00,0.30,31.80,27.5,1005.22,982.52,0.0,10.00,000,87
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.2,08-26-2019,01:00:00,0.00,0.00,30.26,26.7,1005.06,975.27,0.0,6.00,000,86
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.7,08-26-2019,01:00:00,0.00,0.00,31.08,25.7,1004.79,969.31,0.0,6.00,000,94
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.6,08-26-2019,01:00:00,0.00,1.20,29.16,24.8,1004.64,974.85,0.0,10.00,000,93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.0,08-26-2019,01:00:00,0.00,7.30,31.71,26.6,1005.72,998.42,0.0,9.00,000,91
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.8,08-26-2019,01:00:00,14.20,41.00,31.33,25.4,1003.89,983.97,5.6,3.00,010,97
48353,LOEI,เลย,เลย,17.45000,101.73333,24.3,08-26-2019,01:00:00,0.00,1.20,30.43,26.5,1004.59,976.00,0.0,12.00,000,88
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.5,08-26-2019,01:00:00,7.20,23.70,32.63,26.5,1004.60,984.46,7.4,5.00,080,94
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.6,08-26-2019,01:00:00,0.01,2.60,31.00,25.8,1005.91,984.14,0.0,9.00,000,93
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.4,08-26-2019,01:00:00,0.00,13.50,32.37,25.8,1004.78,985.27,0.0,10.00,000,97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.2,08-26-2019,01:00:00,0.00,5.90,30.15,25.2,1005.54,988.73,0.0,10.00,000,94
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.8,08-26-2019,01:00:00,0.00,0.00,29.42,24.8,1005.55,988.05,0.0,10.00,000,94
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.4,08-26-2019,01:00:00,0.00,24.50,32.53,27.3,1004.37,978.70,0.0,10.00,000,90
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.1,08-26-2019,01:00:00,0.00,4.40,33.80,26.1,1005.09,999.30,0.0,10.00,000,100
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.7,08-26-2019,01:00:00,0.00,6.10,33.04,26.0,1005.51,999.31,0.0,10.00,000,98
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.8,08-26-2019,01:00:00,0.00,0.70,29.52,25.0,1006.31,989.78,9.3,10.00,210,93
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.2,08-26-2019,01:00:00,0.20,10.20,28.44,24.1,1005.69,983.19,3.7,8.00,150,95
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.2,08-26-2019,01:00:00,0.00,0.00,26.67,27.2,1006.35,991.99,9.3,7.00,270,74
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.6,08-26-2019,01:00:00,0.00,0.00,29.19,28.0,1004.82,988.53,0.0,7.00,000,77
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.3,08-26-2019,01:00:00,0.50,4.20,30.42,25.2,1006.21,1000.96,0.0,10.00,000,95
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.3,08-26-2019,01:00:00,1.00,5.80,30.42,25.2,1005.08,991.83,0.0,10.00,000,95
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.7,08-26-2019,01:00:00,0.00,1.20,31.08,25.7,1005.90,996.55,0.0,10.00,000,94
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.3,08-26-2019,01:00:00,4.20,13.40,32.26,25.6,1005.10,983.36,0.0,8.00,000,98
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.1,08-26-2019,01:00:00,2.80,14.70,30.02,27.0,1005.46,987.99,9.3,8.00,220,84
