WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,LandVisibility,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,DewPoint,StationPressure,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-26-2019,13:00:00,000,12.00,0.00,31.2,66,1004.05,24.0,973.74,29.88,3.10
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.4,08-26-2019,13:00:00,290,8.00,0.00,23.3,89,1001.14,21.3,842.99,25.35,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,5.6,08-26-2019,13:00:00,100,15.00,0.00,32.5,62,1002.26,24.4,959.80,30.53,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,9.3,08-26-2019,13:00:00,100,15.00,0.00,32.0,64,1002.11,24.5,957.73,30.65,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-26-2019,13:00:00,000,12.00,0.00,31.9,71,1003.04,26.0,966.30,33.67,6.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,08-26-2019,13:00:00,000,12.00,0.00,31.5,63,1002.72,23.6,958.68,29.07,2.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,08-26-2019,13:00:00,180,12.00,0.00,31.7,72,1003.95,26.1,977.79,33.83,3.90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,5.6,08-26-2019,13:00:00,240,15.00,0.00,32.3,58,1004.08,23.0,982.81,28.13,4.90
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-26-2019,13:00:00,000,10.00,0.00,29.0,74,1005.50,23.9,981.65,29.74,0.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,08-26-2019,13:00:00,190,10.00,0.00,32.3,61,1003.29,23.7,969.60,29.26,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,9.3,08-26-2019,13:00:00,190,10.00,0.00,33.4,56,1005.43,23.5,978.57,28.92,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-26-2019,13:00:00,000,15.00,0.00,32.7,60,1003.07,23.8,970.35,29.50,0.40
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.7,08-26-2019,13:00:00,300,15.00,0.00,31.2,71,1003.77,25.3,985.60,32.18,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,9.3,08-26-2019,13:00:00,230,10.00,0.00,31.3,73,1003.87,25.8,981.48,33.27,4.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-26-2019,13:00:00,000,12.00,0.00,30.6,67,1004.11,23.7,974.72,29.25,3.20
