WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,Rainfall24Hr,LandVisibility,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure,WindDirection,Rainfall,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1001.76,08-26-2019,16:00:00,24.0,2.30,15.00,31.9,0.0,63,29.87,000,0.00,971.59
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,999.39,08-26-2019,16:00:00,19.9,0.00,8.00,23.5,5.6,80,23.27,110,0.00,841.62
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,999.89,08-26-2019,16:00:00,24.1,0.00,12.00,33.8,5.6,57,30.04,160,0.00,957.70
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1001.21,08-26-2019,16:00:00,25.9,0.00,15.00,28.0,0.0,88,33.37,000,0.00,956.30
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1002.07,08-26-2019,16:00:00,24.5,5.40,12.00,29.5,0.0,75,30.72,000,0.00,965.08
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1001.38,08-26-2019,16:00:00,22.5,2.00,12.00,32.0,11.1,57,27.27,130,0.00,957.47
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1002.28,08-26-2019,16:00:00,26.6,4.00,12.00,30.2,0.0,81,34.77,000,0.10,976.04
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1002.81,08-26-2019,16:00:00,26.1,8.80,13.00,28.8,0.0,86,33.86,000,3.90,981.32
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1003.70,08-26-2019,16:00:00,23.3,0.50,14.00,30.3,14.8,66,28.67,120,0.00,980.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1002.96,08-26-2019,16:00:00,24.9,19.80,10.00,27.5,3.7,86,31.52,240,19.80,968.75
