WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,AirTemperature,Rainfall,DewPoint,WindDirection,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.91,08-27-2019,04:00:00,7.00,88,1004.80,0.00,28.85,25.5,0.00,23.4,000,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,842.28,08-27-2019,04:00:00,8.00,95,1002.83,0.00,20.73,18.9,0.00,18.1,270,5.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,959.88,08-27-2019,04:00:00,10.00,89,1003.41,0.00,28.57,25.2,0.00,23.3,230,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,958.21,08-27-2019,04:00:00,10.00,93,1003.75,0.00,28.63,24.5,0.00,23.3,000,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,966.80,08-27-2019,04:00:00,6.00,99,1004.35,0.00,32.53,25.6,0.00,25.4,000,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,957.92,08-27-2019,04:00:00,10.00,94,1003.03,0.00,28.36,24.2,0.00,23.2,000,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,977.53,08-27-2019,04:00:00,7.00,95,1004.23,0.70,31.17,25.6,0.00,24.7,000,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,982.80,08-27-2019,04:00:00,15.00,96,1004.66,4.70,28.70,24.1,0.00,23.4,120,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.49,08-27-2019,04:00:00,6.00,94,1005.68,0.00,29.25,24.7,0.00,23.7,000,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.25,08-27-2019,04:00:00,10.00,93,1004.82,22.10,29.16,24.8,0.00,23.6,000,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.00,08-27-2019,04:00:00,10.00,98,1004.61,1.70,30.38,24.6,0.00,24.3,000,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,970.74,08-27-2019,04:00:00,10.00,96,1004.34,0.40,30.32,25.0,0.00,24.3,000,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,985.31,08-27-2019,04:00:00,10.00,94,1003.85,0.00,29.79,25.0,0.00,24.0,000,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,981.23,08-27-2019,04:00:00,10.00,95,1004.05,4.00,31.17,25.6,0.00,24.7,000,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,974.46,08-27-2019,04:00:00,6.00,92,1004.29,1.80,30.84,26.0,0.00,24.6,000,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,968.89,08-27-2019,04:00:00,6.00,96,1004.46,12.00,29.95,24.8,0.00,24.1,000,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,973.99,08-27-2019,04:00:00,3.00,99,1003.81,4.90,29.92,24.2,3.00,24.0,000,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,996.54,08-27-2019,04:00:00,8.00,94,1003.86,9.00,30.71,25.5,0.00,24.5,000,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,984.34,08-27-2019,04:00:00,2.00,98,1004.31,40.80,30.75,24.8,11.20,24.5,150,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,975.25,08-27-2019,04:00:00,5.00,96,1003.97,6.00,30.32,25.0,3.50,24.3,000,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,984.03,08-27-2019,04:00:00,9.00,94,1004.26,26.20,29.79,25.0,4.00,24.0,000,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,982.87,08-27-2019,04:00:00,10.00,94,1004.69,31.40,29.42,24.8,1.80,23.8,000,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,984.81,08-27-2019,04:00:00,10.00,99,1004.39,25.10,30.65,24.6,3.10,24.4,000,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,987.89,08-27-2019,04:00:00,6.00,96,1005.40,42.00,29.41,24.5,15.50,23.8,000,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,977.40,08-27-2019,04:00:00,10.00,98,1003.26,12.40,30.56,24.7,0.01,24.4,000,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,998.11,08-27-2019,04:00:00,10.00,100,1003.91,15.00,32.23,25.3,0.00,25.3,060,3.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,997.58,08-27-2019,04:00:00,8.00,98,1003.80,71.60,30.56,24.7,0.00,24.4,000,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.38,08-27-2019,04:00:00,8.00,96,1005.96,3.80,28.53,24.0,0.00,23.3,000,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,981.50,08-27-2019,04:00:00,10.00,96,1003.97,2.10,28.53,24.0,0.00,23.3,000,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,990.30,08-27-2019,04:00:00,10.00,72,1004.62,0.00,26.43,27.5,0.00,22.0,260,14.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,987.57,08-27-2019,04:00:00,8.00,81,1003.94,0.00,27.49,26.2,0.00,22.6,000,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,999.41,08-27-2019,04:00:00,10.00,95,1004.65,0.40,31.17,25.6,0.00,24.7,000,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.17,08-27-2019,04:00:00,10.00,96,1003.41,8.60,30.13,24.9,0.00,24.2,000,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,994.90,08-27-2019,04:00:00,11.00,95,1004.23,2.30,31.55,25.8,0.00,24.9,000,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.41,08-27-2019,04:00:00,7.00,95,1004.17,2.60,30.23,25.1,0.00,24.2,170,1.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,985.83,08-27-2019,04:00:00,10.00,88,1003.36,2.50,28.59,25.5,0.00,23.3,000,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,988.30,08-27-2019,04:00:00,10.00,98,1004.21,33.50,30.56,24.7,0.80,24.4,000,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.69,08-27-2019,04:00:00,8.00,89,1003.59,1.00,29.48,25.7,0.00,23.8,200,3.7
