WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,DewPoint,VaporPressure,MinimumTemperature,RelativeHumidity,StationPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-27-2019,07:00:00,0.00,25.5,1005.68,0.00,0.0,23.7,29.38,23.7,90,974.75,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,290,08-27-2019,07:00:00,0.00,18.8,1003.72,0.00,7.4,18.5,21.25,18.5,98,842.98,6.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,08-27-2019,07:00:00,0.00,25.0,1005.16,0.00,0.0,23.4,28.74,24.8,91,961.53,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-27-2019,07:00:00,0.00,24.5,1004.89,0.00,0.0,23.8,29.41,23.0,96,959.30,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-27-2019,07:00:00,0.00,25.2,1005.58,0.00,0.0,24.9,31.49,24.9,98,967.94,10.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,08-27-2019,07:00:00,0.00,25.0,1004.37,0.00,0.0,23.4,28.74,24.0,91,959.32,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,08-27-2019,07:00:00,0.00,25.5,1005.77,0.10,0.0,24.8,31.25,24.9,96,979.02,9.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,08-27-2019,07:00:00,0.00,23.8,1005.20,4.70,0.0,23.4,28.69,23.6,97,983.30,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-27-2019,07:00:00,0.00,24.5,1006.21,0.00,0.0,23.5,28.89,23.0,94,981.98,5.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-27-2019,07:00:00,0.00,25.0,1005.49,22.10,0.0,24.1,30.05,24.5,95,970.91,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-27-2019,07:00:00,0.00,24.8,1005.46,1.70,0.0,24.5,30.75,24.0,98,977.84,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-27-2019,07:00:00,0.00,24.6,1005.10,0.40,0.0,23.7,29.33,24.4,95,971.44,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,08-27-2019,07:00:00,0.00,25.2,1004.95,0.00,0.0,24.3,30.42,24.8,95,986.41,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-27-2019,07:00:00,0.00,25.6,1005.53,1.70,0.0,24.1,30.09,25.1,92,982.68,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-27-2019,07:00:00,0.00,25.0,1005.32,0.80,0.0,23.5,29.00,24.8,92,975.35,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-27-2019,07:00:00,0.00,24.3,1005.76,12.00,0.0,23.9,29.57,24.3,97,970.09,2.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-27-2019,07:00:00,3.70,24.2,1004.65,7.60,0.0,24.0,29.92,24.2,99,974.80,5.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-27-2019,07:00:00,0.00,25.6,1005.23,9.00,0.0,24.7,31.17,25.5,95,997.91,6.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,260,08-27-2019,07:00:00,25.40,24.7,1005.01,66.20,3.7,24.4,30.56,24.4,98,985.02,3.00
48353,LOEI,เลย,เลย,17.45000,101.73333,000,08-27-2019,07:00:00,3.50,25.1,1004.70,8.50,0.0,24.4,30.50,24.9,96,975.97,5.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,000,08-27-2019,07:00:00,2.10,25.0,1005.35,16.00,0.0,24.1,30.05,24.7,95,985.09,6.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,08-27-2019,07:00:00,1.10,25.2,1005.89,18.80,0.0,24.2,30.15,24.6,94,984.08,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,100,08-27-2019,07:00:00,2.80,25.1,1004.96,15.40,3.7,24.8,31.31,24.3,98,985.41,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-27-2019,07:00:00,0.60,25.0,1006.19,40.60,0.0,24.0,29.79,24.0,94,989.36,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-27-2019,07:00:00,1.00,24.5,1006.88,18.40,0.0,23.8,29.41,23.2,96,989.34,7.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-27-2019,07:00:00,10.20,24.7,1004.42,12.80,0.0,24.4,30.56,24.5,98,978.53,5.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,08-27-2019,07:00:00,0.00,26.0,1005.63,15.00,0.0,25.7,33.04,23.3,98,999.83,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-27-2019,07:00:00,0.00,25.2,1005.04,71.60,0.0,25.0,31.77,24.3,99,998.82,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-27-2019,07:00:00,0.00,25.0,1006.61,3.20,0.0,23.5,29.00,23.8,92,990.08,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-27-2019,07:00:00,0.00,24.5,1004.68,2.10,0.0,23.8,29.41,23.8,96,982.23,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,08-27-2019,07:00:00,0.00,26.8,1005.75,0.00,0.0,23.0,28.04,26.2,80,991.37,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-27-2019,07:00:00,0.00,26.0,1005.31,0.00,0.0,23.1,28.18,25.5,84,988.91,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,120,08-27-2019,07:00:00,0.00,25.5,1005.48,0.40,3.7,24.6,30.98,24.6,95,1000.24,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-27-2019,07:00:00,0.00,24.7,1004.51,8.60,0.0,24.3,30.30,24.1,97,991.25,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,08-27-2019,07:00:00,0.00,26.0,1005.26,2.30,0.0,25.4,32.48,25.3,97,995.92,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,230,08-27-2019,07:00:00,1.30,24.8,1005.87,3.80,5.6,24.4,30.48,24.5,97,984.05,5.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,08-27-2019,07:00:00,0.00,25.0,1005.48,0.00,0.0,23.5,29.00,24.5,92,987.89,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,08-27-2019,07:00:00,0.00,25.0,1005.57,23.90,0.0,24.3,30.32,24.5,96,989.65,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,250,08-27-2019,07:00:00,3.10,25.0,1004.60,3.70,5.6,24.4,30.58,24.5,97,985.64,5.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-27-2019,07:00:00,4.00,23.0,1005.88,17.10,0.0,21.8,26.09,21.5,93,954.26,7.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,100,08-27-2019,07:00:00,0.00,25.5,1005.54,11.60,7.4,24.8,31.25,24.9,96,1001.57,4.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,230,08-27-2019,07:00:00,0.01,20.5,1006.48,1.40,9.3,20.2,23.64,20.0,98,911.13,.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,160,08-27-2019,07:00:00,0.01,25.4,1005.49,4.20,7.4,24.5,30.79,24.8,95,989.44,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,160,08-27-2019,07:00:00,0.00,26.1,1005.61,0.01,3.7,24.7,31.03,25.6,92,1001.57,9.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-27-2019,07:00:00,1.10,24.5,1007.04,39.60,0.0,23.8,29.41,24.2,96,996.28,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,090,08-27-2019,07:00:00,0.00,25.5,1006.30,9.70,3.7,24.0,29.91,25.0,92,1004.36,6.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,000,08-27-2019,07:00:00,0.01,24.5,1005.95,2.40,0.0,23.8,29.41,23.0,96,984.94,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,180,08-27-2019,07:00:00,0.00,25.6,1005.44,1.10,9.3,24.3,30.36,24.8,93,987.73,10.00
