WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,VaporPressure,DewPoint,MeanSeaLevelPressure,Rainfall,WindDirection,WindSpeed,RelativeHumidity,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,08-27-2019,10:00:00,975.59,28.91,23.5,1006.18,0.00,020,1.9,72,29.0,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.00,08-27-2019,10:00:00,844.14,23.23,19.9,1003.82,0.00,280,5.6,93,21.0,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-27-2019,10:00:00,962.32,28.74,23.4,1005.56,0.00,150,5.6,76,27.9,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,08-27-2019,10:00:00,960.61,29.60,23.9,1005.80,0.00,000,0.0,81,27.5,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,08-27-2019,10:00:00,968.69,32.23,25.3,1006.00,0.00,000,0.0,85,28.0,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,08-27-2019,10:00:00,960.90,30.72,24.5,1005.34,0.00,000,0.0,75,29.5,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,08-27-2019,10:00:00,979.95,32.30,25.3,1006.38,0.00,190,9.3,79,29.3,0.10
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,14.00,08-27-2019,10:00:00,984.77,28.43,23.2,1006.35,0.00,240,5.6,73,28.6,4.70
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,08-27-2019,10:00:00,983.47,27.44,22.6,1007.41,0.00,000,0.0,71,28.5,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-27-2019,10:00:00,971.74,29.86,24.0,1005.74,0.00,000,0.0,70,30.2,22.10
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-27-2019,10:00:00,978.91,31.97,25.2,1006.10,0.00,000,0.0,77,29.7,1.70
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,08-27-2019,10:00:00,972.52,29.44,23.8,1005.64,0.00,000,0.0,71,29.7,0.40
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,15.00,08-27-2019,10:00:00,987.68,31.02,24.7,1006.13,0.00,240,5.6,87,27.1,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-27-2019,10:00:00,983.34,29.16,23.6,1005.89,0.00,000,0.0,70,29.7,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,08-27-2019,10:00:00,976.48,29.30,23.7,1006.05,0.00,000,0.0,72,29.2,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,08-27-2019,10:00:00,970.57,32.13,25.2,1005.64,0.00,000,0.0,78,29.5,12.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,14.00,08-27-2019,10:00:00,976.21,31.38,24.8,1005.92,0.10,140,3.7,93,26.0,7.30
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.00,08-27-2019,10:00:00,999.65,31.64,25.0,1006.94,0.00,000,0.0,85,27.7,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.00,08-27-2019,10:00:00,986.14,32.76,25.6,1006.07,7.10,260,3.7,98,26.0,65.10
48353,LOEI,เลย,เลย,17.45000,101.73333,8.00,08-27-2019,10:00:00,977.46,31.63,25.0,1006.07,0.20,100,3.7,90,26.7,8.50
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.00,08-27-2019,10:00:00,986.69,28.70,23.4,1007.04,33.70,260,3.7,96,24.1,48.90
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,08-27-2019,10:00:00,985.07,30.83,24.5,1006.77,0.00,130,3.7,87,27.0,18.80
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,08-27-2019,10:00:00,986.38,31.55,24.9,1005.85,0.01,180,3.7,90,26.8,14.40
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,08-27-2019,10:00:00,990.15,32.36,25.4,1006.86,0.10,000,0.0,88,27.5,40.10
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,08-27-2019,10:00:00,989.53,32.73,25.5,1006.90,0.80,000,0.0,90,27.4,18.70
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,6.00,08-27-2019,10:00:00,979.90,29.30,23.7,1005.89,12.40,000,0.0,98,24.0,23.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-27-2019,10:00:00,1001.65,32.55,25.5,1007.40,0.00,000,0.0,81,29.0,15.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,08-27-2019,10:00:00,999.61,33.94,26.2,1005.77,0.00,250,5.6,90,28.0,71.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-27-2019,10:00:00,991.06,29.08,23.6,1007.53,0.00,000,0.0,84,26.5,3.20
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,08-27-2019,10:00:00,983.67,29.91,24.0,1006.08,6.70,210,3.7,92,25.5,8.80
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,08-27-2019,10:00:00,992.63,28.67,23.3,1006.91,0.00,300,7.4,70,29.3,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,12.00,08-27-2019,10:00:00,989.97,28.94,23.5,1006.16,0.00,000,0.0,67,30.3,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-27-2019,10:00:00,1001.92,31.41,24.9,1007.14,0.00,180,3.7,87,27.3,0.40
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-27-2019,10:00:00,992.77,30.59,24.4,1005.98,0.00,000,0.0,89,26.3,8.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,12.00,08-27-2019,10:00:00,997.39,31.11,24.7,1006.68,0.00,100,1.9,82,28.0,2.30
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-27-2019,10:00:00,984.82,30.97,24.6,1006.53,1.70,210,5.6,89,26.5,5.50
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,08-27-2019,10:00:00,989.73,30.56,24.4,1007.17,0.00,240,5.6,81,28.0,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-27-2019,10:00:00,990.05,31.54,24.9,1005.78,0.00,210,9.3,81,28.5,23.40
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,08-27-2019,10:00:00,986.92,31.66,25.0,1005.78,1.60,000,0.0,89,27.0,5.30
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10.00,08-27-2019,10:00:00,957.14,27.01,22.4,1008.68,0.00,000,0.0,89,24.3,10.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,08-27-2019,10:00:00,1002.84,31.38,24.8,1006.80,0.00,150,11.1,88,27.0,11.60
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,6.00,08-27-2019,10:00:00,912.19,24.65,20.9,1007.00,0.20,260,9.3,91,22.4,0.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.00,08-27-2019,10:00:00,990.48,32.16,25.3,1006.44,0.00,270,5.6,88,27.4,1.20
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,08-27-2019,10:00:00,1002.97,30.81,24.5,1007.00,0.00,190,5.6,83,27.7,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,08-27-2019,10:00:00,997.87,31.25,24.8,1008.61,1.40,000,0.0,96,25.5,41.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10.00,08-27-2019,10:00:00,1006.26,30.43,24.3,1008.19,2.20,000,0.0,88,26.5,11.90
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-27-2019,10:00:00,986.31,29.89,24.0,1007.20,0.00,250,7.4,86,26.5,2.40
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-27-2019,10:00:00,989.23,29.69,23.9,1006.87,0.00,210,11.1,81,27.4,0.60
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-27-2019,10:00:00,990.15,29.79,24.0,1006.26,0.00,200,7.4,81,27.6,1.10
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-27-2019,10:00:00,992.82,28.91,23.5,1006.71,0.00,220,9.3,68,30.0,8.10
