WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,Rainfall24Hr,WindSpeed,Rainfall,RelativeHumidity,VaporPressure,WindDirection,LandVisibility,StationPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1003.90,08-27-2019,13:00:00,24.0,0.00,1.9,0.00,63,29.79,170,10.00,973.67,32.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1003.85,08-27-2019,13:00:00,23.8,0.00,7.4,0.00,67,29.45,150,10.00,961.08,30.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1004.08,08-27-2019,13:00:00,24.6,1.00,0.0,1.00,89,30.89,000,6.00,966.67,26.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1003.55,08-27-2019,13:00:00,23.3,22.10,3.7,0.00,60,28.66,130,10.00,969.82,32.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1004.13,08-27-2019,13:00:00,24.5,0.00,3.7,0.00,73,30.67,210,15.00,985.88,29.9
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1004.00,08-27-2019,13:00:00,25.2,0.01,0.0,0.00,73,32.09,000,7.00,969.11,30.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1005.49,08-27-2019,13:00:00,25.0,9.00,9.3,0.00,75,31.72,210,7.00,998.27,30.0
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.03,08-27-2019,13:00:00,24.5,0.01,5.6,0.01,79,30.70,170,15.00,975.64,28.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1004.18,08-27-2019,13:00:00,24.7,55.30,9.3,6.60,87,31.02,240,13.00,984.08,27.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1005.01,08-27-2019,13:00:00,24.7,19.10,0.0,0.30,78,31.13,000,12.00,983.48,29.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1004.10,08-27-2019,13:00:00,25.0,14.40,3.7,0.00,79,31.69,200,12.00,984.81,29.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1005.76,08-27-2019,13:00:00,23.6,2.80,0.0,0.00,77,29.19,000,10.00,989.40,28.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1005.48,08-27-2019,13:00:00,23.9,9.20,3.7,0.40,74,29.74,270,10.00,983.34,29.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,1004.98,08-27-2019,13:00:00,22.8,0.00,16.7,0.00,59,27.82,260,9.00,990.86,32.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1004.44,08-27-2019,13:00:00,25.2,8.60,0.0,0.00,87,32.00,000,12.00,991.30,27.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1005.08,08-27-2019,13:00:00,25.1,2.30,7.4,0.00,72,31.93,150,12.00,995.89,30.8
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1004.95,08-27-2019,13:00:00,24.6,0.00,7.4,0.00,69,30.90,240,10.00,987.71,31.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1004.39,08-27-2019,13:00:00,24.5,23.40,5.6,0.00,75,30.72,200,12.00,988.73,29.5
