WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,DewPoint,WindSpeed,AirTemperature,WindDirection,StationPressure,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-28-2019,13:00:00,12.00,65,1004.73,23.9,0.0,31.2,000,974.40,1.80,29.60
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-28-2019,13:00:00,6.00,98,1004.10,19.7,3.7,20.0,120,843.89,5.50,22.91
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-28-2019,13:00:00,12.00,77,1005.87,24.8,13.0,29.2,040,962.80,14.50,31.25
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.20,08-28-2019,13:00:00,8.00,71,1005.39,24.0,3.7,29.9,070,960.56,32.20,29.83
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-28-2019,13:00:00,12.00,73,1005.36,25.1,0.0,30.5,000,968.37,28.70,31.88
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-28-2019,13:00:00,11.00,76,1005.73,24.7,9.3,29.3,230,961.25,6.90,31.16
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.01,08-28-2019,13:00:00,10.00,72,1006.13,25.0,5.6,30.7,140,979.83,26.70,31.72
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-28-2019,13:00:00,12.00,76,1006.02,24.3,3.7,29.0,350,984.48,0.00,30.29
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-28-2019,13:00:00,10.00,60,1005.81,22.2,0.0,31.0,000,982.11,0.00,26.73
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-28-2019,13:00:00,10.00,67,1005.64,23.4,3.7,30.2,160,971.64,2.60,28.75
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,2.80,08-28-2019,13:00:00,10.00,74,1007.13,23.4,0.0,28.5,000,979.80,40.80,28.78
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-28-2019,13:00:00,12.00,65,1005.78,23.2,0.0,30.5,000,972.73,6.40,28.50
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.30,08-28-2019,13:00:00,5.00,83,1006.21,25.1,0.0,28.2,000,987.82,54.40,31.79
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-28-2019,13:00:00,10.00,68,1005.58,24.5,0.0,31.1,000,983.14,12.00,30.82
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-28-2019,13:00:00,12.00,73,1005.70,24.6,0.0,30.0,000,976.22,9.80,30.87
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-28-2019,13:00:00,7.00,89,1006.29,26.0,0.0,28.0,000,971.03,20.00,33.66
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-28-2019,13:00:00,17.00,70,1004.37,25.2,5.6,31.3,080,975.21,15.80,32.10
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,2.70,08-28-2019,13:00:00,8.00,81,1005.73,26.0,0.0,29.5,000,998.50,61.90,33.58
