WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,WindSpeed,DewPoint,MeanSeaLevelPressure,Rainfall,AirTemperature,StationPressure,VaporPressure,WindDirection,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,08-28-2019,22:00:00,87,0.0,24.8,1006.91,0.00,27.2,976.12,31.22,000,2.40
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-28-2019,22:00:00,99,7.4,19.3,1006.25,0.00,19.5,845.45,22.42,120,5.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-28-2019,22:00:00,85,0.0,23.5,1007.18,0.00,26.3,963.65,28.98,000,14.50
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,12.00,08-28-2019,22:00:00,92,0.0,24.6,1007.36,0.40,26.0,961.88,30.84,000,32.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,6.00,08-28-2019,22:00:00,97,0.0,24.4,1007.72,0.00,25.0,969.98,30.58,000,0.70
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.00,08-28-2019,22:00:00,95,3.7,24.7,1007.72,7.30,25.6,962.61,31.17,170,8.80
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,8.00,08-28-2019,22:00:00,90,0.0,25.0,1007.75,0.00,26.7,981.06,31.63,000,2.10
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,08-28-2019,22:00:00,83,1.9,24.0,1007.15,0.00,27.0,985.43,29.75,070,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,08-28-2019,22:00:00,82,0.0,23.6,1007.90,0.00,27.0,983.83,29.21,000,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-28-2019,22:00:00,81,0.0,24.4,1007.38,0.00,28.0,973.08,30.56,000,2.60
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-28-2019,22:00:00,92,0.0,25.1,1007.56,0.00,26.5,980.03,31.79,000,39.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-28-2019,22:00:00,84,0.0,24.6,1006.54,0.00,27.5,973.15,30.97,000,6.40
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10.00,08-28-2019,22:00:00,92,0.0,25.6,1006.92,0.90,27.0,988.45,32.77,000,55.30
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-28-2019,22:00:00,94,0.0,25.0,1007.28,0.01,26.0,984.43,31.65,000,7.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,8.00,08-28-2019,22:00:00,93,0.0,24.1,1007.64,0.00,25.3,977.64,30.07,000,5.90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,08-28-2019,22:00:00,93,0.0,25.1,1007.80,0.00,26.3,972.29,31.96,000,20.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,08-28-2019,22:00:00,92,0.0,23.5,1006.67,0.00,25.0,976.84,29.00,000,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,08-28-2019,22:00:00,86,0.0,25.8,1006.51,0.00,28.3,999.24,33.12,000,61.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,12.00,08-28-2019,22:00:00,93,5.6,26.8,1005.81,0.00,28.1,986.02,35.32,310,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,08-28-2019,22:00:00,89,3.7,24.0,1006.69,0.00,26.0,977.99,29.76,020,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,08-28-2019,22:00:00,89,5.6,25.9,1005.71,0.00,27.9,985.64,33.45,280,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,08-28-2019,22:00:00,91,0.0,25.5,1005.95,0.00,27.1,984.27,32.69,000,0.40
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,12.00,08-28-2019,22:00:00,88,0.0,25.6,1005.51,0.00,27.7,986.11,32.76,000,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,08-28-2019,22:00:00,87,0.0,25.3,1006.25,0.00,27.7,989.57,32.20,000,0.80
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,08-28-2019,22:00:00,94,0.0,26.1,1006.51,0.00,27.1,989.13,33.82,000,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,08-28-2019,22:00:00,91,3.7,25.4,1005.95,0.00,27.0,980.22,32.49,280,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-28-2019,22:00:00,81,0.0,25.1,1006.44,0.00,28.7,1000.69,31.94,000,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,08-28-2019,22:00:00,79,0.0,25.3,1006.61,0.00,29.3,1000.47,32.30,000,1.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,8.00,08-28-2019,22:00:00,89,0.0,25.6,1007.57,0.60,27.6,991.16,32.84,000,0.60
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,08-28-2019,22:00:00,88,3.7,23.4,1006.67,0.00,25.5,984.26,28.85,280,1.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.00,08-28-2019,22:00:00,69,9.3,22.1,1007.31,0.00,28.5,992.99,26.65,260,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,08-28-2019,22:00:00,72,0.0,22.9,1007.18,0.00,28.5,990.88,27.97,000,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-28-2019,22:00:00,88,0.0,26.0,1006.60,0.00,28.3,1001.40,33.70,000,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-28-2019,22:00:00,92,0.0,26.1,1005.64,0.00,27.5,992.49,33.78,000,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,08-28-2019,22:00:00,84,0.0,24.5,1006.90,0.00,27.5,997.60,30.70,000,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,8.00,08-28-2019,22:00:00,84,5.6,24.7,1005.83,0.00,27.7,984.23,31.08,330,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,8.00,08-28-2019,22:00:00,73,9.3,22.3,1005.55,0.00,27.5,988.11,26.95,230,1.90
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-28-2019,22:00:00,92,0.0,25.6,1005.50,0.00,27.0,989.69,32.77,000,1.60
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,08-28-2019,22:00:00,89,0.0,25.5,1004.96,0.00,27.5,986.15,32.64,000,0.30
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.00,08-28-2019,22:00:00,91,0.0,22.7,1009.76,0.00,24.2,958.15,27.60,000,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,08-28-2019,22:00:00,88,0.0,27.4,1006.17,0.00,29.6,1002.25,36.47,000,0.00
