WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,Rainfall,VaporPressure,StationPressure,Rainfall24Hr,MinimumTemperature,DewPoint,AirTemperature,MeanSeaLevelPressure,WindDirection,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-29-2019,07:00:00,92,0.50,30.28,975.32,1.30,24.4,24.2,25.7,1006.24,000,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,9.3,08-29-2019,07:00:00,99,0.00,21.73,843.97,2.40,18.9,18.8,19.0,1004.78,110,7.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-29-2019,07:00:00,91,0.00,30.38,962.57,0.00,25.5,24.3,25.9,1006.11,000,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-29-2019,07:00:00,95,0.00,29.69,960.40,0.80,24.1,23.9,24.8,1005.99,000,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-29-2019,07:00:00,100,0.00,31.66,968.72,2.20,24.5,25.0,25.0,1006.42,000,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,08-29-2019,07:00:00,98,0.00,31.12,961.38,7.30,23.8,24.7,25.0,1006.53,000,6.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-29-2019,07:00:00,96,0.30,31.63,979.93,0.90,25.1,25.0,25.7,1006.68,000,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-29-2019,07:00:00,94,0.00,30.71,984.13,0.00,25.0,24.5,25.5,1005.92,000,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-29-2019,07:00:00,87,0.00,27.62,982.77,0.00,23.5,22.7,25.1,1006.96,000,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-29-2019,07:00:00,86,0.00,28.97,971.31,0.01,25.8,23.5,26.0,1005.78,000,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-29-2019,07:00:00,97,0.00,31.41,978.46,15.00,25.0,24.9,25.3,1006.05,000,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-29-2019,07:00:00,92,0.00,30.84,971.85,0.00,25.8,24.6,26.0,1005.37,000,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,08-29-2019,07:00:00,94,0.00,32.04,987.03,2.20,25.6,25.2,26.2,1005.52,000,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-29-2019,07:00:00,96,0.00,30.87,983.06,2.30,25.0,24.6,25.3,1005.94,000,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-29-2019,07:00:00,96,0.00,29.41,976.35,0.20,24.0,23.8,24.5,1006.39,000,5.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-29-2019,07:00:00,97,0.00,29.93,970.40,2.00,24.5,24.1,24.5,1006.06,000,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-29-2019,07:00:00,97,0.00,30.40,974.77,0.00,24.4,24.3,24.9,1004.55,000,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-29-2019,07:00:00,94,0.00,32.04,997.81,2.70,26.2,25.2,26.2,1005.12,000,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,08-29-2019,07:00:00,96,0.00,33.59,984.00,0.00,26.4,26.0,26.7,1003.84,270,11.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-29-2019,07:00:00,95,0.00,30.05,976.72,0.00,24.5,24.1,25.0,1005.48,000,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,08-29-2019,07:00:00,90,0.00,31.44,984.31,0.00,25.5,24.9,26.6,1004.44,280,13.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,08-29-2019,07:00:00,91,0.00,30.19,982.79,0.40,25.3,24.2,25.8,1004.53,000,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,08-29-2019,07:00:00,97,0.00,33.27,984.38,0.00,25.8,25.8,26.4,1003.83,000,12.00
