WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,WindSpeed,VaporPressure,RelativeHumidity,AirTemperature,Rainfall24Hr,LandVisibility,DewPoint,StationPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-29-2019,10:00:00,1006.80,0.0,31.46,80,28.6,1.10,10.00,24.9,976.16,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-29-2019,10:00:00,1005.83,3.7,22.32,96,19.9,2.40,7.00,19.3,845.29,140
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-29-2019,10:00:00,1005.74,0.0,29.99,72,29.7,0.00,12.00,24.1,962.75,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-29-2019,10:00:00,1006.01,0.0,30.93,78,28.9,0.60,15.00,24.6,961.02,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-29-2019,10:00:00,1005.78,0.0,33.00,80,29.5,2.20,12.00,25.7,968.65,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-29-2019,10:00:00,1006.44,11.1,32.67,84,28.5,7.30,9.00,25.5,961.80,280
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.01,08-29-2019,10:00:00,1006.59,0.0,34.54,84,29.4,0.90,10.00,26.5,980.16,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-29-2019,10:00:00,1006.17,1.9,30.47,73,29.8,0.00,15.00,24.4,984.67,080
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-29-2019,10:00:00,1007.59,0.0,29.60,81,27.5,0.00,10.00,23.9,983.57,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-29-2019,10:00:00,1006.50,0.0,30.85,77,29.0,0.01,10.00,24.6,972.34,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-29-2019,10:00:00,1006.75,0.0,31.74,81,28.6,3.30,10.00,25.0,979.44,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-29-2019,10:00:00,1006.43,0.0,31.95,85,28.0,0.00,10.00,25.1,973.10,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-29-2019,10:00:00,1005.93,0.0,32.13,78,29.5,2.20,10.00,25.2,987.63,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-29-2019,10:00:00,1005.93,5.6,32.01,79,29.3,2.30,10.00,25.2,983.35,070
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-29-2019,10:00:00,1006.21,0.0,30.96,76,29.2,0.00,12.00,24.6,976.63,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-29-2019,10:00:00,1006.29,0.0,33.58,81,29.5,2.00,7.00,26.0,971.20,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-29-2019,10:00:00,1004.70,9.3,33.66,82,29.4,0.00,17.00,26.0,975.35,320
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-29-2019,10:00:00,1005.45,0.0,33.17,78,30.0,2.70,10.00,25.8,998.23,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-29-2019,10:00:00,1004.57,7.4,34.60,80,30.4,0.00,15.00,26.5,984.96,330
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-29-2019,10:00:00,1005.26,5.6,29.93,74,29.1,0.00,15.00,24.1,976.89,310
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-29-2019,10:00:00,1005.13,5.6,32.13,75,30.2,0.00,13.00,25.2,985.23,300
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-29-2019,10:00:00,1005.64,0.0,31.29,79,28.8,0.40,12.00,24.8,984.08,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-29-2019,10:00:00,1004.53,0.0,31.46,80,28.6,0.00,15.00,24.9,985.20,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-29-2019,10:00:00,1005.25,0.0,32.84,89,27.6,0.00,10.00,25.6,988.58,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-29-2019,10:00:00,1005.25,0.0,34.69,89,28.5,0.00,12.00,26.5,987.97,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-29-2019,10:00:00,1003.68,5.6,32.46,81,29.1,0.00,14.00,25.4,978.19,250
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-29-2019,10:00:00,1005.43,3.7,36.14,85,30.0,0.00,10.00,27.2,999.71,300
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-29-2019,10:00:00,1006.20,0.0,35.65,86,29.5,0.00,10.00,27.0,1000.07,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-29-2019,10:00:00,1006.15,0.0,30.70,79,28.5,0.60,10.00,24.5,989.81,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-29-2019,10:00:00,1005.29,7.4,29.19,73,29.0,1.20,10.00,23.6,983.16,240
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-29-2019,10:00:00,1006.53,13.0,28.26,64,30.8,0.00,10.00,23.1,992.33,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-29-2019,10:00:00,1006.32,11.1,28.09,63,31.0,0.00,8.00,23.0,990.17,120
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-29-2019,10:00:00,1006.13,7.4,32.59,80,29.3,0.00,10.00,25.5,1000.95,320
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-29-2019,10:00:00,1004.79,0.0,32.52,86,28.0,0.00,12.00,25.4,991.67,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-29-2019,10:00:00,1005.66,9.3,30.38,69,30.6,0.00,12.00,24.3,996.46,340
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.20,08-29-2019,10:00:00,1005.26,1.9,31.66,89,27.0,2.60,9.00,25.0,983.61,320
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,33.70,08-29-2019,10:00:00,1005.23,9.3,30.15,94,25.2,76.90,8.00,24.2,987.66,250
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.01,08-29-2019,10:00:00,1004.38,0.0,33.37,88,28.0,1.60,12.00,25.9,988.64,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.90,08-29-2019,10:00:00,1004.45,0.0,33.10,95,26.6,1.50,9.00,25.7,985.59,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-29-2019,10:00:00,1009.15,0.0,26.02,80,25.5,0.00,11.00,21.7,957.79,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-29-2019,10:00:00,1005.61,5.6,31.72,75,30.0,0.00,8.00,25.0,1001.70,310
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.01,08-29-2019,10:00:00,1007.36,9.3,24.33,89,22.5,0.20,6.00,20.7,912.54,210
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.30,08-29-2019,10:00:00,1004.77,7.4,31.52,91,26.5,43.90,7.00,24.9,988.80,320
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-29-2019,10:00:00,1006.01,0.0,31.88,73,30.5,0.00,10.00,25.1,1002.02,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-29-2019,10:00:00,1007.06,0.0,31.11,82,28.0,12.80,9.00,24.7,996.42,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-29-2019,10:00:00,1006.85,0.0,31.95,85,28.0,83.30,10.00,25.1,1004.93,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1.00,08-29-2019,10:00:00,1005.27,3.7,31.99,92,26.6,1.00,7.00,25.2,984.42,260
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.10,08-29-2019,10:00:00,1004.73,3.7,31.55,90,26.8,25.10,10.00,24.9,987.10,290
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.20,08-29-2019,10:00:00,1004.70,0.0,32.26,93,26.6,13.10,10.00,25.3,988.56,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,9.10,08-29-2019,10:00:00,1005.67,7.4,31.55,95,25.8,26.80,8.00,24.9,991.60,310
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,18.40,08-29-2019,10:00:00,1006.23,0.0,31.52,97,25.5,57.60,5.00,24.9,991.34,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.60,08-29-2019,10:00:00,1005.45,3.7,33.35,98,26.3,9.40,6.00,25.9,990.77,310
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-29-2019,10:00:00,1006.26,0.0,32.79,80,29.4,0.80,10.00,25.6,1003.27,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-29-2019,10:00:00,1005.79,0.0,32.88,88,27.9,0.00,10.00,25.6,997.87,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-29-2019,10:00:00,1006.25,3.7,31.39,83,28.0,2.10,8.00,24.8,1005.14,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,4.20,08-29-2019,10:00:00,1005.71,0.0,32.48,97,26.0,17.70,2.00,25.4,991.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-29-2019,10:00:00,1006.49,0.0,24.01,99,20.6,0.40,.10,20.4,872.04,000
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-29-2019,10:00:00,1006.18,0.0,33.50,91,27.5,74.80,5.00,25.9,1000.31,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-29-2019,10:00:00,1006.20,1.9,30.47,73,29.8,7.40,8.00,24.4,1005.40,300
