WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,RelativeHumidity,Rainfall,DewPoint,MeanSeaLevelPressure,WindDirection,LandVisibility,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-29-2019,13:00:00,32.06,69,0.00,25.2,1004.10,000,15.00,31.7,1.10,973.84,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-29-2019,13:00:00,23.56,89,0.00,20.1,1003.26,120,8.00,22.0,2.40,844.16,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-29-2019,13:00:00,30.49,61,0.00,24.4,1003.60,000,12.00,32.9,0.00,961.13,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-29-2019,13:00:00,33.12,69,0.00,25.8,1003.76,000,15.00,32.2,0.40,959.34,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-29-2019,13:00:00,33.96,68,0.00,26.2,1003.18,340,12.00,33.0,2.20,966.57,9.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-29-2019,13:00:00,20.35,44,0.00,17.8,1004.31,000,12.00,31.5,7.30,960.20,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-29-2019,13:00:00,35.19,70,0.00,26.8,1003.97,090,12.00,33.0,0.90,977.92,5.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-29-2019,13:00:00,31.93,69,0.00,25.1,1004.03,300,15.00,31.5,0.00,982.71,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-29-2019,13:00:00,29.07,63,0.00,23.6,1005.37,000,10.00,31.5,0.00,981.71,0.0
48326,MAE JO AGROMET.,แม่โจ้ สกษ.,เชียงใหม่,18.78333,98.98333,08-29-2019,13:00:00,10.71,100,0.00,8.0,919.15,000,8.00,8.0,0.00,885.70,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-29-2019,13:00:00,30.28,61,0.00,24.2,1004.14,350,10.00,32.8,0.01,970.48,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-29-2019,13:00:00,31.57,63,0.00,24.9,1004.33,000,10.00,33.0,0.50,977.47,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-29-2019,13:00:00,28.99,62,0.00,23.5,1004.41,020,12.00,31.6,0.00,971.53,9.3
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-29-2019,13:00:00,33.66,67,0.00,26.0,1003.61,000,12.00,33.0,0.90,985.56,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-29-2019,13:00:00,35.21,72,0.00,26.8,1003.48,000,10.00,32.6,2.30,981.19,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-29-2019,13:00:00,34.68,71,0.00,26.5,1003.67,240,12.00,32.5,0.00,974.47,5.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-29-2019,13:00:00,31.68,67,0.00,25.0,1003.76,000,7.00,31.8,2.00,969.02,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-29-2019,13:00:00,36.36,74,0.00,27.3,1002.54,050,16.00,32.7,0.00,973.57,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-29-2019,13:00:00,33.25,64,0.00,25.8,1004.33,000,11.00,33.5,0.00,997.20,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-29-2019,13:00:00,36.22,74,0.00,27.3,1002.48,320,15.00,32.5,0.00,983.04,7.4
48353,LOEI,เลย,เลย,17.45000,101.73333,08-29-2019,13:00:00,27.02,56,0.00,22.4,1002.91,310,15.00,32.3,0.00,974.90,9.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-29-2019,13:00:00,32.01,70,0.00,25.2,1003.19,300,13.00,31.4,0.00,983.40,5.6
