WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,DewPoint,StationPressure,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.50,08-29-2019,22:00:00,0.00,25.6,973.80,91,32.89,0.0,000,1004.52,27.2,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,2.40,08-29-2019,22:00:00,0.00,17.8,843.46,82,20.32,0.0,000,1003.01,21.0,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-29-2019,22:00:00,0.00,25.0,959.77,82,31.70,0.0,000,1002.84,28.3,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-29-2019,22:00:00,0.00,24.8,957.82,88,31.38,0.0,000,1002.95,27.0,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1.70,08-29-2019,22:00:00,0.00,26.3,965.97,91,34.23,0.0,000,1003.18,28.0,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-29-2019,22:00:00,0.00,24.7,958.58,82,31.11,0.0,000,1003.14,28.0,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.30,08-29-2019,22:00:00,0.00,27.1,977.02,92,35.87,3.7,320,1003.44,28.5,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-29-2019,22:00:00,0.00,24.9,982.24,90,31.55,0.0,000,1003.90,26.8,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-29-2019,22:00:00,0.00,25.1,981.30,87,31.80,0.0,000,1005.26,27.5,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,08-29-2019,22:00:00,0.00,24.4,969.32,80,30.59,0.0,000,1003.45,28.3,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1.20,08-29-2019,22:00:00,0.00,25.5,976.83,90,32.61,0.0,000,1004.20,27.2,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-29-2019,22:00:00,0.00,25.8,970.30,87,33.20,0.0,000,1003.52,28.2,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-29-2019,22:00:00,0.00,25.7,984.79,88,33.08,0.0,000,1003.13,28.0,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-29-2019,22:00:00,0.00,27.1,980.14,91,35.92,0.0,000,1002.68,28.8,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-29-2019,22:00:00,0.00,25.8,973.47,92,33.17,0.0,000,1003.15,27.2,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,2.00,08-29-2019,22:00:00,0.00,26.8,968.39,96,35.23,0.0,000,1003.62,27.5,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-29-2019,22:00:00,0.00,26.3,971.87,96,34.19,0.0,000,1001.35,27.0,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-29-2019,22:00:00,0.00,27.1,996.07,87,35.86,0.0,000,1003.29,29.6,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-29-2019,22:00:00,0.00,27.1,980.33,89,35.89,9.3,260,999.93,29.2,11.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-29-2019,22:00:00,0.00,25.6,973.18,85,32.75,0.0,000,1001.51,28.4,12.00
