WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,WindSpeed,VaporPressure,RelativeHumidity,Rainfall,StationPressure,AirTemperature,Rainfall24Hr,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1004.02,08-30-2019,01:00:00,000,24.9,0.0,31.52,91,0.00,973.25,26.5,0.50,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1003.29,08-30-2019,01:00:00,090,19.2,11.1,22.24,95,0.00,843.21,20.0,0.00,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1001.37,08-30-2019,01:00:00,000,24.2,0.0,30.26,86,0.00,958.15,26.7,0.00,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1001.51,08-30-2019,01:00:00,000,24.3,0.0,30.46,92,0.00,956.26,25.8,0.00,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1002.13,08-30-2019,01:00:00,000,25.3,0.0,32.20,96,0.00,964.72,26.0,1.70,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1001.56,08-30-2019,01:00:00,000,25.3,0.0,32.20,96,0.00,956.78,26.0,0.00,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1002.05,08-30-2019,01:00:00,000,26.4,0.0,34.36,94,0.00,975.58,27.5,0.30,7.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1002.44,08-30-2019,01:00:00,000,24.8,0.0,31.38,93,0.00,980.75,26.0,0.00,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1004.72,08-30-2019,01:00:00,000,24.3,0.0,30.43,88,0.00,980.69,26.5,0.00,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1003.19,08-30-2019,01:00:00,000,24.7,0.0,31.11,87,0.00,968.93,27.0,0.01,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.53,08-30-2019,01:00:00,000,24.5,0.0,30.71,94,0.00,976.03,25.5,1.20,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1002.86,08-30-2019,01:00:00,000,25.3,0.0,32.18,92,0.00,969.51,26.7,0.00,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1000.85,08-30-2019,01:00:00,000,26.3,0.0,34.19,96,0.00,982.49,27.0,0.00,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1001.19,08-30-2019,01:00:00,000,26.2,0.0,33.99,92,0.00,978.59,27.6,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1001.59,08-30-2019,01:00:00,000,25.5,0.0,32.71,95,0.00,971.88,26.4,0.00,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1001.27,08-30-2019,01:00:00,000,25.7,0.0,33.02,94,0.00,966.03,26.7,2.00,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,998.75,08-30-2019,01:00:00,000,25.4,0.0,32.48,97,0.00,969.25,26.0,0.00,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1001.75,08-30-2019,01:00:00,000,26.1,0.0,33.78,88,0.00,994.52,28.2,0.00,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,997.58,08-30-2019,01:00:00,210,27.1,3.7,35.87,92,0.00,977.98,28.5,0.00,10.00
48353,LOEI,เลย,เลย,17.45000,101.73333,999.06,08-30-2019,01:00:00,360,24.8,5.6,31.30,87,0.00,970.68,27.1,0.00,10.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,998.16,08-30-2019,01:00:00,280,25.2,9.3,32.07,84,0.01,978.27,28.2,0.01,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,996.86,08-30-2019,01:00:00,290,25.0,14.8,31.66,89,4.80,975.37,27.0,11.20,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,996.33,08-30-2019,01:00:00,260,25.8,9.3,33.30,95,5.10,977.04,26.7,16.00,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,996.62,08-30-2019,01:00:00,300,24.8,1.9,31.38,93,3.50,980.00,26.0,43.80,10.00
