WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,VaporPressure,RelativeHumidity,WindDirection,WindSpeed,MeanSeaLevelPressure,Rainfall,StationPressure,AirTemperature,DewPoint,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,08-30-2019,10:00:00,31.61,78,000,0.0,1003.34,0.00,972.85,29.1,25.0,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-30-2019,10:00:00,24.28,94,000,0.0,1001.09,0.00,842.19,21.7,20.6,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,08-30-2019,10:00:00,33.45,82,000,0.0,1002.13,0.00,959.24,29.3,25.9,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,08-30-2019,10:00:00,32.52,86,000,0.0,1002.18,1.80,957.22,28.0,25.4,1.80
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,08-30-2019,10:00:00,32.60,87,000,0.0,1001.56,0.01,964.40,27.9,25.5,8.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,08-30-2019,10:00:00,34.03,94,000,0.0,1002.86,0.20,958.20,27.2,26.2,1.50
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,08-30-2019,10:00:00,31.02,87,040,3.7,1002.10,0.10,975.60,27.1,24.7,2.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,08-30-2019,10:00:00,31.72,86,070,1.9,1002.03,1.50,980.47,27.6,25.0,1.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,08-30-2019,10:00:00,30.42,83,000,0.0,1003.59,0.00,979.67,27.5,24.3,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-30-2019,10:00:00,30.56,81,000,0.0,1002.46,0.00,968.33,28.0,24.4,0.40
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,8.00,08-30-2019,10:00:00,31.19,93,000,0.0,1002.90,0.80,975.45,25.9,24.7,3.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-30-2019,10:00:00,31.20,83,000,0.0,1002.32,0.00,969.11,27.9,24.7,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,12.00,08-30-2019,10:00:00,29.70,93,150,1.9,1002.21,9.90,983.70,25.1,23.9,39.50
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-30-2019,10:00:00,30.45,82,000,0.0,1001.38,0.00,978.79,27.8,24.3,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,08-30-2019,10:00:00,31.22,87,080,9.3,1001.58,10.00,971.94,27.2,24.8,11.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,08-30-2019,10:00:00,30.97,84,000,0.0,1001.87,0.00,966.70,27.5,24.6,0.01
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.00,08-30-2019,10:00:00,35.19,94,310,3.7,998.34,5.00,969.04,27.9,26.8,5.90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,08-30-2019,10:00:00,28.70,73,310,18.5,1000.95,0.00,993.73,28.6,23.4,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,12.00,08-30-2019,10:00:00,31.48,73,340,11.1,997.73,0.20,978.24,30.3,24.9,2.00
48353,LOEI,เลย,เลย,17.45000,101.73333,14.00,08-30-2019,10:00:00,32.39,83,330,9.3,998.81,4.50,970.57,28.5,25.4,5.30
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,08-30-2019,10:00:00,30.72,75,320,14.8,997.12,0.00,977.33,29.5,24.5,2.30
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,6.00,08-30-2019,10:00:00,27.25,91,350,5.6,995.26,1.50,973.59,24.0,22.5,15.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,6.00,08-30-2019,10:00:00,28.61,97,120,22.2,994.74,3.10,975.31,23.9,23.3,22.20
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,6.00,08-30-2019,10:00:00,27.43,90,080,18.5,999.92,2.30,983.16,24.4,22.6,48.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,8.00,08-30-2019,10:00:00,27.92,95,090,14.8,999.36,8.00,981.91,23.8,22.9,60.80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,15.00,08-30-2019,10:00:00,33.37,88,310,13.0,996.42,0.00,971.01,28.0,25.9,4.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-30-2019,10:00:00,34.65,91,000,0.0,1002.47,0.00,996.74,28.2,26.5,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,8.00,08-30-2019,10:00:00,33.66,89,000,0.0,1000.84,0.01,994.71,28.0,26.0,0.01
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,7.00,08-30-2019,10:00:00,31.17,95,000,0.0,1001.04,41.30,984.63,25.6,24.7,63.30
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,08-30-2019,10:00:00,30.02,84,000,0.0,1002.07,0.00,979.87,27.0,24.1,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,08-30-2019,10:00:00,28.08,71,260,14.8,1001.71,0.00,987.48,28.7,23.0,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,8.00,08-30-2019,10:00:00,28.50,65,240,11.1,1001.38,0.00,985.28,30.5,23.2,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-30-2019,10:00:00,31.95,85,330,7.4,1000.37,1.20,995.20,28.0,25.1,1.20
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,7.00,08-30-2019,10:00:00,31.85,94,000,0.0,999.56,9.30,986.42,26.1,25.1,14.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,08-30-2019,10:00:00,30.46,77,300,9.3,1000.57,0.00,991.36,28.8,24.3,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.00,08-30-2019,10:00:00,32.77,92,300,13.0,997.24,0.30,975.77,27.0,25.6,15.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,6.00,08-30-2019,10:00:00,31.10,100,000,0.0,997.35,20.60,979.89,24.7,24.7,147.70
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,9.00,08-30-2019,10:00:00,27.15,99,180,3.7,998.03,35.60,982.11,22.6,22.4,176.70
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,08-30-2019,10:00:00,32.37,97,000,0.0,996.16,3.50,977.41,25.8,25.4,23.70
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,11.00,08-30-2019,10:00:00,27.10,87,000,0.0,1005.42,0.00,954.13,24.8,22.4,1.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.00,08-30-2019,10:00:00,31.17,95,190,18.5,1000.64,2.00,996.69,25.6,24.7,2.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.20,08-30-2019,10:00:00,25.07,99,230,11.1,1004.07,0.20,909.20,21.3,21.1,0.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.00,08-30-2019,10:00:00,30.46,99,000,0.0,996.48,72.60,980.53,24.5,24.3,198.90
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,5.00,08-30-2019,10:00:00,33.50,95,000,0.0,1001.86,0.90,997.84,26.8,25.9,1.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,08-30-2019,10:00:00,30.30,90,150,1.9,1002.70,0.01,992.04,26.0,24.3,1.20
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,08-30-2019,10:00:00,30.59,89,000,0.0,1001.87,0.00,999.94,26.3,24.4,1.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-30-2019,10:00:00,29.82,91,250,13.0,999.46,2.90,978.66,25.6,24.0,22.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,4.00,08-30-2019,10:00:00,28.53,96,230,22.2,996.62,48.30,978.97,24.0,23.3,249.50
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.00,08-30-2019,10:00:00,29.11,100,200,20.4,996.17,42.50,980.00,23.6,23.6,210.30
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-30-2019,10:00:00,28.27,95,190,5.6,1000.93,5.60,986.84,24.0,23.1,72.90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,5.00,08-30-2019,10:00:00,28.01,96,180,5.6,1002.00,3.20,987.08,23.7,23.0,61.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,2.50,08-30-2019,10:00:00,29.75,97,180,9.3,1001.70,1.40,986.98,24.4,24.0,44.70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,8.00,08-30-2019,10:00:00,32.73,90,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1000.75,0.20,997.76,27.4,25.5,2.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,08-30-2019,10:00:00,30.34,94,000,0.0,1001.56,7.80,993.61,25.3,24.3,8.20
