WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,VaporPressure,DewPoint,RelativeHumidity,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,5.6,08-30-2019,16:00:00,968.25,28.92,23.5,77,998.71,28.0,8.00,0.10,130,0.10
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,5.6,08-30-2019,16:00:00,839.60,21.73,18.8,82,997.85,22.0,8.00,0.00,130,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,11.1,08-30-2019,16:00:00,953.69,28.43,23.2,53,995.67,34.0,15.00,0.01,010,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,11.1,08-30-2019,16:00:00,952.01,26.04,21.8,50,995.91,33.5,15.00,1.80,080,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-30-2019,16:00:00,960.88,34.40,26.4,88,997.83,28.5,8.00,10.20,000,1.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,5.6,08-30-2019,16:00:00,953.11,35.06,26.7,77,996.93,31.3,12.00,2.00,050,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,16.7,08-30-2019,16:00:00,970.81,33.10,25.7,72,996.80,31.5,10.00,2.60,310,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.9,08-30-2019,16:00:00,976.02,35.17,26.8,79,997.25,30.8,12.00,5.90,210,0.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-30-2019,16:00:00,975.19,33.40,25.9,72,998.69,31.5,10.00,0.00,000,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,08-30-2019,16:00:00,964.32,27.80,22.8,67,998.12,29.7,10.00,4.50,250,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-30-2019,16:00:00,970.02,35.37,26.9,77,996.82,31.3,10.00,6.30,000,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-30-2019,16:00:00,964.64,32.34,25.4,72,997.36,31.0,10.00,1.00,000,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,08-30-2019,16:00:00,978.72,35.15,26.8,91,996.93,28.3,4.00,43.00,000,3.40
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-30-2019,16:00:00,973.75,33.62,26.0,72,995.94,31.6,10.00,1.00,000,1.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-30-2019,16:00:00,966.94,34.64,26.5,82,996.14,30.0,10.00,13.00,000,2.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-30-2019,16:00:00,962.89,32.93,25.7,73,997.50,31.0,7.00,1.80,000,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,08-30-2019,16:00:00,966.34,29.00,23.5,92,995.85,25.0,6.00,50.70,130,44.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-30-2019,16:00:00,988.68,34.90,26.6,76,995.80,31.5,10.00,0.01,000,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.1,08-30-2019,16:00:00,976.56,31.14,24.7,86,996.21,27.3,12.00,2.00,080,0.00
