WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,AirTemperature,WindDirection,WindSpeed,VaporPressure,StationPressure,MeanSeaLevelPressure,LandVisibility,RelativeHumidity,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.8,08-31-2019,10:00:00,0.80,27.6,000,0.0,33.13,971.07,1001.67,10.00,90,35.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.4,08-31-2019,10:00:00,0.00,18.6,140,16.7,21.19,841.19,1001.70,7.00,99,2.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.4,08-31-2019,10:00:00,0.00,29.9,020,11.1,28.72,958.81,1001.60,10.00,68,1.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.3,08-31-2019,10:00:00,0.00,28.9,360,9.3,30.37,956.93,1001.74,15.00,76,0.20
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.8,08-31-2019,10:00:00,0.40,25.5,000,0.0,31.25,964.93,1002.42,12.00,96,9.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.7,08-31-2019,10:00:00,0.00,27.0,050,5.6,33.06,957.20,1001.84,10.00,93,29.40
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.1,08-31-2019,10:00:00,0.20,27.2,000,0.0,31.77,976.21,1002.72,8.00,88,12.20
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.9,08-31-2019,10:00:00,4.80,25.9,000,0.0,31.46,981.19,1002.89,10.00,94,100.60
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.3,08-31-2019,10:00:00,6.90,24.7,000,0.0,30.30,978.90,1003.03,4.00,97,32.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.5,08-31-2019,10:00:00,0.30,27.4,000,0.0,30.78,968.00,1002.19,10.00,84,9.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.2,08-31-2019,10:00:00,0.00,25.8,000,0.0,30.19,975.46,1002.92,10.00,91,32.10
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.0,08-31-2019,10:00:00,0.00,28.0,000,0.0,28.12,968.79,1001.98,10.00,74,20.50
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.4,08-31-2019,10:00:00,8.10,25.6,000,0.0,30.63,984.19,1002.66,4.00,93,59.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.0,08-31-2019,10:00:00,0.50,27.3,000,0.0,31.69,979.57,1002.22,8.00,87,4.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.4,08-31-2019,10:00:00,0.30,27.2,000,0.0,28.78,972.60,1002.26,8.00,80,6.30
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.2,08-31-2019,10:00:00,0.60,25.2,000,0.0,30.15,967.70,1003.18,4.00,94,50.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.9,08-31-2019,10:00:00,9.50,24.1,120,3.7,29.74,972.79,1002.59,3.00,99,65.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.6,08-31-2019,10:00:00,2.00,25.6,000,0.0,30.90,995.52,1002.83,8.00,94,38.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.0,08-31-2019,10:00:00,0.00,25.5,100,18.5,29.91,983.01,1002.91,10.00,92,29.40
48353,LOEI,เลย,เลย,17.45000,101.73333,23.7,08-31-2019,10:00:00,5.00,25.0,130,5.6,29.26,973.96,1002.64,5.00,92,30.10
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.0,08-31-2019,10:00:00,2.00,25.0,140,3.7,29.79,982.98,1003.20,10.00,94,32.80
