WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,WindDirection,Rainfall,LandVisibility,Rainfall24Hr,VaporPressure,AirTemperature,WindSpeed,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1000.50,08-31-2019,13:00:00,88,000,0.50,10.00,35.70,33.37,28.0,0.0,969.98,25.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1000.37,08-31-2019,13:00:00,99,140,0.00,8.00,2.60,22.01,19.2,27.8,840.37,19.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1000.34,08-31-2019,13:00:00,65,110,0.00,10.00,1.00,27.74,30.1,9.3,957.63,22.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1000.34,08-31-2019,13:00:00,69,000,0.00,15.00,0.20,29.19,30.0,0.0,955.76,23.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1001.39,08-31-2019,13:00:00,88,000,0.00,12.00,9.30,32.36,27.5,0.0,964.19,25.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1000.92,08-31-2019,13:00:00,75,010,1.40,10.00,30.30,30.72,29.5,5.6,956.67,24.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1001.58,08-31-2019,13:00:00,80,060,0.01,8.00,12.20,31.46,28.6,7.4,975.21,24.9
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1002.20,08-31-2019,13:00:00,92,000,0.70,10.00,97.10,31.60,26.4,0.0,980.55,25.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1002.57,08-31-2019,13:00:00,92,000,15.50,6.00,47.60,29.99,25.4,0.0,978.50,24.1
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1000.97,08-31-2019,13:00:00,72,190,0.00,10.00,5.40,29.22,29.3,5.6,967.03,23.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1001.99,08-31-2019,13:00:00,84,000,0.30,10.00,28.50,30.02,27.0,0.0,974.67,24.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1000.76,08-31-2019,13:00:00,71,000,17.10,10.00,36.60,28.37,29.0,0.0,967.72,23.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1001.96,08-31-2019,13:00:00,90,320,1.80,3.00,60.90,30.30,26.0,3.7,983.52,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,1001.52,08-31-2019,13:00:00,88,000,0.70,8.00,4.90,31.19,26.9,0.0,978.87,24.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1001.36,08-31-2019,13:00:00,87,000,1.00,7.00,7.30,31.49,27.2,0.0,971.74,24.9
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1001.89,08-31-2019,13:00:00,88,000,0.00,6.00,48.40,30.81,26.7,0.0,966.63,24.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1002.00,08-31-2019,13:00:00,92,090,3.00,15.00,68.20,30.84,26.0,5.6,972.40,24.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1002.55,08-31-2019,13:00:00,96,000,3.30,8.00,41.90,32.20,26.0,0.0,995.26,25.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1002.64,08-31-2019,13:00:00,89,130,0.40,10.00,29.80,31.66,27.0,5.6,982.85,25.0
48353,LOEI,เลย,เลย,17.45000,101.73333,1002.44,08-31-2019,13:00:00,85,110,3.00,12.00,33.10,29.35,26.5,5.6,973.91,23.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1002.58,08-31-2019,13:00:00,73,180,0.20,15.00,20.90,30.16,29.5,9.3,982.68,24.2
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1004.02,08-31-2019,13:00:00,74,130,0.00,15.00,55.10,31.44,30.0,3.7,982.58,24.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1003.06,08-31-2019,13:00:00,74,170,0.30,15.00,52.00,30.13,29.2,7.4,983.80,24.2
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1005.04,08-31-2019,13:00:00,81,000,1.70,10.00,51.00,30.95,28.2,0.0,988.40,24.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1004.94,08-31-2019,13:00:00,81,210,1.20,10.00,66.00,30.56,28.0,5.6,987.64,24.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1001.39,08-31-2019,13:00:00,81,170,0.20,12.00,19.80,31.54,28.5,3.7,975.90,24.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.13,08-31-2019,13:00:00,93,180,0.40,10.00,36.10,33.06,27.0,3.7,996.37,25.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.82,08-31-2019,13:00:00,96,160,0.50,8.00,44.00,32.79,26.3,11.1,996.64,25.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.89,08-31-2019,13:00:00,85,230,1.20,10.00,63.70,29.72,26.7,11.1,987.49,23.9
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1001.61,08-31-2019,13:00:00,88,000,5.80,8.00,58.60,30.05,26.3,0.0,979.37,24.1
48376,TAK,ตาก,ตาก,16.87833,99.14333,1002.88,08-31-2019,13:00:00,81,000,0.00,6.00,49.70,31.54,28.5,0.0,988.63,24.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1001.93,08-31-2019,13:00:00,83,000,0.20,12.00,101.90,32.10,28.5,0.0,985.71,25.2
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.41,08-31-2019,13:00:00,84,160,0.01,8.00,42.40,31.36,27.7,9.3,998.22,24.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.25,08-31-2019,13:00:00,92,000,2.30,7.00,107.10,32.77,27.0,0.0,989.11,25.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1002.82,08-31-2019,13:00:00,81,140,0.10,10.00,79.80,31.94,28.7,11.1,993.59,25.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.64,08-31-2019,13:00:00,80,180,0.00,12.00,54.10,30.59,28.3,14.8,982.12,24.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.99,08-31-2019,13:00:00,78,000,0.00,10.00,128.80,31.13,29.0,0.0,986.66,24.7
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1003.15,08-31-2019,13:00:00,74,200,0.00,11.00,54.50,30.13,29.2,5.6,987.49,24.2
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.73,08-31-2019,13:00:00,88,000,0.80,8.00,78.90,31.58,27.1,0.0,983.93,24.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1002.27,08-31-2019,13:00:00,88,000,5.30,10.00,15.10,27.70,25.0,0.0,951.18,22.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.93,08-31-2019,13:00:00,85,140,0.01,8.00,62.10,33.45,28.6,14.8,999.01,25.9
