WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,WindSpeed,WindDirection,RelativeHumidity,Rainfall,StationPressure,AirTemperature,VaporPressure,LandVisibility,MeanSeaLevelPressure,MinimumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,22.9,09-01-2019,07:00:00,12.30,0.0,000,92,0.00,974.55,24.2,27.85,5.00,1005.61,23.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.7,09-01-2019,07:00:00,39.20,7.4,140,99,0.00,842.72,17.9,20.28,.10,1003.94,17.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.0,09-01-2019,07:00:00,10.00,1.9,170,93,0.80,962.25,24.2,28.10,10.00,1006.03,23.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.3,09-01-2019,07:00:00,43.20,0.0,000,96,0.10,960.53,24.0,28.53,12.00,1006.25,22.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.7,09-01-2019,07:00:00,29.20,0.0,000,100,0.40,969.45,23.7,29.29,8.00,1007.34,23.1
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.0,09-01-2019,07:00:00,27.30,9.3,120,96,0.00,960.07,23.6,28.09,7.00,1005.37,22.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.8,09-01-2019,07:00:00,8.10,0.0,000,97,0.30,980.07,24.4,29.49,10.00,1006.94,24.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.9,09-01-2019,07:00:00,9.30,0.0,000,98,2.90,984.62,24.2,29.66,5.00,1006.52,24.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.0,09-01-2019,07:00:00,23.20,0.0,000,97,0.00,982.28,23.5,28.17,4.00,1006.59,21.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.2,09-01-2019,07:00:00,5.90,0.0,000,90,0.00,971.34,24.0,26.75,10.00,1006.05,23.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.5,09-01-2019,07:00:00,25.90,0.0,000,98,0.00,980.14,23.8,28.95,10.00,1007.91,22.6
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.4,09-01-2019,07:00:00,116.10,0.0,000,97,0.00,972.15,24.0,28.78,10.00,1005.91,23.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.3,09-01-2019,07:00:00,29.10,0.0,000,93,5.30,987.73,24.5,28.63,5.00,1006.35,24.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.1,09-01-2019,07:00:00,26.90,0.0,000,97,0.00,983.76,24.7,30.03,10.00,1006.70,24.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.4,09-01-2019,07:00:00,30.10,0.0,000,95,0.00,976.91,24.3,28.79,7.00,1006.99,24.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.0,09-01-2019,07:00:00,28.30,0.0,000,97,0.00,970.44,23.5,28.17,4.00,1006.22,23.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.3,09-01-2019,07:00:00,13.20,0.0,000,99,0.00,976.40,23.5,28.68,10.00,1006.37,23.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.8,09-01-2019,07:00:00,15.50,0.0,000,96,1.60,999.36,25.5,31.25,5.00,1006.70,25.4
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.3,09-01-2019,07:00:00,0.40,0.0,000,97,0.00,986.80,25.9,32.29,14.00,1006.75,25.0
48353,LOEI,เลย,เลย,17.45000,101.73333,23.9,09-01-2019,07:00:00,8.40,0.0,000,97,0.00,977.59,24.5,29.67,10.00,1006.43,24.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.4,09-01-2019,07:00:00,2.40,0.0,000,93,0.00,986.69,25.6,30.63,10.00,1006.94,25.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.5,09-01-2019,07:00:00,7.70,0.0,000,89,0.00,985.09,25.4,28.93,10.00,1006.91,24.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.2,09-01-2019,07:00:00,12.80,0.0,000,93,0.00,986.88,25.4,30.25,15.00,1006.45,24.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.1,09-01-2019,07:00:00,28.80,0.0,000,93,0.00,990.54,25.3,30.07,11.00,1007.37,25.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.3,09-01-2019,07:00:00,10.80,0.0,000,96,0.00,990.26,25.0,30.32,10.00,1007.79,23.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.3,09-01-2019,07:00:00,0.20,0.0,000,98,0.00,979.62,24.6,30.38,11.00,1005.55,24.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.6,09-01-2019,07:00:00,7.40,5.6,140,100,4.00,999.72,25.6,32.81,10.00,1005.53,23.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,09-01-2019,07:00:00,6.80,0.0,000,100,4.50,999.87,25.5,32.62,7.00,1006.08,24.9
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.3,09-01-2019,07:00:00,23.80,0.0,000,96,2.00,990.47,25.0,30.32,10.00,1007.01,24.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.3,09-01-2019,07:00:00,29.90,3.7,300,96,0.80,982.45,24.0,28.53,8.00,1004.94,23.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.0,09-01-2019,07:00:00,23.60,0.0,000,95,0.00,992.04,24.9,29.87,5.00,1006.52,23.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.3,09-01-2019,07:00:00,10.30,0.0,000,96,2.00,990.02,24.0,28.53,6.00,1006.56,23.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.8,09-01-2019,07:00:00,1.20,0.0,000,93,0.10,1000.07,26.0,31.38,10.00,1005.30,24.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.4,09-01-2019,07:00:00,34.90,0.0,000,97,0.00,991.79,25.0,30.58,10.00,1005.05,24.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.1,09-01-2019,07:00:00,11.90,1.9,120,98,0.00,996.82,25.4,31.87,11.00,1006.18,25.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.4,09-01-2019,07:00:00,1.70,3.7,210,95,0.00,984.91,25.3,30.60,8.00,1006.70,24.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.7,09-01-2019,07:00:00,11.20,7.4,240,94,0.00,989.21,25.7,31.08,10.00,1006.78,22.5
