WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,WindSpeed,LandVisibility,Rainfall,DewPoint,WindDirection,StationPressure,RelativeHumidity,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1004.49,09-01-2019,13:00:00,30.1,0.0,12.00,0.00,23.7,000,974.06,69,29.39,11.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1003.96,09-01-2019,13:00:00,20.0,0.0,.10,1.80,20.0,000,843.77,100,23.36,42.20
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1004.67,09-01-2019,13:00:00,30.3,5.6,12.00,0.00,22.9,180,961.80,65,27.85,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1004.57,09-01-2019,13:00:00,30.5,0.0,15.00,0.00,23.2,000,959.87,65,28.50,43.20
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1004.16,09-01-2019,13:00:00,29.0,0.0,10.00,0.00,24.1,000,967.03,75,30.01,28.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1003.81,09-01-2019,13:00:00,30.0,9.3,10.00,0.00,23.5,100,959.51,68,28.91,25.90
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1006.50,09-01-2019,13:00:00,30.0,5.6,12.00,0.01,24.9,190,980.13,74,31.44,7.90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1005.21,09-01-2019,13:00:00,30.7,0.0,15.00,0.00,24.3,000,983.80,69,30.29,4.40
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1005.05,09-01-2019,13:00:00,30.0,0.0,10.00,0.00,24.3,000,981.29,71,30.31,0.80
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1005.72,09-01-2019,13:00:00,30.5,0.0,10.00,0.00,22.1,000,971.75,61,26.60,5.60
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,998.52,09-01-2019,13:00:00,30.8,0.0,10.00,0.00,23.9,000,971.62,67,29.65,25.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1005.26,09-01-2019,13:00:00,30.1,5.6,12.00,0.00,23.7,250,972.19,69,29.39,99.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1005.44,09-01-2019,13:00:00,29.2,5.6,8.00,1.00,25.1,210,987.13,79,31.81,55.40
48331,NAN,น่าน,น่าน,18.77972,100.77778,1006.13,09-01-2019,13:00:00,27.8,9.3,10.00,3.00,24.5,250,983.43,82,30.72,28.70
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1006.44,09-01-2019,13:00:00,26.0,1.9,9.00,1.20,24.6,220,976.55,92,30.84,30.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1005.63,09-01-2019,13:00:00,28.7,0.0,8.00,0.00,24.8,000,970.47,80,31.38,27.70
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1004.16,09-01-2019,13:00:00,31.0,5.6,17.00,0.00,25.8,280,974.98,74,33.22,0.70
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1006.14,09-01-2019,13:00:00,30.7,9.3,8.00,0.20,26.2,190,998.93,77,34.06,29.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1004.86,09-01-2019,13:00:00,31.7,5.6,20.00,0.00,25.8,190,985.32,71,33.24,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.48,09-01-2019,13:00:00,30.8,3.7,17.00,0.00,23.9,050,976.29,67,29.65,0.40
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1005.35,09-01-2019,13:00:00,31.4,9.3,15.00,0.01,23.0,260,985.52,61,28.04,0.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1005.32,09-01-2019,13:00:00,31.0,7.4,15.00,0.00,24.6,290,983.93,69,30.90,3.90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1004.91,09-01-2019,13:00:00,30.7,7.4,15.00,0.00,23.8,260,985.71,67,29.45,0.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1005.85,09-01-2019,13:00:00,30.5,5.6,12.00,0.00,24.0,220,989.32,68,29.89,24.90
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1006.09,09-01-2019,13:00:00,30.0,5.6,10.00,0.00,24.3,270,988.88,71,30.31,1.80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1004.75,09-01-2019,13:00:00,30.2,0.0,8.00,0.00,25.2,000,979.31,75,32.13,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1005.22,09-01-2019,13:00:00,30.7,0.0,10.00,0.00,27.0,000,999.52,81,35.56,5.60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1006.02,09-01-2019,13:00:00,31.3,0.0,12.00,0.00,26.0,000,999.92,73,33.57,5.30
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1006.04,09-01-2019,13:00:00,31.0,0.0,10.00,0.00,23.8,000,989.83,66,29.48,2.80
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1003.68,09-01-2019,13:00:00,30.4,3.7,10.00,0.00,23.6,300,981.69,67,29.14,22.30
48376,TAK,ตาก,ตาก,16.87833,99.14333,1005.99,09-01-2019,13:00:00,31.2,5.6,10.00,0.00,26.0,100,991.82,74,33.65,23.60
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1005.12,09-01-2019,13:00:00,30.0,0.0,7.00,3.00,25.0,000,988.93,75,31.72,12.80
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1005.88,09-01-2019,13:00:00,31.3,5.6,10.00,0.00,24.8,190,1000.73,68,31.23,0.20
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1004.49,09-01-2019,13:00:00,31.4,0.0,12.00,0.00,25.3,000,991.51,70,32.30,22.10
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1005.30,09-01-2019,13:00:00,32.0,3.7,13.00,0.00,24.9,040,996.15,66,31.52,10.30
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1004.89,09-01-2019,13:00:00,31.8,3.7,10.00,0.00,24.2,280,983.60,64,30.24,0.10
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1005.24,09-01-2019,13:00:00,32.0,0.0,12.00,0.00,24.9,000,988.05,66,31.52,11.20
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1004.50,09-01-2019,13:00:00,30.6,3.7,12.00,0.20,24.1,180,988.90,69,30.09,9.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1004.29,09-01-2019,13:00:00,31.6,3.7,10.00,0.00,24.3,180,985.74,65,30.41,0.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1006.32,09-01-2019,13:00:00,29.8,0.0,11.00,0.00,21.5,000,955.81,61,25.58,7.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1005.73,09-01-2019,13:00:00,31.0,9.3,10.00,0.00,25.4,130,1001.83,72,32.34,4.20
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1004.26,09-01-2019,13:00:00,26.5,9.3,8.00,0.00,22.0,190,910.92,77,26.47,22.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1005.49,09-01-2019,13:00:00,31.3,5.6,10.00,0.00,25.1,260,989.75,70,31.80,5.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1006.02,09-01-2019,13:00:00,32.0,13.0,12.00,0.00,25.5,180,1002.06,69,32.69,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1006.48,09-01-2019,13:00:00,31.5,3.7,9.00,0.50,24.8,140,995.97,68,31.35,2.30
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.40,09-01-2019,13:00:00,31.5,5.6,11.00,0.00,24.0,150,1004.50,65,29.92,1.60
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1005.01,09-01-2019,13:00:00,32.0,7.4,12.00,0.00,23.8,260,984.54,62,29.51,1.10
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1005.09,09-01-2019,13:00:00,31.2,13.0,11.00,0.00,24.5,220,987.70,68,30.73,7.50
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1005.17,09-01-2019,13:00:00,31.2,9.3,10.00,0.00,24.2,220,989.26,66,30.16,4.30
