WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall24Hr,DewPoint,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindDirection,AirTemperature,VaporPressure,Rainfall,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-01-2019,22:00:00,12.00,24.3,976.21,1007.18,93,000,25.5,30.44,3.80,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.4,09-01-2019,22:00:00,17.90,18.2,844.78,1006.10,99,160,18.4,20.93,14.90,3.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,09-01-2019,22:00:00,5.30,23.3,963.06,1006.51,82,000,26.7,28.65,0.00,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-01-2019,22:00:00,6.80,23.3,961.36,1006.89,88,000,25.5,28.59,2.20,10.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-01-2019,22:00:00,0.60,23.8,969.55,1007.28,93,000,25.0,29.52,0.00,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.4,09-01-2019,22:00:00,3.70,23.8,961.85,1007.09,96,120,24.5,29.41,1.00,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,09-01-2019,22:00:00,0.30,25.4,980.91,1007.60,93,000,26.7,32.46,0.00,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,09-01-2019,22:00:00,4.80,24.6,985.29,1007.08,93,000,25.8,31.00,0.60,14.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-01-2019,22:00:00,5.60,23.2,984.17,1008.47,94,000,24.2,28.36,0.50,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,9.3,09-01-2019,22:00:00,0.01,23.1,973.16,1007.81,89,200,25.0,28.22,0.01,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-01-2019,22:00:00,30.80,23.8,981.02,1008.77,97,000,24.4,29.49,30.80,5.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-01-2019,22:00:00,55.50,23.9,973.96,1007.72,97,000,24.5,29.67,52.30,8.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,09-01-2019,22:00:00,41.50,23.5,989.28,1007.90,92,270,25.0,29.00,0.01,8.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-01-2019,22:00:00,3.00,25.6,984.65,1007.44,92,000,27.0,32.77,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-01-2019,22:00:00,1.30,23.4,977.64,1007.62,88,000,25.5,28.85,0.00,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-01-2019,22:00:00,65.00,23.3,972.05,1007.83,96,000,24.0,28.53,61.00,2.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,09-01-2019,22:00:00,1.10,24.9,976.88,1006.69,98,000,25.2,31.49,0.40,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-01-2019,22:00:00,55.40,24.8,1001.29,1008.65,96,000,25.5,31.25,28.10,6.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,09-01-2019,22:00:00,0.00,26.6,986.53,1006.34,92,000,28.0,34.81,0.00,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,09-01-2019,22:00:00,1.40,24.6,978.14,1006.86,93,000,25.8,31.00,1.00,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,09-01-2019,22:00:00,15.10,25.5,986.08,1006.24,93,000,26.8,32.66,0.00,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,09-01-2019,22:00:00,0.01,24.7,984.67,1006.43,92,000,26.1,31.03,0.00,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,09-01-2019,22:00:00,0.01,25.4,986.51,1006.00,93,040,26.5,32.35,0.01,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,09-01-2019,22:00:00,0.00,25.7,989.82,1006.54,92,000,27.1,32.97,0.00,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-01-2019,22:00:00,0.00,24.8,989.62,1007.04,90,000,26.5,31.24,0.00,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,09-01-2019,22:00:00,20.50,26.0,980.84,1006.62,97,070,26.6,33.67,0.00,9.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,3.7,09-01-2019,22:00:00,11.90,25.4,1001.68,1007.50,100,170,25.4,32.42,0.10,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,7.4,09-01-2019,22:00:00,5.70,25.0,1001.29,1007.50,94,130,26.0,31.65,0.20,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-01-2019,22:00:00,2.10,22.3,991.50,1007.93,73,000,27.5,26.95,0.00,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.7,09-01-2019,22:00:00,17.60,23.2,984.24,1006.69,90,280,25.0,28.48,0.00,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,09-01-2019,22:00:00,3.10,24.4,994.27,1008.75,93,000,25.6,30.63,0.00,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.4,09-01-2019,22:00:00,12.90,23.6,991.40,1007.79,82,120,27.0,29.21,0.00,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,09-01-2019,22:00:00,13.40,24.6,1003.08,1008.35,97,000,25.2,30.96,8.20,8.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,5.6,09-01-2019,22:00:00,1.00,22.8,993.03,1006.23,80,200,26.5,27.77,0.00,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,09-01-2019,22:00:00,22.90,25.0,998.73,1008.11,97,000,25.6,31.71,5.80,6.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,5.6,09-01-2019,22:00:00,31.80,23.4,985.22,1007.11,96,290,24.1,28.70,26.60,5.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,11.1,09-01-2019,22:00:00,10.70,24.1,988.43,1005.91,84,220,27.0,30.02,2.20,8.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,09-01-2019,22:00:00,1.20,25.2,989.61,1005.44,93,000,26.5,32.07,0.80,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.6,09-01-2019,22:00:00,23.60,24.1,987.51,1006.51,95,270,25.0,30.05,23.20,5.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-01-2019,22:00:00,20.10,22.0,958.50,1010.30,93,000,23.2,26.41,1.40,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,09-01-2019,22:00:00,40.70,24.8,1004.10,1008.08,96,170,25.5,31.25,13.70,4.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.6,09-01-2019,22:00:00,17.90,19.8,913.12,1008.60,94,210,20.7,23.02,0.30,1.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.6,09-01-2019,22:00:00,41.80,24.8,990.48,1006.55,97,300,25.4,31.33,41.60,2.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,09-01-2019,22:00:00,19.00,25.4,1004.32,1008.37,97,000,26.0,32.48,3.00,9.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,09-01-2019,22:00:00,8.20,24.8,998.07,1008.82,96,000,25.5,31.25,2.60,4.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,09-01-2019,22:00:00,15.20,25.3,1006.44,1008.38,96,000,26.0,32.20,2.00,7.00
