WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,WindDirection,LandVisibility,AirTemperature,VaporPressure,StationPressure,WindSpeed,MeanSeaLevelPressure,DewPoint,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,94,09-02-2019,04:00:00,0.00,000,7.00,25.3,30.34,975.30,0.0,1006.26,24.3,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,100,09-02-2019,04:00:00,20.00,240,.10,18.0,20.62,843.45,7.4,1004.74,18.0,77.90
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,91,09-02-2019,04:00:00,1.60,000,8.00,24.7,28.21,962.02,0.0,1005.72,23.1,2.40
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,96,09-02-2019,04:00:00,1.50,000,8.00,24.5,29.41,960.05,0.0,1005.67,23.8,3.80
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,98,09-02-2019,04:00:00,47.50,000,4.00,24.0,29.30,968.03,0.0,1005.83,23.7,52.70
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,93,09-02-2019,04:00:00,0.00,000,7.00,23.0,26.09,960.07,0.0,1005.47,21.8,4.40
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,93,09-02-2019,04:00:00,0.10,000,5.00,24.8,29.16,979.51,0.0,1006.32,23.6,0.40
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,97,09-02-2019,04:00:00,0.00,000,14.00,24.6,29.85,984.22,0.0,1006.09,24.0,4.80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,96,09-02-2019,04:00:00,0.00,000,5.00,23.5,27.66,982.48,0.0,1006.80,22.8,5.60
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,89,09-02-2019,04:00:00,0.00,000,10.00,24.7,27.69,971.31,0.0,1005.93,22.8,0.20
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,97,09-02-2019,04:00:00,0.00,000,10.00,24.1,29.22,978.59,0.0,1006.30,23.7,41.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,97,09-02-2019,04:00:00,0.00,000,10.00,24.3,29.57,972.30,0.0,1006.03,23.9,56.10
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,96,09-02-2019,04:00:00,0.20,000,10.00,25.0,30.32,987.27,0.0,1005.84,24.3,43.10
48331,NAN,น่าน,น่าน,18.77972,100.77778,95,09-02-2019,04:00:00,2.70,000,5.00,24.4,28.97,983.18,0.0,1006.14,23.5,8.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,93,09-02-2019,04:00:00,14.10,000,5.00,23.9,27.59,976.28,0.0,1006.38,22.7,15.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,96,09-02-2019,04:00:00,0.00,000,6.00,23.8,28.18,970.39,0.0,1006.13,23.1,71.40
