WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,AirTemperature,LandVisibility,MeanSeaLevelPressure,VaporPressure,WindDirection,Rainfall24Hr,StationPressure,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.9,09-02-2019,13:00:00,0.0,30.6,12.00,1004.86,31.51,000,12.00,974.47,0.00,72
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,09-02-2019,13:00:00,16.7,19.2,1.00,1005.05,22.01,120,89.80,844.30,14.90,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.5,09-02-2019,13:00:00,9.3,28.2,12.00,1005.63,29.03,240,7.60,962.43,2.20,76
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.8,09-02-2019,13:00:00,7.4,27.7,15.00,1005.77,29.44,100,8.20,960.61,1.70,79
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.9,09-02-2019,13:00:00,0.0,28.5,8.00,1005.39,31.54,000,88.20,968.16,0.00,81
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.8,09-02-2019,13:00:00,11.1,29.1,7.00,1005.21,31.33,050,4.40,960.72,0.00,78
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.8,09-02-2019,13:00:00,0.0,28.7,8.00,1006.26,31.38,000,10.40,979.79,0.40,80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.6,09-02-2019,13:00:00,11.1,29.7,15.00,1005.94,30.83,180,2.30,984.44,0.20,74
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.8,09-02-2019,13:00:00,0.0,29.4,8.00,1006.03,31.36,000,5.60,982.20,0.00,77
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.4,09-02-2019,13:00:00,0.0,30.0,10.00,1004.60,30.59,000,2.00,970.62,1.80,72
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.4,09-02-2019,13:00:00,0.0,29.7,10.00,1005.71,30.55,000,41.60,978.52,0.00,73
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.7,09-02-2019,13:00:00,0.0,29.5,10.00,1005.63,29.33,000,56.10,972.48,0.00,71
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.5,09-02-2019,13:00:00,0.0,30.1,15.00,1005.12,30.79,000,1.70,986.87,0.00,72
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.9,09-02-2019,13:00:00,0.0,30.1,10.00,1005.33,29.66,000,9.10,982.82,0.00,70
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.8,09-02-2019,13:00:00,3.7,27.0,7.00,1005.80,31.38,270,18.40,976.02,1.10,88
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.4,09-02-2019,13:00:00,0.0,29.6,8.00,1005.25,30.63,000,71.40,970.21,0.00,74
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.9,09-02-2019,13:00:00,5.6,29.0,15.00,1003.62,33.41,140,2.70,974.27,0.00,83
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.9,09-02-2019,13:00:00,0.0,28.0,8.00,1005.53,33.37,000,37.30,998.27,8.90,88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.4,09-02-2019,13:00:00,5.6,29.1,13.00,1004.26,32.46,230,0.60,984.56,0.60,81
48353,LOEI,เลย,เลย,17.45000,101.73333,23.2,09-02-2019,13:00:00,11.1,31.0,15.00,1004.17,28.37,300,3.80,976.00,0.00,63
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.5,09-02-2019,13:00:00,11.1,24.0,4.00,1005.38,27.25,240,75.20,985.06,28.50,91
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.5,09-02-2019,13:00:00,3.7,26.2,8.00,1005.11,30.67,230,51.70,983.39,21.60,90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.7,09-02-2019,13:00:00,5.6,25.9,8.00,1004.10,31.19,260,27.90,984.61,2.80,93
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.8,09-02-2019,13:00:00,0.0,26.1,8.00,1004.25,31.30,000,9.50,987.51,2.00,93
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.6,09-02-2019,13:00:00,0.0,26.0,7.00,1004.37,30.84,000,17.90,986.96,2.40,92
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.1,09-02-2019,13:00:00,5.6,28.0,8.00,1004.35,31.95,110,37.70,978.75,0.40,85
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.1,09-02-2019,13:00:00,3.7,30.2,10.00,1006.53,35.97,320,9.00,1000.81,1.00,84
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.7,09-02-2019,13:00:00,5.6,30.1,12.00,1005.52,33.08,270,1.20,999.41,0.00,78
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.8,09-02-2019,13:00:00,0.0,28.8,10.00,1005.89,31.29,000,0.70,989.57,0.20,79
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.9,09-02-2019,13:00:00,5.6,28.0,10.00,1005.51,27.85,240,11.40,983.30,0.00,74
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.7,09-02-2019,13:00:00,16.7,31.7,8.00,1006.05,27.52,270,3.60,991.90,0.00,59
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.8,09-02-2019,13:00:00,0.0,31.0,7.00,1005.15,29.48,000,2.20,989.02,0.00,66
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.3,09-02-2019,13:00:00,3.7,30.5,10.00,1005.76,32.17,220,14.50,1000.60,0.00,74
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.8,09-02-2019,13:00:00,0.0,27.4,12.00,1004.69,31.33,000,1.30,991.54,1.30,86
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.7,09-02-2019,13:00:00,0.0,31.8,12.00,1005.65,31.10,000,21.80,996.49,0.00,66
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.4,09-02-2019,13:00:00,7.4,25.0,2.00,1006.26,30.58,320,178.70,984.45,9.90,97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.3,09-02-2019,13:00:00,11.1,25.0,8.00,1005.98,30.32,230,63.90,988.39,6.70,96
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.9,09-02-2019,13:00:00,0.0,26.8,10.00,1003.36,31.55,000,21.00,987.58,1.40,90
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.2,09-02-2019,13:00:00,1.9,25.5,5.00,1005.36,30.17,290,94.70,986.42,2.20,93
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.9,09-02-2019,13:00:00,0.0,26.2,10.00,1006.82,26.21,000,22.90,955.69,0.30,77
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.6,09-02-2019,13:00:00,3.7,30.5,8.00,1005.65,32.75,050,41.90,1001.74,0.00,75
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.7,09-02-2019,13:00:00,25.9,24.1,8.00,1006.07,24.46,260,17.50,911.85,0.00,82
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.6,09-02-2019,13:00:00,9.3,25.0,6.00,1005.48,30.85,300,91.70,989.41,8.10,97
