WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,WindDirection,StationPressure,DewPoint,LandVisibility,RelativeHumidity,Rainfall24Hr,VaporPressure,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,18.20,09-02-2019,22:00:00,1008.24,000,977.09,23.2,8.00,95,22.50,28.44,24.1,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-02-2019,22:00:00,1006.77,120,845.39,17.7,1.00,95,77.70,20.21,18.5,3.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-02-2019,22:00:00,1006.52,000,963.02,24.4,10.00,89,7.60,30.59,26.3,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-02-2019,22:00:00,1006.48,000,960.99,24.1,12.00,91,6.00,30.01,25.7,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-02-2019,22:00:00,1007.49,000,969.75,24.0,5.00,94,91.30,29.79,25.0,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-02-2019,22:00:00,1007.16,000,962.06,24.9,8.00,97,13.90,31.52,25.5,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-02-2019,22:00:00,1007.12,000,980.43,25.1,8.00,92,10.40,31.79,26.5,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,2.80,09-02-2019,22:00:00,1007.70,000,985.85,24.6,10.00,97,12.50,30.96,25.2,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.90,09-02-2019,22:00:00,1008.53,000,984.27,24.3,6.00,97,1.40,30.30,24.7,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,4.80,09-02-2019,22:00:00,1008.24,000,973.46,23.1,5.00,95,34.20,28.27,24.0,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,3.30,09-02-2019,22:00:00,1008.25,000,980.54,24.3,10.00,97,55.00,30.30,24.7,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,4.00,09-02-2019,22:00:00,1008.11,000,974.34,23.8,10.00,96,20.60,29.41,24.5,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.60,09-02-2019,22:00:00,1007.69,210,989.02,23.7,3.00,97,39.20,29.22,24.1,7.4
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-02-2019,22:00:00,1007.03,000,984.21,24.8,10.00,91,9.40,31.33,26.4,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-02-2019,22:00:00,1007.07,000,977.11,23.4,7.00,88,18.50,28.85,25.5,0.0
