WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,LandVisibility,VaporPressure,WindSpeed,Rainfall24Hr,DewPoint,RelativeHumidity,WindDirection,StationPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1006.04,09-03-2019,04:00:00,0.00,7.00,27.84,0.0,22.50,22.9,94,000,974.94,23.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.41,09-03-2019,04:00:00,0.00,2.00,20.49,7.4,17.70,17.9,100,270,843.96,17.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1005.43,09-03-2019,04:00:00,0.00,10.00,28.82,0.0,6.00,23.4,92,000,961.78,24.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1005.55,09-03-2019,04:00:00,0.00,12.00,28.62,0.0,4.50,23.3,95,000,959.88,24.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1005.71,09-03-2019,04:00:00,0.00,5.00,29.66,0.0,39.00,23.9,98,000,967.94,24.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1005.59,09-03-2019,04:00:00,0.00,6.00,29.67,7.4,12.70,23.9,97,070,960.41,24.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1005.73,09-03-2019,04:00:00,0.00,6.00,31.08,0.0,10.30,24.7,94,000,979.01,25.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1005.93,09-03-2019,04:00:00,0.00,13.00,29.75,0.0,12.50,24.0,97,000,984.06,24.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1007.23,09-03-2019,04:00:00,0.00,5.00,29.49,0.0,2.80,23.8,97,000,982.98,24.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1006.98,09-03-2019,04:00:00,0.00,10.00,28.62,0.0,34.30,23.3,95,000,972.27,24.2
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1006.92,09-03-2019,04:00:00,0.00,10.00,29.41,0.0,44.20,23.8,96,000,979.24,24.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1006.14,09-03-2019,04:00:00,0.00,10.00,29.41,0.0,20.10,23.8,96,000,972.43,24.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1005.68,09-03-2019,04:00:00,0.00,10.00,29.57,0.0,37.80,23.9,97,000,987.07,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,1005.20,09-03-2019,04:00:00,0.00,10.00,30.23,0.0,4.10,24.2,95,000,982.32,25.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1005.35,09-03-2019,04:00:00,0.00,6.00,29.07,0.0,4.40,23.6,94,000,975.35,24.6
