WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MinimumTemperature,AirTemperature,WindSpeed,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,DewPoint,RelativeHumidity,Rainfall24Hr,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,4.00,09-03-2019,07:00:00,23.2,24.0,0.0,28.53,1007.19,0.30,976.06,23.3,96,22.80,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,5.00,09-03-2019,07:00:00,17.5,18.0,5.6,19.78,1005.72,0.00,844.27,17.3,96,17.70,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,09-03-2019,07:00:00,24.6,25.2,0.0,29.89,1006.20,0.00,962.56,24.0,93,3.90,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,09-03-2019,07:00:00,23.7,24.2,0.0,28.88,1005.87,0.00,960.19,23.5,96,2.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,8.00,09-03-2019,07:00:00,23.0,24.0,0.0,29.30,1006.34,0.00,968.52,23.7,98,4.50,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.00,09-03-2019,07:00:00,23.5,24.6,0.0,30.38,1006.84,0.00,961.62,24.3,98,12.70,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,7.00,09-03-2019,07:00:00,25.1,25.5,0.0,30.44,1006.31,0.00,979.56,24.3,93,0.60,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,09-03-2019,07:00:00,24.2,24.5,0.0,29.93,1006.43,0.30,984.56,24.1,97,12.00,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,09-03-2019,07:00:00,23.3,24.3,0.0,29.57,1007.37,0.00,983.11,23.9,97,2.80,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-03-2019,07:00:00,23.8,24.5,0.0,28.37,1006.77,0.00,972.09,23.2,92,34.30,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-03-2019,07:00:00,23.9,24.4,0.0,30.02,1007.17,0.00,979.47,24.1,98,44.20,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-03-2019,07:00:00,23.0,24.1,0.0,29.22,1006.69,0.00,972.91,23.7,97,20.10,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.00,09-03-2019,07:00:00,24.0,24.5,0.0,29.41,1006.48,0.00,987.86,23.8,96,37.70,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-03-2019,07:00:00,24.8,25.1,0.0,30.23,1006.32,0.00,983.41,24.2,95,0.70,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,7.00,09-03-2019,07:00:00,24.5,24.6,0.0,29.33,1006.11,0.00,976.08,23.7,95,1.40,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,09-03-2019,07:00:00,23.4,23.5,0.0,28.17,1006.29,0.00,970.50,23.0,97,12.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,09-03-2019,07:00:00,23.2,23.2,3.7,28.16,1004.01,0.00,974.08,23.0,99,16.50,320
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.00,09-03-2019,07:00:00,24.4,24.8,0.0,29.95,1006.35,0.00,999.00,24.1,96,40.90,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10.00,09-03-2019,07:00:00,25.0,25.5,3.7,32.07,1003.15,1.40,983.25,25.2,98,2.00,220
48353,LOEI,เลย,เลย,17.45000,101.73333,12.00,09-03-2019,07:00:00,23.5,24.0,5.6,27.25,1004.61,0.00,975.78,22.5,91,26.70,330
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,8.00,09-03-2019,07:00:00,24.8,25.0,3.7,29.00,1003.47,0.60,983.25,23.5,92,31.00,350
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,4.00,09-03-2019,07:00:00,24.5,25.0,5.6,29.00,1002.75,5.20,980.99,23.5,92,55.20,310
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,6.00,09-03-2019,07:00:00,24.2,24.5,11.1,30.20,1002.49,8.20,982.94,24.2,98,38.00,270
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,6.00,09-03-2019,07:00:00,24.7,25.0,11.1,30.32,1003.28,25.20,986.50,24.3,96,51.20,290
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,8.00,09-03-2019,07:00:00,24.0,25.0,9.3,30.32,1002.22,26.60,984.79,24.3,96,66.40,310
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.00,09-03-2019,07:00:00,24.2,24.5,0.0,29.41,1003.30,0.00,977.42,23.8,96,4.80,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-03-2019,07:00:00,22.8,25.2,3.7,31.49,1006.35,0.00,1000.53,24.9,98,6.40,270
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,8.00,09-03-2019,07:00:00,24.8,25.0,0.0,31.12,1005.84,0.00,999.62,24.7,98,8.60,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,09-03-2019,07:00:00,23.5,24.0,0.0,28.53,1006.77,0.00,990.17,23.3,96,16.80,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,7.00,09-03-2019,07:00:00,22.8,23.4,5.6,27.75,1006.41,1.90,983.84,22.8,96,26.90,190
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.00,09-03-2019,07:00:00,23.8,26.2,3.7,28.01,1006.67,0.00,992.26,23.0,82,3.20,290
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,6.00,09-03-2019,07:00:00,24.0,24.4,0.0,29.49,1006.56,0.90,990.04,23.8,97,5.90,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-03-2019,07:00:00,24.6,25.3,0.0,31.41,1006.19,0.00,1000.94,24.9,97,4.60,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,09-03-2019,07:00:00,24.0,24.8,0.0,29.69,1004.53,0.00,991.27,23.9,95,11.20,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,09-03-2019,07:00:00,25.3,25.7,0.0,31.36,1006.15,0.00,996.79,24.8,95,0.10,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.00,09-03-2019,07:00:00,23.7,24.0,3.7,28.78,1003.64,0.80,981.82,23.4,97,35.60,280
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,8.00,09-03-2019,07:00:00,23.5,25.5,22.2,29.91,1003.87,3.70,986.34,24.0,92,27.90,220
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,9.00,09-03-2019,07:00:00,23.4,24.5,0.0,29.41,1001.38,1.70,985.51,23.8,96,27.70,000
