WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,Rainfall,AirTemperature,WindSpeed,DewPoint,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.19,09-03-2019,13:00:00,4.00,1.40,26.8,0.0,24.5,1006.00,87,000,30.72,24.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.26,09-03-2019,13:00:00,8.00,0.00,22.6,9.3,20.3,1003.04,87,120,23.77,2.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.11,09-03-2019,13:00:00,10.00,0.00,31.7,3.7,24.4,1003.74,65,060,30.61,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.37,09-03-2019,13:00:00,15.00,0.00,31.7,0.0,23.6,1003.87,62,000,29.19,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.28,09-03-2019,13:00:00,7.00,4.00,27.5,0.0,24.6,1004.60,84,000,30.97,7.10
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.80,09-03-2019,13:00:00,11.00,0.20,30.4,5.6,25.0,1004.06,73,230,31.68,12.90
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.14,09-03-2019,13:00:00,12.00,0.00,32.3,9.3,26.3,1004.26,71,130,34.24,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,983.30,09-03-2019,13:00:00,13.00,0.00,31.6,1.9,24.9,1004.64,68,120,31.56,11.80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.27,09-03-2019,13:00:00,8.00,0.20,27.7,0.0,25.0,1007.26,85,000,31.64,3.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,971.21,09-03-2019,13:00:00,10.00,0.00,30.9,0.0,24.0,1005.11,67,000,29.85,32.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.85,09-03-2019,13:00:00,10.00,0.00,31.6,0.0,24.6,1004.84,67,000,30.98,44.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.15,09-03-2019,13:00:00,10.00,0.00,30.3,0.0,23.7,1005.20,68,000,29.22,20.10
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.65,09-03-2019,13:00:00,12.00,0.00,30.0,1.9,24.7,1004.90,73,180,31.15,37.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,981.46,09-03-2019,13:00:00,10.00,0.00,32.0,0.0,24.6,1003.80,65,000,30.94,0.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,974.69,09-03-2019,13:00:00,12.00,0.00,32.8,0.0,23.3,1003.86,57,000,28.56,0.20
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.64,09-03-2019,13:00:00,7.00,1.00,29.4,0.0,26.0,1004.69,82,000,33.66,13.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,973.70,09-03-2019,13:00:00,15.00,0.20,29.1,3.7,26.1,1003.02,84,270,33.91,16.70
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,998.39,09-03-2019,13:00:00,8.00,0.00,29.7,0.0,25.9,1005.62,80,000,33.41,32.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,982.62,09-03-2019,13:00:00,12.00,0.40,28.5,3.7,26.7,1002.31,90,230,34.99,2.00
48353,LOEI,เลย,เลย,17.45000,101.73333,975.50,09-03-2019,13:00:00,15.00,0.20,29.5,3.7,25.2,1003.79,78,310,32.13,26.90
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,983.24,09-03-2019,13:00:00,12.00,1.00,27.0,13.0,25.1,1003.32,90,270,31.94,3.40
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,980.55,09-03-2019,13:00:00,6.00,9.70,25.0,7.4,23.5,1002.31,92,310,29.00,36.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,982.28,09-03-2019,13:00:00,8.00,8.80,25.0,9.3,24.3,1001.78,96,300,30.32,38.40
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,984.46,09-03-2019,13:00:00,8.00,5.60,25.5,3.7,24.0,1001.19,92,260,29.91,69.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,984.08,09-03-2019,13:00:00,8.00,12.30,25.2,18.5,24.2,1001.49,94,310,30.15,84.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,977.90,09-03-2019,13:00:00,9.00,0.10,27.4,9.3,25.3,1003.54,88,250,32.16,5.80
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.50,09-03-2019,13:00:00,10.00,0.00,30.5,0.0,26.7,1005.21,80,000,35.12,5.40
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,998.96,09-03-2019,13:00:00,12.00,0.00,31.3,5.6,26.7,1005.05,77,270,35.06,8.80
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.04,09-03-2019,13:00:00,10.00,0.00,29.5,0.0,20.4,1005.31,58,000,24.01,16.10
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,983.01,09-03-2019,13:00:00,10.00,0.00,27.5,9.3,23.9,1005.25,81,270,29.60,29.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.84,09-03-2019,13:00:00,9.00,0.00,30.0,11.1,23.0,1006.07,66,260,28.09,3.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.35,09-03-2019,13:00:00,12.00,0.00,31.3,0.0,23.7,1005.47,64,000,29.24,5.90
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.46,09-03-2019,13:00:00,10.00,0.00,31.0,11.1,23.8,1005.62,66,280,29.48,4.60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.13,09-03-2019,13:00:00,12.00,0.00,29.3,0.0,24.6,1004.19,76,000,30.88,9.90
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.55,09-03-2019,13:00:00,10.00,0.01,30.1,5.6,24.7,1005.76,73,340,31.07,0.30
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.61,09-03-2019,13:00:00,5.00,5.70,25.5,11.1,25.1,1004.34,97,280,31.79,33.30
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,986.63,09-03-2019,13:00:00,8.00,1.50,25.5,13.0,24.8,1004.17,96,070,31.25,21.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,984.26,09-03-2019,13:00:00,9.00,11.10,25.5,7.4,24.3,1000.06,93,170,30.44,34.30
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.38,09-03-2019,13:00:00,6.00,4.30,25.5,0.0,24.8,1003.29,96,000,31.25,26.70
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,956.62,09-03-2019,13:00:00,11.00,0.00,27.6,0.0,22.3,1007.55,73,000,26.86,11.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.49,09-03-2019,13:00:00,8.00,0.00,31.0,11.1,24.7,1005.38,69,270,31.19,25.50
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.05,09-03-2019,13:00:00,7.00,0.01,22.6,13.0,20.4,1006.79,88,220,24.01,6.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,986.93,09-03-2019,13:00:00,6.00,11.90,25.2,7.4,24.9,1002.94,98,300,31.49,41.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.06,09-03-2019,13:00:00,10.00,0.00,30.7,3.7,25.0,1006.04,72,230,31.72,6.60
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,996.18,09-03-2019,13:00:00,9.00,0.80,28.4,0.0,25.3,1006.80,83,000,32.19,13.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.36,09-03-2019,13:00:00,12.00,0.00,29.9,0.0,24.5,1006.27,73,000,30.67,6.90
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.21,09-03-2019,13:00:00,4.00,4.60,26.1,7.4,24.4,1005.09,90,240,30.48,11.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,984.69,09-03-2019,13:00:00,8.00,5.60,24.5,11.1,23.8,1002.41,96,300,29.41,39.10
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,986.01,09-03-2019,13:00:00,8.00,10.50,24.5,14.8,24.3,1002.22,99,240,30.46,38.70
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,987.44,09-03-2019,13:00:00,8.00,7.30,24.6,14.8,23.7,1001.50,95,280,29.33,85.90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,987.21,09-03-2019,13:00:00,5.00,5.00,24.5,0.0,23.8,1002.09,96,000,29.41,70.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,988.67,09-03-2019,13:00:00,2.50,11.60,24.3,14.8,24.0,1003.41,98,290,29.84,50.40
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.96,09-03-2019,13:00:00,9.00,0.01,30.3,0.0,24.1,1005.94,70,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",30.06,3.30
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.58,09-03-2019,13:00:00,10.00,0.00,29.0,0.0,23.9,1005.47,74,000,29.74,37.80
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.84,09-03-2019,13:00:00,8.00,0.00,30.1,0.0,25.0,1006.93,74,000,31.64,11.40
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,988.64,09-03-2019,13:00:00,7.00,3.90,25.0,3.7,23.5,1003.37,92,080,29.00,41.30
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,871.92,09-03-2019,13:00:00,.10,0.20,19.3,9.3,19.1,1006.99,99,270,22.15,50.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.07,09-03-2019,13:00:00,10.00,0.00,29.5,0.0,25.5,1005.90,79,000,32.71,48.20
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.46,09-03-2019,13:00:00,8.00,0.00,30.5,3.7,24.8,1006.25,72,320,31.31,8.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.71,09-03-2019,13:00:00,10.00,0.00,30.0,9.3,25.8,1006.15,78,230,33.17,7.70
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.69,09-03-2019,13:00:00,5.00,4.00,27.2,5.6,24.5,1007.99,85,350,30.67,24.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.52,09-03-2019,13:00:00,12.00,0.00,30.5,7.4,25.0,1007.52,72,230,31.60,3.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.57,09-03-2019,13:00:00,8.00,0.00,30.8,3.7,24.8,1006.37,71,320,31.35,10.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.39,09-03-2019,13:00:00,8.00,0.00,30.5,7.4,22.9,1006.14,64,270,27.95,1.50
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.47,09-03-2019,13:00:00,10.00,0.00,30.3,16.7,23.5,1006.16,67,250,28.94,6.00
