WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,20.8,09-03-2019,16:00:00,000,30.5,24.48,971.90,22.70,2.80,56,1002.22,0.0,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.4,09-03-2019,16:00:00,120,23.0,21.14,842.48,0.00,0.00,75,1000.70,3.7,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.4,09-03-2019,16:00:00,000,33.6,28.76,958.88,0.00,0.00,55,1001.14,0.0,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.7,09-03-2019,16:00:00,000,33.6,29.33,956.92,0.00,0.00,56,1001.02,0.0,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.8,09-03-2019,16:00:00,000,27.0,31.38,966.87,5.20,0.50,88,1004.24,0.0,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.0,09-03-2019,16:00:00,090,29.7,37.91,958.09,3.20,3.00,91,1002.37,3.7,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.4,09-03-2019,16:00:00,310,26.5,32.35,977.80,0.90,0.90,93,1004.42,3.7,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.8,09-03-2019,16:00:00,130,32.7,29.50,981.15,6.10,0.00,60,1002.36,1.9,14.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.6,09-03-2019,16:00:00,000,29.4,29.13,980.35,2.50,0.00,71,1004.14,0.0,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.2,09-03-2019,16:00:00,170,33.0,28.40,968.22,30.10,0.00,56,1001.79,3.7,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.1,09-03-2019,16:00:00,000,33.0,31.87,975.51,44.20,0.00,63,1002.32,0.0,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.2,09-03-2019,16:00:00,000,32.8,30.28,969.41,20.10,0.00,61,1002.09,0.0,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.2,09-03-2019,16:00:00,000,32.0,32.10,984.02,37.70,0.00,68,1002.10,0.0,12.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.0,09-03-2019,16:00:00,000,26.0,29.76,980.50,11.70,11.20,89,1003.26,0.0,8.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.6,09-03-2019,16:00:00,000,26.0,30.84,973.55,8.80,8.80,92,1003.35,0.0,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.8,09-03-2019,16:00:00,000,30.0,33.17,967.53,13.00,0.00,78,1002.43,0.0,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.0,09-03-2019,16:00:00,140,29.5,33.58,972.07,9.80,0.00,81,1001.31,5.6,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.1,09-03-2019,16:00:00,000,31.1,33.73,995.47,30.00,0.00,75,1002.64,0.0,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.8,09-03-2019,16:00:00,230,30.0,35.23,981.16,2.00,0.00,83,1000.72,11.1,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,25.6,09-03-2019,16:00:00,160,30.5,32.75,973.45,19.40,0.00,75,1001.59,3.7,17.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.5,09-03-2019,16:00:00,250,28.3,32.55,981.62,2.20,0.01,85,1001.58,13.0,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.2,09-03-2019,16:00:00,320,25.6,28.51,979.86,38.30,3.10,87,1001.55,3.7,7.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.2,09-03-2019,16:00:00,300,25.2,30.15,981.17,41.60,3.80,94,1000.64,14.8,7.00
