WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,MeanSeaLevelPressure,WindSpeed,StationPressure,VaporPressure,DewPoint,WindDirection,Rainfall,LandVisibility,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,09-03-2019,22:00:00,25.8,1007.00,0.0,976.06,30.73,24.5,000,0.60,10.00,5.10
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,98,09-03-2019,22:00:00,18.6,1006.17,3.7,844.94,20.98,18.3,100,0.00,5.00,5.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,92,09-03-2019,22:00:00,25.0,1006.68,0.0,962.98,29.00,23.5,000,0.00,10.00,4.10
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,92,09-03-2019,22:00:00,24.2,1006.57,0.0,960.86,27.85,22.9,000,0.00,12.00,1.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,94,09-03-2019,22:00:00,25.0,1007.49,0.0,969.75,29.79,24.0,000,3.80,5.00,8.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,97,09-03-2019,22:00:00,25.4,1006.71,3.7,961.61,31.33,24.8,260,0.00,8.00,4.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,93,09-03-2019,22:00:00,25.4,1007.20,0.0,980.41,30.25,24.2,000,0.00,7.00,0.90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,86,09-03-2019,22:00:00,27.4,1006.15,0.0,984.49,31.33,24.8,000,0.20,10.00,0.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,87,09-03-2019,22:00:00,25.5,1008.16,0.0,983.97,28.33,23.1,000,0.00,8.00,1.60
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,75,09-03-2019,22:00:00,28.3,1005.72,3.7,971.51,28.95,23.5,200,0.00,10.00,0.30
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,88,09-03-2019,22:00:00,27.0,1006.04,0.0,978.61,31.38,24.8,000,0.00,10.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,80,09-03-2019,22:00:00,28.2,1005.57,0.0,972.29,30.40,24.3,000,0.00,10.00,0.10
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,97,09-03-2019,22:00:00,24.4,1006.32,3.7,987.69,29.49,23.8,270,5.70,10.00,8.80
48331,NAN,น่าน,น่าน,18.77972,100.77778,96,09-03-2019,22:00:00,25.3,1006.54,0.0,983.65,30.87,24.6,000,0.00,10.00,11.60
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,93,09-03-2019,22:00:00,25.0,1006.75,0.0,976.74,29.52,23.8,000,0.00,10.00,8.80
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,92,09-03-2019,22:00:00,27.0,1005.42,0.0,970.07,32.77,25.6,000,0.00,7.00,1.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,96,09-03-2019,22:00:00,25.5,1004.92,0.0,975.19,31.25,24.8,000,0.00,12.00,0.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,93,09-03-2019,22:00:00,26.5,1006.24,0.0,998.93,32.07,25.2,000,0.01,8.00,11.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,93,09-03-2019,22:00:00,27.5,1003.45,3.7,983.67,34.07,26.2,230,0.00,10.00,2.00
48353,LOEI,เลย,เลย,17.45000,101.73333,87,09-03-2019,22:00:00,26.6,1005.02,0.0,976.43,30.34,24.3,000,0.00,12.00,0.20
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,92,09-03-2019,22:00:00,26.5,1004.42,7.4,984.28,31.79,25.1,250,0.01,10.00,2.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,86,09-03-2019,22:00:00,26.0,1003.26,9.3,981.56,28.97,23.5,270,0.30,10.00,42.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,95,09-03-2019,22:00:00,25.2,1002.98,3.7,983.47,30.42,24.3,300,0.10,12.00,45.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,92,09-03-2019,22:00:00,25.4,1003.21,0.0,986.45,29.99,24.1,000,0.40,8.00,77.40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,96,09-03-2019,22:00:00,25.5,1003.32,3.7,985.90,31.25,24.8,320,5.50,4.00,94.40
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,97,09-03-2019,22:00:00,26.4,1005.03,0.0,979.28,33.27,25.8,000,0.40,9.00,2.80
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,81,09-03-2019,22:00:00,27.9,1006.36,0.0,1000.59,30.37,24.3,000,0.00,10.00,2.60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,82,09-03-2019,22:00:00,28.0,1006.67,0.0,1000.50,30.84,24.6,000,0.00,10.00,3.40
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,92,09-03-2019,22:00:00,26.0,1006.99,0.0,990.51,30.84,24.6,000,0.00,8.00,1.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,94,09-03-2019,22:00:00,24.2,1007.60,0.0,985.06,28.36,23.2,000,1.80,10.00,16.20
