WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,StationPressure,DewPoint,Rainfall24Hr,Rainfall,VaporPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-04-2019,04:00:00,0.0,000,974.90,23.8,5.10,0.00,29.52,8.00,25.0,1005.88,93
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-04-2019,04:00:00,7.4,270,843.41,17.7,5.50,0.00,20.29,5.00,18.4,1004.46,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-04-2019,04:00:00,0.0,000,962.09,22.8,4.10,0.00,27.68,10.00,24.1,1005.88,92
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-04-2019,04:00:00,0.0,000,960.00,22.9,1.00,0.00,27.92,12.00,23.8,1005.73,95
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-04-2019,04:00:00,0.0,000,966.54,23.7,8.30,0.00,29.30,5.00,24.0,1004.28,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-04-2019,04:00:00,0.0,000,960.27,24.0,4.00,0.00,29.85,6.00,24.6,1005.43,97
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-04-2019,04:00:00,0.0,000,979.21,23.8,0.90,0.00,29.41,6.00,24.5,1006.05,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-04-2019,04:00:00,0.0,000,983.30,23.0,0.60,0.00,28.10,10.00,23.9,1005.19,95
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-04-2019,04:00:00,0.0,000,982.05,23.0,0.20,0.00,28.11,6.00,24.5,1006.28,91
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-04-2019,04:00:00,0.0,000,970.38,24.1,0.00,0.00,30.05,10.00,26.3,1004.78,88
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-04-2019,04:00:00,0.0,000,978.31,24.8,0.00,0.00,31.25,10.00,25.5,1005.87,96
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-04-2019,04:00:00,0.0,000,971.29,22.5,0.00,0.00,27.29,10.00,25.5,1004.85,84
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-04-2019,04:00:00,0.0,000,986.21,24.4,8.60,0.00,30.48,10.00,24.8,1004.77,97
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-04-2019,04:00:00,0.0,000,982.39,23.8,11.40,0.00,29.49,10.00,24.4,1005.33,97
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-04-2019,04:00:00,0.0,000,975.16,23.8,8.80,0.00,29.41,6.00,24.5,1005.16,96
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-04-2019,04:00:00,0.0,000,968.65,24.6,1.00,0.00,30.84,7.00,26.0,1004.06,92
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-04-2019,04:00:00,0.0,000,973.18,23.3,0.20,0.00,28.61,10.00,23.9,1003.01,97
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-04-2019,04:00:00,0.0,000,997.51,24.8,3.50,0.00,31.36,8.00,25.7,1004.83,95
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-04-2019,04:00:00,5.6,270,982.25,24.1,2.00,0.00,30.03,10.00,26.0,1002.10,89
48353,LOEI,เลย,เลย,17.45000,101.73333,09-04-2019,04:00:00,0.0,000,974.58,23.5,0.20,0.00,29.00,10.00,25.0,1003.28,92
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-04-2019,04:00:00,11.1,270,982.60,24.0,2.70,0.00,29.82,10.00,25.6,1002.77,91
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-04-2019,04:00:00,9.3,270,979.46,23.4,39.70,0.00,28.84,10.00,26.8,1001.06,82
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-04-2019,04:00:00,9.3,260,981.48,24.4,44.90,0.01,30.57,10.00,26.0,1000.90,91
