WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,AirTemperature,MeanSeaLevelPressure,RelativeHumidity,MinimumTemperature,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,StationPressure,Rainfall,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,09-04-2019,07:00:00,25.0,1006.32,93,24.1,4.80,000,29.52,23.8,975.33,0.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,.80,09-04-2019,07:00:00,18.5,1005.04,99,18.0,5.50,300,21.06,18.3,843.94,0.00,3.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,09-04-2019,07:00:00,24.0,1006.20,94,23.6,4.10,000,28.01,23.0,962.38,0.00,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,09-04-2019,07:00:00,23.6,1005.76,96,22.7,1.00,000,28.09,23.0,960.00,0.00,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,7.00,09-04-2019,07:00:00,24.0,1006.86,99,23.5,8.30,000,29.56,23.8,969.02,0.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,09-04-2019,07:00:00,24.5,1006.00,98,23.3,4.00,000,30.20,24.2,960.81,0.00,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,6.00,09-04-2019,07:00:00,24.5,1006.47,96,24.0,0.90,000,29.41,23.8,979.62,0.00,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,14.00,09-04-2019,07:00:00,23.9,1005.94,94,23.5,0.30,000,27.84,22.9,984.03,0.00,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,09-04-2019,07:00:00,24.5,1006.82,96,22.5,0.20,000,29.41,23.8,982.58,0.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-04-2019,07:00:00,25.4,1005.95,88,25.2,0.00,000,28.67,23.3,971.41,0.00,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-04-2019,07:00:00,25.0,1007.53,96,24.2,0.00,000,30.32,24.3,979.87,0.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-04-2019,07:00:00,25.1,1006.04,91,25.1,0.00,000,28.92,23.5,972.40,0.00,0.0
