WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,WindSpeed,AirTemperature,RelativeHumidity,WindDirection,VaporPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.40,09-04-2019,13:00:00,973.97,0.00,1004.21,12.00,0.0,32.0,60,000,28.66,23.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,5.50,09-04-2019,13:00:00,843.95,0.00,1002.44,8.00,0.0,23.0,82,000,22.98,19.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,4.10,09-04-2019,13:00:00,960.86,0.00,1003.51,12.00,3.7,31.5,67,100,31.06,24.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1.00,09-04-2019,13:00:00,959.58,0.00,1004.08,15.00,5.6,31.7,65,170,30.32,24.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,4.30,09-04-2019,13:00:00,966.63,0.00,1003.33,12.00,0.0,32.4,62,000,30.32,24.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,3.80,09-04-2019,13:00:00,959.68,0.00,1003.84,12.00,5.6,31.0,72,200,32.34,25.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.90,09-04-2019,13:00:00,978.09,0.00,1004.28,12.00,3.7,31.5,69,060,31.93,25.1
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.30,09-04-2019,13:00:00,982.66,0.00,1003.89,15.00,0.0,32.9,58,000,28.77,23.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.60,09-04-2019,13:00:00,981.55,0.60,1005.47,10.00,0.0,28.1,84,000,31.87,25.1
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-04-2019,13:00:00,970.34,0.00,1004.07,10.00,3.7,32.2,59,030,28.50,23.2
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-04-2019,13:00:00,977.25,0.00,1004.17,10.00,0.0,32.3,65,000,31.27,24.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-04-2019,13:00:00,970.93,0.00,1003.74,12.00,0.0,32.1,63,000,29.99,24.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,8.60,09-04-2019,13:00:00,985.48,0.00,1003.59,12.00,1.9,32.0,65,190,30.94,24.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,11.40,09-04-2019,13:00:00,981.46,0.00,1003.83,10.00,0.0,31.6,68,000,31.56,24.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,8.80,09-04-2019,13:00:00,974.06,0.00,1003.29,12.00,0.0,32.0,58,000,27.55,22.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-04-2019,13:00:00,968.98,0.00,1003.74,9.00,0.0,31.6,72,000,33.62,26.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-04-2019,13:00:00,972.66,0.00,1001.59,15.00,7.4,32.9,69,290,34.66,26.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,3.50,09-04-2019,13:00:00,997.37,0.01,1004.55,12.00,7.4,31.5,72,240,33.40,25.9
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-04-2019,13:00:00,982.11,0.00,1001.44,20.00,13.0,34.0,59,320,31.34,24.8
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-04-2019,13:00:00,974.16,0.00,1002.14,17.00,9.3,32.4,57,320,27.49,22.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.50,09-04-2019,13:00:00,982.55,0.00,1002.31,15.00,14.8,31.7,62,280,29.19,23.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.40,09-04-2019,13:00:00,981.10,2.70,1002.73,9.00,11.1,26.8,91,220,32.10,25.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.50,09-04-2019,13:00:00,982.25,1.30,1001.64,12.00,11.1,26.6,90,290,31.44,24.9
