WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,RelativeHumidity,LandVisibility,Rainfall,StationPressure,WindDirection,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-05-2019,04:00:00,25.6,93,8.00,0.00,974.28,000,0.00,30.36,1005.18,24.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,5.6,09-05-2019,04:00:00,19.1,98,8.00,0.00,842.88,200,0.00,21.65,1003.42,18.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,3.7,09-05-2019,04:00:00,24.5,91,12.00,0.00,960.60,330,0.00,27.86,1004.25,22.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-05-2019,04:00:00,24.2,94,12.00,0.00,958.69,000,0.00,28.36,1004.30,23.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-05-2019,04:00:00,24.9,99,6.00,0.80,967.46,000,0.80,31.20,1005.12,24.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,09-05-2019,04:00:00,25.4,92,10.00,0.00,959.36,000,0.00,29.99,1004.35,24.1
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,09-05-2019,04:00:00,25.6,95,7.00,1.50,978.39,000,1.50,31.17,1005.11,24.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,09-05-2019,04:00:00,24.3,93,12.00,0.00,983.35,000,0.00,28.28,1005.21,23.1
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-05-2019,04:00:00,24.7,94,6.00,0.00,981.98,000,8.40,29.25,1006.19,23.7
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,09-05-2019,04:00:00,25.6,89,10.00,0.00,970.25,000,5.00,29.29,1004.73,23.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-05-2019,04:00:00,24.8,97,10.00,0.00,977.37,000,2.80,30.48,1004.98,24.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-05-2019,04:00:00,25.5,94,10.00,0.00,971.33,000,2.10,30.71,1004.88,24.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,09-05-2019,04:00:00,25.4,97,10.00,0.00,985.98,000,0.00,31.33,1004.50,24.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-05-2019,04:00:00,26.3,93,10.00,0.00,981.13,000,0.00,31.68,1003.89,25.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-05-2019,04:00:00,25.8,93,6.00,0.00,973.48,000,0.00,31.00,1003.31,24.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-05-2019,04:00:00,24.2,97,6.00,0.00,969.31,000,0.00,29.13,1004.97,23.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,09-05-2019,04:00:00,25.3,97,6.00,0.10,974.06,140,0.10,31.41,1003.77,24.9
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-05-2019,04:00:00,26.0,88,9.00,0.00,997.77,000,0.01,29.50,1005.09,23.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,14.8,09-05-2019,04:00:00,24.5,98,10.00,23.60,984.25,270,69.40,30.20,1004.24,24.2
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,09-05-2019,04:00:00,25.8,90,5.00,0.90,975.60,000,0.90,29.93,1004.25,24.1
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,09-05-2019,04:00:00,24.0,96,8.00,5.60,984.51,000,9.50,28.53,1004.82,23.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,09-05-2019,04:00:00,24.0,93,7.00,6.00,982.69,280,24.20,27.76,1004.56,22.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,09-05-2019,04:00:00,23.9,97,7.00,5.00,984.10,220,20.10,28.61,1003.71,23.3
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-05-2019,04:00:00,24.0,97,8.00,3.40,986.60,000,62.80,28.78,1004.12,23.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,09-05-2019,04:00:00,24.2,94,5.00,28.40,978.05,000,32.40,28.36,1003.97,23.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,09-05-2019,04:00:00,27.0,84,10.00,0.00,999.17,000,0.00,30.02,1004.94,24.1
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,09-05-2019,04:00:00,26.7,88,10.00,0.00,998.80,000,0.00,30.81,1004.98,24.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-05-2019,04:00:00,25.5,88,8.00,0.00,988.76,000,0.00,28.59,1005.25,23.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,09-05-2019,04:00:00,23.1,97,8.00,15.50,982.71,150,26.30,27.49,1005.28,22.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.4,09-05-2019,04:00:00,27.3,71,10.00,0.00,991.39,250,0.00,25.82,1005.74,21.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-05-2019,04:00:00,26.0,85,8.00,0.00,988.46,000,0.30,28.70,1004.86,23.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,09-05-2019,04:00:00,26.2,95,10.00,0.00,999.76,180,0.80,32.32,1005.00,25.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-05-2019,04:00:00,25.2,90,10.00,0.00,990.72,000,0.00,28.83,1003.96,23.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,09-05-2019,04:00:00,25.2,95,10.00,0.00,995.81,000,0.01,30.42,1005.17,24.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1.9,09-05-2019,04:00:00,24.2,98,5.00,7.50,983.30,090,8.60,29.66,1005.14,23.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,09-05-2019,04:00:00,25.0,92,5.00,12.40,985.94,000,16.40,29.00,1003.49,23.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,09-05-2019,04:00:00,24.3,97,10.00,0.20,986.91,000,34.10,29.57,1002.82,23.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,09-05-2019,04:00:00,24.7,97,5.00,2.20,985.16,000,3.80,30.03,1004.13,24.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-05-2019,04:00:00,22.2,93,5.00,0.00,956.97,000,4.70,24.81,1008.87,21.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,9.3,09-05-2019,04:00:00,26.3,89,6.00,0.00,1000.83,100,0.00,30.59,1004.79,24.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,9.3,09-05-2019,04:00:00,20.4,97,.80,4.20,911.52,210,4.70,23.26,1006.93,19.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,09-05-2019,04:00:00,24.5,98,3.00,8.10,989.00,000,23.60,30.20,1005.08,24.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,7.4,09-05-2019,04:00:00,26.3,79,9.00,0.00,1001.07,200,1.80,26.89,1005.11,22.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,09-05-2019,04:00:00,25.3,88,7.00,0.00,995.84,000,0.00,28.23,1006.57,23.1
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.7,09-05-2019,04:00:00,26.0,80,7.00,0.00,1004.10,180,0.10,26.88,1006.03,22.3
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,09-05-2019,04:00:00,25.0,83,10.00,0.00,983.81,000,0.00,26.43,1004.76,22.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,13.0,09-05-2019,04:00:00,23.9,97,6.00,12.40,986.98,250,45.10,28.61,1004.79,23.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.4,09-05-2019,04:00:00,24.0,98,6.00,7.40,988.31,270,21.40,29.30,1004.60,23.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,9.3,09-05-2019,04:00:00,24.7,96,10.00,0.30,990.31,240,65.10,29.77,1004.42,24.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-05-2019,04:00:00,24.4,97,8.00,1.20,989.78,000,54.90,29.75,1004.70,24.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,09-05-2019,04:00:00,24.7,98,3.00,3.00,990.30,000,77.90,30.56,1005.05,24.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-05-2019,04:00:00,25.8,90,10.00,0.00,1002.54,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",8.50,29.93,1005.57,24.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-05-2019,04:00:00,26.5,92,7.00,0.00,997.07,000,0.00,31.79,1005.02,25.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,09-05-2019,04:00:00,26.6,87,7.00,0.00,1005.51,000,0.00,30.34,1006.62,24.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-05-2019,04:00:00,25.5,96,3.00,0.00,987.32,000,85.30,31.25,1002.01,24.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,13.0,09-05-2019,04:00:00,18.4,100,.05,0.00,872.15,280,5.60,21.14,1007.69,18.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.6,09-05-2019,04:00:00,26.1,85,10.00,0.00,999.77,200,0.20,28.62,1005.66,23.3
