WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,StationPressure,MeanSeaLevelPressure,WindDirection,Rainfall,Rainfall24Hr,DewPoint,AirTemperature,LandVisibility,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,09-06-2019,22:00:00,31.11,976.68,1007.62,000,0.01,0.90,24.7,26.0,10.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,95,09-06-2019,22:00:00,22.24,844.33,1004.62,280,0.00,0.00,19.2,20.0,8.00,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,91,09-06-2019,22:00:00,29.64,962.24,1005.83,000,6.50,6.50,23.9,25.5,10.00,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,93,09-06-2019,22:00:00,29.52,960.30,1005.86,000,25.80,25.80,23.8,25.0,12.00,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,93,09-06-2019,22:00:00,32.35,969.27,1006.79,000,0.00,0.00,25.4,26.5,8.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,84,09-06-2019,22:00:00,29.08,960.57,1005.45,110,0.00,0.00,23.6,26.5,10.00,13.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,85,09-06-2019,22:00:00,31.75,980.63,1007.20,180,0.00,0.00,25.0,27.9,8.00,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,90,09-06-2019,22:00:00,28.83,985.98,1007.84,000,0.00,0.00,23.4,25.2,12.00,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,92,09-06-2019,22:00:00,29.00,984.89,1009.15,000,0.00,0.20,23.5,25.0,8.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,75,09-06-2019,22:00:00,27.65,972.00,1006.31,200,0.00,0.00,22.7,27.6,10.00,5.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,87,09-06-2019,22:00:00,30.34,981.61,1009.16,000,0.00,0.00,24.3,26.6,10.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,73,09-06-2019,22:00:00,26.59,973.26,1006.68,000,0.00,0.00,22.1,27.3,10.00,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,90,09-06-2019,22:00:00,31.24,988.42,1006.92,210,0.00,0.00,24.8,26.5,10.00,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,82,09-06-2019,22:00:00,29.96,984.29,1007.03,000,0.00,0.00,24.1,27.4,10.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,86,09-06-2019,22:00:00,30.18,977.19,1007.03,000,0.00,0.00,24.2,26.8,10.00,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,92,09-06-2019,22:00:00,31.79,971.64,1007.10,000,0.00,0.00,25.1,26.5,7.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,94,09-06-2019,22:00:00,30.15,976.77,1006.58,000,0.00,5.00,24.2,25.2,12.00,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,87,09-06-2019,22:00:00,31.49,1000.13,1007.43,000,0.00,0.00,24.9,27.2,9.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,88,09-06-2019,22:00:00,32.36,986.03,1005.85,220,0.40,0.40,25.4,27.5,10.00,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,90,09-06-2019,22:00:00,31.55,977.98,1006.61,000,0.00,2.00,24.9,26.8,12.00,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,92,09-06-2019,22:00:00,31.41,986.43,1006.62,170,2.80,7.10,24.9,26.3,10.00,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,89,09-06-2019,22:00:00,31.66,985.88,1007.60,000,0.00,0.20,25.0,27.0,10.00,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,88,09-06-2019,22:00:00,32.16,986.93,1006.36,000,0.00,0.20,25.3,27.4,10.00,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,92,09-06-2019,22:00:00,33.78,990.51,1007.23,120,0.00,0.10,26.1,27.5,11.00,5.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,94,09-06-2019,22:00:00,33.74,989.95,1007.34,000,0.00,0.80,26.1,27.2,10.00,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,90,09-06-2019,22:00:00,30.67,979.92,1005.72,130,0.00,8.80,24.5,26.2,11.00,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,78,09-06-2019,22:00:00,29.46,1001.66,1007.43,270,0.00,0.00,23.8,28.0,10.00,7.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,79,09-06-2019,22:00:00,29.36,1000.76,1006.93,270,0.00,0.00,23.7,27.8,10.00,7.4
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,83,09-06-2019,22:00:00,31.79,992.14,1008.53,000,0.00,0.00,25.1,28.2,10.00,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,93,09-06-2019,22:00:00,28.63,985.69,1008.22,000,0.30,12.70,23.3,24.5,10.00,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,73,09-06-2019,22:00:00,26.95,994.55,1008.93,260,0.00,0.00,22.3,27.5,7.00,5.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,67,09-06-2019,22:00:00,26.13,991.32,1007.62,120,0.00,0.00,21.8,28.5,7.00,5.6
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,84,09-06-2019,22:00:00,30.97,1003.14,1008.36,000,0.00,0.01,24.6,27.5,10.00,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,80,09-06-2019,22:00:00,28.67,993.91,1007.11,000,0.00,0.00,23.3,27.0,10.00,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,84,09-06-2019,22:00:00,30.39,998.58,1007.91,000,0.00,1.40,24.3,27.2,10.00,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,95,09-06-2019,22:00:00,31.36,985.37,1007.15,000,4.70,8.40,24.8,25.7,6.00,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,84,09-06-2019,22:00:00,30.02,989.31,1006.80,240,0.00,2.70,24.1,27.0,8.00,9.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,98,09-06-2019,22:00:00,32.95,990.58,1006.45,000,0.00,13.00,25.7,26.1,10.00,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,92,09-06-2019,22:00:00,32.58,987.39,1006.27,120,0.20,1.20,25.5,26.9,8.00,1.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,95,09-06-2019,22:00:00,27.08,958.10,1009.86,000,1.90,17.70,22.4,23.3,6.00,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,90,09-06-2019,22:00:00,32.61,1003.93,1007.89,000,0.00,3.10,25.5,27.2,6.00,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,09-06-2019,22:00:00,24.23,913.90,1009.40,240,0.60,4.70,20.6,20.9,.10,9.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,92,09-06-2019,22:00:00,34.40,990.98,1006.92,000,0.00,1.40,26.4,27.8,10.00,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,84,09-06-2019,22:00:00,31.16,1004.27,1008.30,000,0.00,0.00,24.7,27.6,10.00,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,92,09-06-2019,22:00:00,29.99,998.75,1009.51,000,0.50,4.00,24.1,25.4,8.00,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,83,09-06-2019,22:00:00,29.00,1006.59,1008.52,000,0.01,7.90,23.5,26.6,6.00,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,86,09-06-2019,22:00:00,30.56,987.16,1008.03,000,0.00,0.01,24.4,27.0,10.00,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,84,09-06-2019,22:00:00,31.87,989.16,1006.75,210,0.00,0.80,25.1,28.1,10.00,5.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,83,09-06-2019,22:00:00,32.19,990.37,1006.45,000,0.00,0.20,25.3,28.4,10.00,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,90,09-06-2019,22:00:00,33.53,993.60,1007.61,000,0.00,5.20,26.0,27.8,10.00,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,92,09-06-2019,22:00:00,32.77,992.99,1007.83,000,0.00,14.40,25.6,27.0,9.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,91,09-06-2019,22:00:00,33.82,993.87,1008.52,000,0.00,0.20,26.1,27.8,7.00,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,89,09-06-2019,22:00:00,33.45,1004.59,1007.60,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.00,25.9,27.9,10.00,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,91,09-06-2019,22:00:00,31.33,1000.42,1008.39,000,0.00,1.00,24.8,26.4,7.00,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,77,09-06-2019,22:00:00,29.57,1007.50,1008.61,230,0.00,0.00,23.9,28.2,7.00,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,86,09-06-2019,22:00:00,32.12,989.72,1004.33,000,0.00,0.00,25.2,27.8,8.00,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,09-06-2019,22:00:00,22.85,875.03,1010.34,300,7.80,10.20,19.6,19.8,.10,7.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,96,09-06-2019,22:00:00,30.32,1002.64,1008.57,180,6.00,19.40,24.3,25.0,10.00,3.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,92,09-06-2019,22:00:00,34.81,1008.40,1009.20,240,0.00,4.40,26.6,28.0,7.00,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,76,09-06-2019,22:00:00,30.29,1008.32,1008.76,230,0.00,6.70,24.3,29.0,10.00,11.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,94,09-06-2019,22:00:00,29.79,999.34,1010.76,000,0.80,9.60,24.0,25.0,3.00,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,75,09-06-2019,22:00:00,28.86,1007.92,1008.92,180,0.00,0.00,23.5,28.4,10.00,3.7
