WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,WindSpeed,VaporPressure,LandVisibility,AirTemperature,DewPoint,RelativeHumidity,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-07-2019,01:00:00,000,0.90,1007.11,0.00,0.0,29.00,8.00,25.0,23.5,92,976.09
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-07-2019,01:00:00,270,0.00,1004.61,0.00,3.7,20.87,8.00,19.0,18.2,95,843.83
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-07-2019,01:00:00,000,6.50,1005.19,0.00,0.0,29.91,10.00,25.5,24.0,92,961.63
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-07-2019,01:00:00,000,25.80,1005.26,0.00,0.0,29.07,12.00,24.6,23.6,94,959.66
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-07-2019,01:00:00,000,0.00,1006.58,0.00,0.0,31.93,7.00,26.0,25.1,95,969.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-07-2019,01:00:00,000,0.00,1004.98,0.00,0.0,27.70,10.00,25.0,22.8,88,959.91
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-07-2019,01:00:00,000,0.00,1006.89,0.00,0.0,29.21,7.00,27.0,23.6,82,980.25
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-07-2019,01:00:00,000,0.00,1007.04,0.00,0.0,29.52,12.00,25.0,23.8,93,985.19
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-07-2019,01:00:00,000,0.00,1008.48,0.00,0.0,28.89,6.00,24.5,23.5,94,984.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-07-2019,01:00:00,000,0.00,1006.32,0.00,0.0,27.15,10.00,26.3,22.4,79,971.87
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-07-2019,01:00:00,000,0.00,1007.79,0.00,0.0,29.93,10.00,25.8,24.1,90,980.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-07-2019,01:00:00,000,0.40,1006.35,0.00,0.0,27.52,10.00,26.8,22.7,78,972.88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-07-2019,01:00:00,200,0.00,1006.32,0.00,1.9,30.46,10.00,25.8,24.3,92,987.79
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-07-2019,01:00:00,000,0.00,1006.73,0.00,0.0,29.43,10.00,26.4,23.8,86,983.91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-07-2019,01:00:00,000,0.00,1006.67,0.00,0.0,30.76,8.00,26.1,24.5,91,976.78
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-07-2019,01:00:00,000,0.00,1006.60,0.00,0.0,30.15,7.00,25.2,24.2,94,971.01
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-07-2019,01:00:00,000,3.60,1005.26,0.00,0.0,30.02,12.00,24.4,24.1,98,975.41
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-07-2019,01:00:00,000,0.00,1006.60,0.00,0.0,29.00,8.00,26.6,23.5,83,999.29
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-07-2019,01:00:00,180,0.40,1004.99,0.00,5.6,33.02,10.00,26.7,25.7,94,985.13
48353,LOEI,เลย,เลย,17.45000,101.73333,09-07-2019,01:00:00,000,0.40,1005.94,0.00,0.0,30.63,12.00,25.6,24.4,93,977.22
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-07-2019,01:00:00,000,7.10,1005.13,0.00,0.0,31.00,10.00,25.8,24.6,93,984.94
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-07-2019,01:00:00,240,0.20,1006.46,0.00,3.7,30.29,10.00,27.0,24.3,85,984.76
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-07-2019,01:00:00,000,0.20,1005.25,0.00,0.0,31.71,10.00,26.6,25.0,91,985.79
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-07-2019,01:00:00,100,0.10,1006.32,0.00,3.7,31.79,10.00,26.5,25.1,92,989.57
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-07-2019,01:00:00,000,0.80,1006.31,0.00,0.0,32.32,10.00,26.2,25.3,95,988.88
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-07-2019,01:00:00,000,8.80,1004.81,0.00,0.0,31.08,11.00,25.7,24.7,94,979.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-07-2019,01:00:00,000,0.00,1006.52,0.00,0.0,30.02,10.00,27.0,24.1,84,1000.33
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-07-2019,01:00:00,000,0.00,1006.92,0.00,0.0,28.59,10.00,25.5,23.3,88,990.41
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-07-2019,01:00:00,000,16.40,1007.39,3.70,0.0,28.01,10.00,23.7,23.0,96,984.82
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-07-2019,01:00:00,270,0.00,1007.73,0.00,9.3,25.91,7.00,27.5,21.7,71,993.36
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-07-2019,01:00:00,000,0.00,1006.49,0.00,0.0,26.37,7.00,28.2,22.0,69,990.18
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-07-2019,01:00:00,000,0.01,1006.89,0.00,0.0,32.77,10.00,27.0,25.6,92,1001.66
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-07-2019,01:00:00,000,0.00,1005.46,0.00,0.0,29.93,10.00,25.8,24.1,90,992.23
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-07-2019,01:00:00,000,1.40,1006.73,0.00,0.0,31.05,10.00,26.4,24.7,90,997.39
