WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,StationPressure,Rainfall24Hr,AirTemperature,WindDirection,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-07-2019,04:00:00,8.00,1006.54,0.0,28.90,975.51,0.90,24.8,000,23.5,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-07-2019,04:00:00,8.00,1004.13,5.6,20.68,843.28,0.00,18.7,270,18.0,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-07-2019,04:00:00,10.00,1005.06,0.0,29.89,961.46,6.50,25.2,000,24.0,93
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-07-2019,04:00:00,12.00,1005.17,0.0,27.33,959.43,25.80,23.6,000,22.6,94
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-07-2019,04:00:00,6.00,1006.24,0.0,31.49,968.57,0.00,25.2,000,24.9,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-07-2019,04:00:00,10.00,1004.65,7.4,28.37,959.51,0.00,24.5,140,23.2,92
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-07-2019,04:00:00,6.00,1006.57,0.0,29.43,979.88,0.00,26.4,000,23.8,86
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-07-2019,04:00:00,12.00,1006.23,0.0,29.15,984.36,0.00,24.5,000,23.6,95
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.80,09-07-2019,04:00:00,6.00,1007.52,0.0,28.53,983.22,0.80,24.0,000,23.3,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-07-2019,04:00:00,10.00,1005.78,0.0,28.08,971.29,0.00,25.8,000,23.0,85
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-07-2019,04:00:00,10.00,1007.18,0.0,29.00,979.54,0.00,25.0,000,23.5,92
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-07-2019,04:00:00,10.00,1005.90,0.0,27.62,972.27,0.40,25.1,000,22.7,87
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-07-2019,04:00:00,10.00,1005.69,0.0,30.15,987.13,0.00,25.2,000,24.2,94
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-07-2019,04:00:00,10.00,1006.39,0.0,29.64,983.52,0.00,25.5,000,23.9,91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-07-2019,04:00:00,7.00,1006.46,0.0,30.05,976.46,0.00,25.0,000,24.1,95
