WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,LandVisibility,RelativeHumidity,WindDirection,DewPoint,WindSpeed,VaporPressure,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-07-2019,10:00:00,28.0,10.00,77,000,23.6,0.0,29.19,977.97,0.90,1008.74,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-07-2019,10:00:00,20.5,8.00,86,260,18.1,7.4,20.73,844.97,0.00,1005.09,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-07-2019,10:00:00,29.5,12.00,67,150,22.8,9.3,27.69,963.66,6.50,1006.73,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-07-2019,10:00:00,29.8,15.00,69,210,23.6,5.6,29.08,961.84,25.80,1006.74,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-07-2019,10:00:00,27.7,12.00,82,000,24.4,0.0,30.53,970.99,0.00,1008.43,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-07-2019,10:00:00,30.5,12.00,68,150,24.0,7.4,29.89,962.16,0.00,1006.51,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-07-2019,10:00:00,29.5,12.00,79,110,25.5,5.6,32.71,981.90,0.00,1008.36,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-07-2019,10:00:00,28.3,13.00,73,270,23.0,11.1,28.14,987.30,0.00,1008.96,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-07-2019,10:00:00,26.6,8.00,87,000,24.3,0.0,30.34,985.36,1.80,1009.50,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-07-2019,10:00:00,31.7,10.00,55,080,21.5,3.7,25.61,973.96,0.00,1007.87,0.00
