WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,StationPressure,Rainfall,AirTemperature,VaporPressure,DewPoint,WindSpeed,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-07-2019,13:00:00,1.40,12.00,78,1006.59,976.06,0.50,29.7,32.54,25.5,0.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-07-2019,13:00:00,0.00,8.00,78,1001.86,844.03,0.00,24.2,23.41,20.0,0.0,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-07-2019,13:00:00,6.50,12.00,60,1004.50,961.82,0.00,31.6,27.87,22.9,13.0,160
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-07-2019,13:00:00,25.80,15.00,63,1004.53,959.96,0.00,31.4,29.15,23.6,0.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-07-2019,13:00:00,0.00,12.00,63,1005.47,968.65,0.00,32.0,29.79,24.0,0.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-07-2019,13:00:00,0.00,15.00,64,1005.30,961.29,0.00,32.5,31.11,24.7,9.3,180
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-07-2019,13:00:00,0.00,12.00,68,1006.30,980.10,0.00,31.9,32.19,25.3,7.4,220
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-07-2019,13:00:00,0.00,13.00,62,1006.81,985.42,0.00,31.5,28.51,23.2,9.3,270
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-07-2019,13:00:00,1.80,8.00,79,1008.23,984.26,0.01,28.4,30.51,24.4,0.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-07-2019,13:00:00,0.00,10.00,56,1005.91,972.15,0.00,32.5,27.41,22.6,5.6,160
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-07-2019,13:00:00,0.00,10.00,56,1006.16,979.24,0.00,32.9,27.92,22.9,0.0,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-07-2019,13:00:00,0.40,12.00,59,1005.77,972.92,0.00,32.3,28.41,23.2,0.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-07-2019,13:00:00,0.00,15.00,62,1006.08,987.95,0.00,32.4,30.03,24.1,7.4,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-07-2019,13:00:00,0.00,10.00,64,1005.71,983.36,0.00,32.4,30.90,24.6,0.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-07-2019,13:00:00,0.00,12.00,63,1005.93,976.58,0.00,31.5,29.07,23.6,9.3,240
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-07-2019,13:00:00,0.00,8.00,66,1006.08,971.22,0.00,31.5,30.49,24.4,0.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-07-2019,13:00:00,3.20,16.00,69,1004.70,975.58,0.00,31.8,32.56,25.5,7.4,120
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-07-2019,13:00:00,0.00,13.00,59,1007.02,999.87,0.00,33.5,30.28,24.2,14.8,230
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-07-2019,13:00:00,0.40,20.00,62,1004.82,985.42,0.00,34.0,32.84,25.6,14.8,240
48353,LOEI,เลย,เลย,17.45000,101.73333,09-07-2019,13:00:00,0.40,17.00,56,1004.65,976.75,0.00,34.0,29.87,24.0,14.8,290
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-07-2019,13:00:00,7.10,17.00,61,1005.64,985.90,0.00,33.0,30.69,24.5,9.3,280
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-07-2019,13:00:00,0.00,15.00,71,1005.78,984.39,0.00,31.2,32.18,25.3,5.6,260
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-07-2019,13:00:00,0.00,15.00,60,1005.20,986.08,0.00,32.0,28.66,23.3,13.0,240
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-07-2019,13:00:00,1.30,12.00,78,1005.49,988.95,0.80,30.1,33.08,25.7,1.9,040
