WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,LandVisibility,WindDirection,MaximumTemperature,StationPressure,Rainfall,RelativeHumidity,WindSpeed,VaporPressure,DewPoint,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,7.00,09-07-2019,19:00:00,26.4,12.00,000,32.7,975.61,4.50,89,0.0,30.78,24.5,1006.47
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,6.50,09-07-2019,19:00:00,21.0,8.00,280,25.5,844.00,6.50,91,14.8,22.54,19.4,1003.65
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,6.50,09-07-2019,19:00:00,29.8,12.00,000,33.3,960.88,0.00,73,0.0,30.75,24.5,1003.77
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.80,09-07-2019,19:00:00,28.2,15.00,000,33.9,958.93,0.00,78,0.0,29.85,24.0,1003.94
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-07-2019,19:00:00,28.5,8.00,000,33.3,967.69,0.00,85,0.0,32.96,25.7,1004.91
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-07-2019,19:00:00,28.0,12.00,000,33.0,959.91,0.00,80,0.0,30.28,24.3,1004.53
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-07-2019,19:00:00,29.7,10.00,180,33.0,978.92,0.00,82,3.7,34.29,26.3,1005.29
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.70,09-07-2019,19:00:00,25.7,13.00,000,33.5,985.07,0.50,89,0.0,29.48,23.8,1006.87
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,3.80,09-07-2019,19:00:00,26.5,8.00,000,29.8,983.94,0.00,88,0.0,30.43,24.3,1008.05
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.20,09-07-2019,19:00:00,28.0,10.00,000,33.5,971.93,0.20,82,0.0,30.84,24.6,1006.19
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,2.00,09-07-2019,19:00:00,26.7,10.00,000,33.7,979.51,0.00,83,0.0,28.92,23.5,1007.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-07-2019,19:00:00,29.3,12.00,000,34.5,972.16,0.00,68,0.0,27.59,22.7,1005.31
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.20,09-07-2019,19:00:00,29.0,10.00,300,34.0,987.19,0.00,82,3.7,32.83,25.6,1005.52
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.10,09-07-2019,19:00:00,29.5,10.00,000,34.6,982.65,0.10,79,0.0,32.71,25.5,1005.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-07-2019,19:00:00,28.6,10.00,000,32.5,975.78,0.00,85,0.0,33.16,25.8,1005.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,5.20,09-07-2019,19:00:00,24.7,6.00,000,31.5,971.09,2.20,94,0.0,29.25,23.7,1006.76
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-07-2019,19:00:00,28.3,14.00,250,35.1,975.33,0.00,84,5.6,32.27,25.3,1004.78
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-07-2019,19:00:00,31.4,10.00,000,35.3,998.64,0.00,67,0.0,30.57,24.4,1005.82
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.40,09-07-2019,19:00:00,32.0,15.00,200,35.1,984.86,0.00,75,3.7,35.70,27.0,1004.37
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-07-2019,19:00:00,29.7,15.00,000,34.6,977.01,0.00,75,0.0,31.40,24.9,1005.33
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,4.60,09-07-2019,19:00:00,28.7,12.00,000,34.6,985.53,1.80,84,0.0,33.08,25.7,1005.55
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-07-2019,19:00:00,29.2,12.00,000,33.7,984.05,0.00,80,0.0,32.38,25.4,1005.57
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-07-2019,19:00:00,30.4,13.00,180,33.5,985.88,0.00,72,3.7,31.39,24.9,1005.10
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.30,09-07-2019,19:00:00,29.5,10.00,000,33.5,989.37,0.00,81,0.0,33.58,26.0,1005.95
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.10,09-07-2019,19:00:00,28.0,10.00,000,33.0,988.41,0.00,92,0.0,34.81,26.6,1005.73
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.20,09-07-2019,19:00:00,29.0,10.00,000,34.5,978.88,0.00,78,0.0,31.13,24.7,1004.41
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-07-2019,19:00:00,29.6,10.00,260,35.7,999.92,0.00,74,3.7,30.63,24.4,1005.65
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-07-2019,19:00:00,29.5,10.00,230,34.5,1000.33,0.00,72,9.3,29.88,24.0,1006.47
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-07-2019,19:00:00,28.2,10.00,000,33.2,990.76,0.00,76,0.0,29.03,23.5,1007.13
