WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall,DewPoint,Rainfall24Hr,LandVisibility,AirTemperature,MeanSeaLevelPressure,RelativeHumidity,WindDirection,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,28.15,09-08-2019,10:00:00,978.37,0.00,23.0,7.00,10.00,29.6,1008.99,68,130,1.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.54,09-08-2019,10:00:00,845.63,0.00,17.9,7.70,8.00,20.2,1006.06,87,000,0.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.37,09-08-2019,10:00:00,963.89,0.00,23.7,0.00,15.00,30.8,1006.78,66,130,9.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.19,09-08-2019,10:00:00,962.03,0.00,23.6,0.00,15.00,30.0,1006.90,69,230,5.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,31.54,09-08-2019,10:00:00,971.20,0.00,24.9,0.00,12.00,28.5,1008.55,81,130,9.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.90,09-08-2019,10:00:00,962.36,0.00,24.6,0.00,15.00,31.0,1006.65,69,150,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.13,09-08-2019,10:00:00,982.36,0.00,25.2,0.00,12.00,30.2,1008.78,75,180,9.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.12,09-08-2019,10:00:00,987.52,0.00,23.0,1.70,13.00,29.3,1009.11,69,220,9.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.51,09-08-2019,10:00:00,986.26,0.00,23.2,2.00,8.00,27.2,1010.36,79,000,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,28.06,09-08-2019,10:00:00,974.22,0.00,23.0,0.20,12.00,30.7,1008.25,64,070,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.42,09-08-2019,10:00:00,981.39,0.00,23.2,2.00,10.00,30.6,1008.58,65,160,5.6
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.22,09-08-2019,10:00:00,975.05,0.00,22.5,0.00,12.00,30.4,1008.18,63,000,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.75,09-08-2019,10:00:00,990.11,0.00,23.4,0.20,15.00,30.2,1008.41,67,270,14.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.96,09-08-2019,10:00:00,985.70,0.00,24.1,0.10,10.00,31.1,1008.20,66,000,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,30.07,09-08-2019,10:00:00,978.96,0.00,24.1,0.00,12.00,28.6,1008.67,77,000,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,29.41,09-08-2019,10:00:00,973.30,0.00,23.8,5.20,10.00,29.4,1008.48,72,000,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,30.50,09-08-2019,10:00:00,977.63,0.00,24.4,0.00,17.00,30.1,1006.97,72,120,7.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.81,09-08-2019,10:00:00,1001.54,0.00,24.0,0.00,11.00,30.6,1008.77,68,000,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.43,09-08-2019,10:00:00,987.40,0.00,25.4,0.00,15.00,31.6,1006.99,70,290,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,25.91,09-08-2019,10:00:00,979.18,0.00,21.7,0.00,15.00,32.0,1007.34,54,310,9.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.76,09-08-2019,10:00:00,987.59,0.00,24.0,1.80,18.00,31.0,1007.49,66,270,14.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.93,09-08-2019,10:00:00,986.58,0.00,25.7,0.00,15.00,31.0,1008.03,73,260,11.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.98,09-08-2019,10:00:00,987.95,0.00,24.6,0.00,15.00,30.9,1007.18,69,200,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.72,09-08-2019,10:00:00,991.41,0.00,25.0,0.80,12.00,30.0,1008.00,75,040,5.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,33.17,09-08-2019,10:00:00,991.18,0.00,25.8,0.00,12.00,30.0,1008.43,78,270,5.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.49,09-08-2019,10:00:00,981.58,0.00,24.4,0.00,15.00,31.5,1006.96,66,250,5.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.72,09-08-2019,10:00:00,1003.22,0.00,25.0,0.00,10.00,30.0,1008.96,75,000,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.50,09-08-2019,10:00:00,1003.04,0.00,24.4,0.00,12.00,30.1,1009.18,72,280,9.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,28.37,09-08-2019,10:00:00,993.14,0.00,23.2,0.00,12.00,29.0,1009.51,71,000,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,30.02,09-08-2019,10:00:00,987.05,0.00,24.1,6.50,10.00,27.0,1009.41,84,270,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.67,09-08-2019,10:00:00,996.01,0.00,22.8,0.00,9.00,29.2,1010.33,68,270,9.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.03,09-08-2019,10:00:00,993.10,0.00,23.5,0.00,12.00,30.2,1009.34,68,000,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.25,09-08-2019,10:00:00,1004.55,0.00,25.8,44.80,10.00,29.9,1009.74,79,000,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.45,09-08-2019,10:00:00,995.03,0.00,24.9,1.30,12.00,29.3,1008.14,77,160,7.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.73,09-08-2019,10:00:00,999.99,0.00,23.9,57.00,13.00,30.7,1009.22,67,000,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.87,09-08-2019,10:00:00,986.29,0.00,22.9,6.20,12.00,31.6,1007.66,60,270,11.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,32.79,09-08-2019,10:00:00,990.63,0.00,25.6,2.80,10.00,28.7,1008.05,83,240,13.0
