WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,Rainfall24Hr,WindSpeed,DewPoint,AirTemperature,LandVisibility,Rainfall,MeanSeaLevelPressure,VaporPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,71,09-08-2019,16:00:00,000,6.50,0.0,25.3,31.1,15.00,0.00,1004.46,32.26,974.13
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,85,09-08-2019,16:00:00,270,7.70,14.8,19.9,22.5,8.00,0.00,1002.18,23.15,843.49
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,53,09-08-2019,16:00:00,240,0.00,9.3,22.3,33.1,15.00,0.00,1002.46,26.92,960.07
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,57,09-08-2019,16:00:00,000,0.00,0.0,23.0,32.7,15.00,0.00,1002.37,28.08,958.08
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,89,09-08-2019,16:00:00,150,0.50,5.6,26.9,29.0,12.00,0.50,1003.81,35.46,966.70
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,70,09-08-2019,16:00:00,190,0.10,13.0,24.4,30.4,12.00,0.10,1003.50,30.54,959.27
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,69,09-08-2019,16:00:00,160,0.00,5.6,25.4,31.7,12.00,0.00,1003.85,32.35,977.69
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,59,09-08-2019,16:00:00,180,0.50,7.4,23.0,32.0,13.00,0.00,1004.62,28.10,983.31
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,85,09-08-2019,16:00:00,000,2.10,0.0,25.1,28.0,8.00,0.90,1006.94,31.95,982.98
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,61,09-08-2019,16:00:00,210,0.20,5.6,23.4,31.9,12.00,0.00,1004.01,28.74,970.26
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,90,09-08-2019,16:00:00,000,5.60,0.0,26.8,28.6,10.00,5.60,1004.69,35.20,977.43
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,57,09-08-2019,16:00:00,000,0.00,0.0,22.5,32.0,12.00,0.00,1004.11,27.27,971.28
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,92,09-08-2019,16:00:00,250,7.40,11.1,25.1,26.5,4.00,7.40,1004.76,31.79,986.30
48331,NAN,น่าน,น่าน,18.77972,100.77778,61,09-08-2019,16:00:00,000,0.10,0.0,25.0,33.6,10.00,0.00,1003.08,31.67,980.88
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,69,09-08-2019,16:00:00,000,0.00,0.0,24.7,31.0,12.00,0.00,1003.46,31.19,974.13
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,54,09-08-2019,16:00:00,000,2.20,0.0,21.0,31.4,8.00,0.00,1003.80,24.79,969.01
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,76,09-08-2019,16:00:00,320,0.00,5.6,26.5,31.2,15.00,0.00,1002.85,34.54,973.72
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,78,09-08-2019,16:00:00,000,0.01,0.0,25.8,30.0,10.00,0.01,1004.39,33.17,997.18
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,60,09-08-2019,16:00:00,250,0.00,5.6,26.0,35.0,18.00,0.00,1002.22,33.54,982.94
48353,LOEI,เลย,เลย,17.45000,101.73333,71,09-08-2019,16:00:00,330,0.00,13.0,24.3,30.0,12.00,0.00,1003.81,30.31,975.57
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,57,09-08-2019,16:00:00,260,1.80,11.1,24.2,34.0,15.00,0.00,1003.06,30.16,983.44
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,62,09-08-2019,16:00:00,270,0.00,11.1,25.6,34.0,15.00,0.00,1003.43,32.84,982.29
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,58,09-08-2019,16:00:00,220,0.00,7.4,24.7,34.2,15.00,0.00,1002.33,31.17,983.39
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,67,09-08-2019,16:00:00,000,0.00,0.0,25.6,32.5,12.00,0.00,1003.30,32.87,986.92
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,72,09-08-2019,16:00:00,000,0.40,0.0,25.4,31.0,12.00,0.40,1003.63,32.34,986.52
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,58,09-08-2019,16:00:00,250,0.00,5.6,25.3,34.7,15.00,0.00,1001.81,32.26,976.82
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,61,09-08-2019,16:00:00,240,0.00,9.3,25.7,34.4,10.00,0.00,1005.22,33.11,999.58
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,74,09-08-2019,16:00:00,000,0.00,0.0,26.3,31.5,12.00,0.00,1005.47,34.30,999.38
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,66,09-08-2019,16:00:00,000,0.00,0.0,24.9,32.0,12.00,0.00,1004.96,31.52,988.83
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,77,09-08-2019,16:00:00,270,2.10,7.4,23.6,28.0,10.00,0.00,1005.83,29.19,983.62
48376,TAK,ตาก,ตาก,16.87833,99.14333,65,09-08-2019,16:00:00,270,0.00,16.7,23.0,30.3,8.00,0.00,1006.48,28.12,992.26
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,58,09-08-2019,16:00:00,000,0.00,0.0,23.8,33.1,12.00,0.00,1005.05,29.46,989.03
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,58,09-08-2019,16:00:00,270,44.80,16.7,24.2,33.7,10.00,0.00,1005.27,30.12,1000.16
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,58,09-08-2019,16:00:00,200,0.00,5.6,24.7,34.0,12.00,0.00,1003.39,31.04,990.54
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,63,09-08-2019,16:00:00,330,57.00,9.3,24.4,32.2,15.00,0.00,1005.22,30.48,996.07
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,75,09-08-2019,16:00:00,180,0.20,9.3,25.2,30.0,8.00,0.01,1003.95,32.01,982.54
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,63,09-08-2019,16:00:00,220,2.80,11.1,25.7,33.7,12.00,0.00,1003.41,33.08,986.35
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,61,09-08-2019,16:00:00,270,0.00,5.6,24.4,33.1,12.00,0.00,1002.73,30.61,987.28
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,63,09-08-2019,16:00:00,180,0.01,1.9,24.7,32.6,10.00,0.00,1002.49,31.02,984.04
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,66,09-08-2019,16:00:00,000,2.70,0.0,20.7,27.5,10.00,0.00,1007.59,24.38,956.64
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,65,09-08-2019,16:00:00,230,2.90,13.0,25.1,32.4,10.00,0.00,1004.94,31.77,1001.06
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,95,09-08-2019,16:00:00,270,2.80,14.8,21.1,21.9,.60,0.60,1007.13,25.06,912.15
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,70,09-08-2019,16:00:00,160,8.40,3.7,26.8,33.0,10.00,0.00,1003.35,35.19,987.73
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,56,09-08-2019,16:00:00,220,0.00,3.7,24.6,34.6,12.00,0.00,1004.84,30.85,1000.91
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,53,09-08-2019,16:00:00,240,0.00,7.4,23.2,34.0,10.00,0.00,1006.05,28.43,995.63
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,63,09-08-2019,16:00:00,210,0.20,11.1,23.6,31.5,9.00,0.20,1006.08,29.07,1004.19
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,52,09-08-2019,16:00:00,250,0.00,14.8,22.6,33.9,10.00,0.00,1003.90,27.38,983.57
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,64,09-08-2019,16:00:00,230,5.30,11.1,24.7,32.5,10.00,0.00,1003.83,31.11,986.54
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,57,09-08-2019,16:00:00,250,10.20,7.4,24.3,34.0,10.00,0.00,1003.26,30.46,987.52
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,59,09-08-2019,16:00:00,230,0.00,5.6,23.7,32.7,10.00,0.00,1004.33,29.21,990.60
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,62,09-08-2019,16:00:00,000,0.00,0.0,24.9,33.2,10.00,0.00,1004.69,31.41,990.20
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,62,09-08-2019,16:00:00,250,0.01,11.1,24.8,33.0,10.00,0.00,1004.10,31.28,989.76
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,57,09-08-2019,16:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.0,23.5,33.1,10.00,0.00,1005.41,28.88,1002.46
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,61,09-08-2019,16:00:00,000,0.00,0.0,24.2,32.6,10.00,0.00,1004.56,30.16,996.77
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,62,09-08-2019,16:00:00,220,0.00,14.8,24.3,32.4,8.00,0.00,1005.32,30.32,1004.23
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,54,09-08-2019,16:00:00,000,0.00,0.0,22.1,32.5,8.00,0.00,1004.30,26.58,989.92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,100,09-08-2019,16:00:00,270,4.80,11.1,20.7,20.7,.10,4.80,1007.46,24.39,872.92
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,57,09-08-2019,16:00:00,000,0.00,0.0,24.6,34.5,10.00,0.00,1005.18,30.93,999.45
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,58,09-08-2019,16:00:00,230,0.00,13.0,24.2,33.7,12.00,0.00,1006.08,30.12,1005.30
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,75,09-08-2019,16:00:00,230,0.00,14.8,25.0,30.0,10.00,0.00,1006.63,31.72,1006.19
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,84,09-08-2019,16:00:00,000,13.60,0.0,24.6,27.5,5.00,1.80,1008.59,30.97,997.29
