WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,AirTemperature,WindSpeed,MaximumTemperature,Rainfall,Rainfall24Hr,RelativeHumidity,WindDirection,LandVisibility,DewPoint,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.24,09-08-2019,19:00:00,1005.97,27.6,0.0,31.7,0.00,2.00,76,000,12.00,23.1,28.18
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.23,09-08-2019,19:00:00,1004.50,20.0,27.8,24.0,2.00,3.20,99,270,6.00,19.8,23.13
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.44,09-08-2019,19:00:00,1003.64,27.5,0.0,33.9,3.00,3.00,81,000,12.00,24.0,29.88
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,958.83,09-08-2019,19:00:00,1003.68,29.2,0.0,33.8,0.00,0.00,71,000,15.00,23.4,28.75
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.30,09-08-2019,19:00:00,1004.53,28.2,0.0,31.5,0.00,0.50,91,000,8.00,26.5,34.65
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.78,09-08-2019,19:00:00,1004.30,28.6,5.6,32.8,0.00,0.10,80,120,9.00,24.9,31.46
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.47,09-08-2019,19:00:00,1004.91,28.7,0.0,33.3,0.00,0.00,87,000,10.00,26.3,34.24
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.13,09-08-2019,19:00:00,1005.66,29.1,7.4,32.7,0.00,0.00,75,200,13.00,24.2,30.21
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.08,09-08-2019,19:00:00,1007.12,27.0,0.0,29.0,0.00,2.10,88,000,8.00,24.8,31.38
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.68,09-08-2019,19:00:00,1004.59,30.7,5.6,33.2,0.00,0.00,58,220,10.00,21.5,25.63
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,978.10,09-08-2019,19:00:00,1005.50,27.2,0.0,33.9,4.00,9.60,90,000,10.00,25.5,32.61
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,971.68,09-08-2019,19:00:00,1004.79,29.5,9.3,33.3,0.00,0.00,61,230,12.00,21.3,25.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.78,09-08-2019,19:00:00,1005.23,26.8,3.7,33.8,0.20,7.60,91,260,15.00,25.2,32.10
