WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindSpeed,StationPressure,Rainfall,AirTemperature,LandVisibility,DewPoint,WindDirection,Rainfall24Hr,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-09-2019,10:00:00,1008.33,0.0,977.48,0.00,27.1,10.00,23.9,000,5.30,83,29.66
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-09-2019,10:00:00,1005.13,16.7,844.61,0.00,19.7,8.00,18.6,120,2.60,93,21.38
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-09-2019,10:00:00,1006.75,9.3,963.75,0.00,29.9,10.00,22.1,230,3.00,63,26.56
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-09-2019,10:00:00,1006.53,0.0,961.53,0.00,29.0,15.00,22.4,000,0.00,68,27.03
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-09-2019,10:00:00,1007.49,0.0,970.18,0.00,28.5,12.00,25.7,000,0.50,85,32.96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-09-2019,10:00:00,1006.95,11.1,962.58,0.00,30.5,11.00,23.9,150,0.10,68,29.61
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-09-2019,10:00:00,1007.98,7.4,981.57,0.00,30.0,12.00,24.0,180,1.60,70,29.75
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-09-2019,10:00:00,1008.52,1.9,986.86,0.00,28.1,12.00,24.1,210,0.00,79,29.93
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-09-2019,10:00:00,1010.09,0.0,985.85,0.00,25.5,8.00,23.3,000,2.10,88,28.59
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-09-2019,10:00:00,1008.03,0.0,973.89,0.00,29.7,10.00,23.3,000,0.00,69,28.61
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-09-2019,10:00:00,1008.50,0.0,981.13,0.00,28.4,10.00,23.0,000,9.60,73,28.06
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-09-2019,10:00:00,1008.04,5.6,974.74,0.00,28.8,10.00,22.9,230,0.00,71,28.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-09-2019,10:00:00,1008.00,7.4,989.66,0.00,29.4,10.00,25.1,260,7.60,78,31.93
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-09-2019,10:00:00,1007.59,5.6,985.06,0.00,30.5,10.00,24.2,130,3.20,69,30.18
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-09-2019,10:00:00,1007.67,7.4,978.07,0.00,29.4,12.00,24.7,120,0.10,76,31.08
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-09-2019,10:00:00,1008.13,0.0,972.87,0.00,28.6,7.00,24.9,000,0.00,80,31.46
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-09-2019,10:00:00,1006.53,0.0,977.38,0.00,32.0,15.00,24.5,000,0.00,64,30.65
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-09-2019,10:00:00,1008.46,0.0,1001.22,0.00,30.2,10.00,24.3,000,0.01,71,30.42
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-09-2019,10:00:00,1006.85,13.0,987.27,0.00,31.7,14.00,25.0,280,0.00,68,31.77
48353,LOEI,เลย,เลย,17.45000,101.73333,09-09-2019,10:00:00,1006.80,5.6,978.56,0.00,31.0,15.00,21.9,310,0.00,58,26.19
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-09-2019,10:00:00,1007.27,9.3,987.35,0.00,30.6,18.00,23.5,240,0.01,66,28.97
