WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,DewPoint,Rainfall,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.30,09-09-2019,13:00:00,975.56,25.5,0.00,0.0,30.2,76,32.71,12.00,000,1006.03
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,2.60,09-09-2019,13:00:00,844.29,19.1,0.00,16.7,22.7,80,22.07,8.00,270,1003.01
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,3.00,09-09-2019,13:00:00,961.44,23.7,0.00,0.0,32.7,59,29.21,10.00,000,1003.95
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-09-2019,13:00:00,959.44,23.3,0.00,0.0,31.7,61,28.63,15.00,000,1003.94
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.50,09-09-2019,13:00:00,967.99,24.6,0.00,11.1,31.0,69,30.90,12.00,150,1004.90
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.10,09-09-2019,13:00:00,960.21,23.4,0.00,13.0,32.8,58,28.85,11.00,200,1004.13
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1.60,09-09-2019,13:00:00,979.05,25.5,0.00,9.3,32.4,67,32.66,12.00,180,1005.18
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-09-2019,13:00:00,984.66,24.1,0.00,14.8,31.4,65,30.00,14.00,210,1006.04
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1.70,09-09-2019,13:00:00,984.18,23.9,0.80,0.0,27.5,81,29.60,8.00,000,1008.21
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-09-2019,13:00:00,971.75,21.9,0.00,5.6,31.5,57,26.32,10.00,190,1005.61
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,9.60,09-09-2019,13:00:00,978.62,24.1,0.00,0.0,32.4,62,30.03,10.00,000,1005.57
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-09-2019,13:00:00,972.50,23.1,0.00,5.6,32.4,58,28.33,10.00,260,1005.33
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,7.60,09-09-2019,13:00:00,987.12,24.0,0.00,3.7,32.7,60,29.79,15.00,300,1005.22
48331,NAN,น่าน,น่าน,18.77972,100.77778,3.20,09-09-2019,13:00:00,982.64,24.2,0.00,0.0,33.5,59,30.28,10.00,000,1004.89
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.10,09-09-2019,13:00:00,975.35,24.8,0.00,0.0,32.0,66,31.23,12.00,000,1004.62
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-09-2019,13:00:00,970.60,25.0,0.00,0.0,31.8,67,31.68,8.00,000,1005.40
