WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,WindDirection,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall,Rainfall24Hr,AirTemperature,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,976.36,09-09-2019,22:00:00,7.00,000,24.3,1007.39,30.32,0.00,35.60,25.0,0.0,96
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.50,09-09-2019,22:00:00,8.00,100,19.0,1005.06,21.90,0.00,0.60,19.6,14.8,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.57,09-09-2019,22:00:00,10.00,180,25.3,1004.85,32.16,0.00,0.01,27.4,3.7,88
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.51,09-09-2019,22:00:00,12.00,000,24.5,1004.77,30.81,0.00,0.00,26.7,0.0,88
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,968.59,09-09-2019,22:00:00,6.00,000,25.3,1006.15,32.20,0.00,8.50,26.0,0.0,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,960.94,09-09-2019,22:00:00,8.00,150,24.4,1005.60,30.56,0.00,0.00,28.0,7.4,81
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.85,09-09-2019,22:00:00,8.00,000,25.3,1006.48,32.21,0.00,0.00,27.0,0.0,90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,985.57,09-09-2019,22:00:00,13.00,240,22.6,1007.29,27.44,0.00,0.00,26.9,9.3,77
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.62,09-09-2019,22:00:00,6.00,000,24.3,1008.80,30.46,0.00,2.10,25.8,0.0,92
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,972.07,09-09-2019,22:00:00,10.00,000,24.4,1006.49,30.62,0.00,1.80,26.6,0.0,88
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,979.64,09-09-2019,22:00:00,10.00,000,24.6,1007.05,30.97,0.00,0.00,27.5,0.0,84
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.72,09-09-2019,22:00:00,10.00,250,22.3,1006.00,26.99,0.00,0.00,28.4,5.6,70
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,988.11,09-09-2019,22:00:00,10.00,000,25.0,1006.66,31.63,0.00,9.70,25.7,0.0,96
48331,NAN,น่าน,น่าน,18.77972,100.77778,983.83,09-09-2019,22:00:00,10.00,000,24.1,1006.57,30.04,0.00,0.30,27.3,0.0,83
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,976.48,09-09-2019,22:00:00,8.00,000,24.3,1006.32,30.43,0.00,0.00,26.5,0.0,88
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,971.05,09-09-2019,22:00:00,7.00,000,24.1,1006.44,30.02,0.00,0.00,27.0,0.0,84
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,976.50,09-09-2019,22:00:00,12.00,000,24.5,1006.20,30.67,0.00,0.00,26.2,0.0,90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.84,09-09-2019,22:00:00,10.00,000,24.4,1007.12,30.56,0.00,0.00,28.0,0.0,81
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,986.17,09-09-2019,22:00:00,13.00,000,26.6,1005.86,34.75,0.00,0.00,29.5,0.0,84
