WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,LandVisibility,Rainfall24Hr,AirTemperature,Rainfall,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.99,09-10-2019,01:00:00,24.0,7.00,35.60,24.6,0.00,97,29.85,0.0,000,1007.05
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,843.97,09-10-2019,01:00:00,17.9,8.00,0.00,18.9,0.00,94,20.52,11.1,100,1004.84
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.61,09-10-2019,01:00:00,24.1,10.00,0.01,26.6,0.00,86,30.07,0.0,000,1005.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.52,09-10-2019,01:00:00,24.8,12.00,0.00,26.2,0.00,92,31.22,0.0,000,1004.86
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,968.36,09-10-2019,01:00:00,25.2,6.00,8.50,25.5,0.00,98,32.07,0.0,000,1005.97
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,960.76,09-10-2019,01:00:00,23.8,8.00,0.00,26.1,0.00,87,29.41,11.1,110,1005.71
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.55,09-10-2019,01:00:00,24.1,7.00,0.00,26.3,0.00,88,30.05,0.0,000,1006.24
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,985.25,09-10-2019,01:00:00,22.4,12.00,0.00,26.1,0.00,80,27.06,5.6,220,1007.02
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.24,09-10-2019,01:00:00,24.1,6.00,2.10,25.0,0.00,95,30.05,0.0,000,1008.48
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,971.94,09-10-2019,01:00:00,24.4,10.00,1.80,26.4,0.00,89,30.51,0.0,000,1006.39
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,980.39,09-10-2019,01:00:00,23.3,10.00,0.00,25.5,0.00,88,28.59,0.0,000,1008.01
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.85,09-10-2019,01:00:00,22.5,10.00,0.00,27.2,0.00,75,27.19,0.0,000,1006.27
