WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall24Hr,WindDirection,RelativeHumidity,StationPressure,Rainfall,LandVisibility,DewPoint,AirTemperature,WindSpeed,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1004.42,09-10-2019,16:00:00,29.80,000,75,973.96,0.01,12.00,24.7,29.7,0.0,31.12
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1002.44,09-10-2019,16:00:00,0.00,120,87,843.56,0.00,7.00,19.9,22.2,7.4,23.17
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1003.38,09-10-2019,16:00:00,2.60,000,81,960.21,2.60,10.00,24.2,27.7,0.0,30.26
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1003.37,09-10-2019,16:00:00,0.00,000,73,958.62,0.00,15.00,24.5,29.8,0.0,30.75
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1005.46,09-10-2019,16:00:00,8.50,000,76,968.19,0.00,10.00,23.5,28.2,0.0,29.03
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1003.97,09-10-2019,16:00:00,0.00,160,68,959.78,0.00,15.00,24.2,30.8,7.4,30.21
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1005.72,09-10-2019,16:00:00,0.00,170,70,979.38,0.00,12.00,24.2,30.2,16.7,30.14
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1005.44,09-10-2019,16:00:00,0.00,240,63,984.06,0.00,15.00,23.3,31.3,9.3,28.68
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1006.61,09-10-2019,16:00:00,0.40,000,82,982.59,0.00,8.00,23.9,27.2,0.0,29.58
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1004.51,09-10-2019,16:00:00,1.80,240,66,970.64,0.00,10.00,23.8,31.0,7.4,29.48
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1006.02,09-10-2019,16:00:00,0.00,170,63,978.94,0.00,10.00,23.0,31.0,9.3,28.09
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1004.39,09-10-2019,16:00:00,0.00,000,58,971.51,0.00,12.00,22.4,31.6,0.0,27.05
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1004.99,09-10-2019,16:00:00,9.70,210,67,986.80,0.00,10.00,24.1,31.0,3.7,30.05
48331,NAN,น่าน,น่าน,18.77972,100.77778,1005.10,09-10-2019,16:00:00,0.00,000,65,982.64,0.00,10.00,23.5,30.7,0.0,28.89
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1005.06,09-10-2019,16:00:00,0.00,000,75,975.55,0.00,12.00,24.6,29.6,0.0,30.92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1005.04,09-10-2019,16:00:00,0.00,000,73,970.07,0.00,6.00,24.8,30.2,0.0,31.27
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1004.36,09-10-2019,16:00:00,0.00,000,72,975.18,0.00,14.00,25.4,31.0,0.0,32.34
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1005.60,09-10-2019,16:00:00,0.00,170,66,998.41,0.00,10.00,24.6,31.7,7.4,30.90
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1004.64,09-10-2019,16:00:00,0.00,230,70,985.15,0.00,20.00,26.2,32.5,7.4,34.07
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.57,09-10-2019,16:00:00,0.00,230,58,976.49,0.00,17.00,22.8,32.1,5.6,27.74
