WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,RelativeHumidity,Rainfall,MeanSeaLevelPressure,StationPressure,DewPoint,Rainfall24Hr,AirTemperature,LandVisibility,VaporPressure,WindDirection,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.9,09-11-2019,07:00:00,94,1.30,1010.60,979.40,23.3,2.00,24.3,5.00,28.54,000,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.6,09-11-2019,07:00:00,99,3.10,1008.56,846.50,17.5,6.70,17.7,6.00,20.02,120,14.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.0,09-11-2019,07:00:00,92,4.90,1010.04,966.13,23.2,9.20,24.5,10.00,28.37,000,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.7,09-11-2019,07:00:00,95,0.60,1009.44,963.64,23.6,8.40,24.5,2.00,29.15,000,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.5,09-11-2019,07:00:00,99,2.40,1010.30,972.33,23.8,8.80,24.0,7.00,29.56,000,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.5,09-11-2019,07:00:00,94,0.70,1010.67,965.14,22.7,2.80,23.7,7.00,27.50,140,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.5,09-11-2019,07:00:00,88,0.01,1011.55,984.59,22.6,0.01,24.7,9.00,27.44,000,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.7,09-11-2019,07:00:00,92,0.00,1010.98,988.96,22.6,0.00,23.9,12.00,27.34,090,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,21.5,09-11-2019,07:00:00,96,0.00,1011.69,987.25,22.8,0.20,23.5,5.00,27.66,000,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.6,09-11-2019,07:00:00,87,0.50,1010.55,975.78,22.4,0.50,24.8,10.00,27.10,000,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.0,09-11-2019,07:00:00,89,0.10,1011.30,983.50,22.6,0.10,24.5,9.00,27.35,000,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.4,09-11-2019,07:00:00,95,0.60,1010.38,976.54,23.7,1.80,24.6,8.00,29.33,000,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.4,09-11-2019,07:00:00,92,0.01,1011.16,992.46,23.2,0.01,24.5,15.00,28.37,000,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.3,09-11-2019,07:00:00,87,0.00,1011.23,988.19,22.5,0.00,24.7,10.00,27.19,000,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.8,09-11-2019,07:00:00,89,0.01,1011.30,981.05,21.9,0.01,23.9,8.00,26.34,000,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.7,09-11-2019,07:00:00,98,0.00,1010.95,975.02,23.4,1.00,23.7,4.00,28.77,000,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.2,09-11-2019,07:00:00,97,0.20,1011.49,981.38,23.2,5.90,23.6,10.00,28.34,140,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.0,09-11-2019,07:00:00,92,0.00,1011.11,1003.73,23.5,0.00,25.0,10.00,29.00,000,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,23.7,09-11-2019,07:00:00,97,10.00,1011.94,991.76,23.6,21.80,24.0,3.00,29.04,240,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,23.7,09-11-2019,07:00:00,95,0.20,1011.81,982.77,23.1,1.60,24.0,10.00,28.27,000,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.7,09-11-2019,07:00:00,96,2.50,1012.38,991.89,23.0,65.20,23.7,9.00,28.01,140,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.2,09-11-2019,07:00:00,96,11.80,1013.29,991.19,22.8,65.70,23.4,5.00,27.75,000,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.6,09-11-2019,07:00:00,97,14.40,1012.94,993.14,23.4,38.00,23.8,6.00,28.69,000,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.0,09-11-2019,07:00:00,96,19.10,1013.83,996.78,22.8,79.60,23.5,7.00,27.66,000,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.1,09-11-2019,07:00:00,97,42.50,1014.04,996.30,22.7,82.50,23.2,5.00,27.66,000,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.0,09-11-2019,07:00:00,98,3.00,1011.54,985.32,22.7,22.40,23.0,7.00,27.57,130,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.4,09-11-2019,07:00:00,98,0.00,1010.96,1005.13,25.4,15.50,25.7,10.00,32.45,000,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.5,09-11-2019,07:00:00,99,0.00,1011.21,1004.95,24.8,14.00,25.0,10.00,31.39,000,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.0,09-11-2019,07:00:00,92,0.00,1012.58,995.95,23.5,13.70,25.0,10.00,29.00,000,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.0,09-11-2019,07:00:00,91,0.00,1009.82,987.21,22.4,17.60,23.9,10.00,27.08,000,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.5,09-11-2019,07:00:00,92,0.00,1012.05,997.50,23.5,0.00,25.0,10.00,29.00,000,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.0,09-11-2019,07:00:00,89,0.00,1011.17,994.67,24.1,0.00,26.0,7.00,30.03,000,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.2,09-11-2019,07:00:00,93,0.00,1011.70,1006.43,24.4,1.50,25.6,10.00,30.63,000,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.0,09-11-2019,07:00:00,97,1.90,1010.68,997.34,24.4,12.70,24.8,10.00,30.48,000,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.8,09-11-2019,07:00:00,97,0.00,1011.38,1001.97,24.9,11.60,25.3,10.00,31.41,000,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.5,09-11-2019,07:00:00,99,2.70,1012.67,990.66,23.9,17.70,24.1,8.00,29.74,000,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.0,09-11-2019,07:00:00,100,0.70,1013.22,995.50,25.0,5.60,25.0,8.00,31.66,000,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.0,09-11-2019,07:00:00,96,4.80,1012.23,996.18,23.8,5.10,24.5,9.00,29.41,000,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.5,09-11-2019,07:00:00,98,1.50,1011.53,992.41,24.2,11.20,24.5,8.00,30.20,170,7.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.5,09-11-2019,07:00:00,95,3.90,1013.48,961.31,21.2,16.40,22.0,7.00,25.21,000,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.9,09-11-2019,07:00:00,92,0.00,1011.39,1007.40,24.6,3.10,26.0,5.00,30.84,100,5.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.2,09-11-2019,07:00:00,95,0.10,1012.30,916.28,19.3,1.40,20.1,2.00,22.38,210,5.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.0,09-11-2019,07:00:00,97,1.00,1012.98,996.81,24.9,4.80,25.3,7.00,31.41,000,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.9,09-11-2019,07:00:00,81,0.00,1010.93,1006.87,23.0,0.00,26.5,10.00,28.03,180,5.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.0,09-11-2019,07:00:00,90,0.00,1012.77,1001.97,23.2,21.60,25.0,7.00,28.48,000,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.0,09-11-2019,07:00:00,90,0.00,1012.18,1010.23,23.4,1.90,25.2,9.00,28.83,150,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.7,09-11-2019,07:00:00,95,0.00,1012.36,991.24,23.9,16.80,24.8,10.00,29.69,000,0.0
