WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,LandVisibility,Rainfall,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,StationPressure,WindSpeed,WindDirection,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,81,09-11-2019,13:00:00,28.2,9.00,0.20,5.00,24.6,1010.59,979.79,0.0,000,30.95
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,90,09-11-2019,13:00:00,21.1,8.00,0.00,7.90,19.4,1007.58,847.35,9.3,120,22.46
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,79,09-11-2019,13:00:00,27.2,12.00,0.20,13.30,23.2,1010.38,966.84,9.3,150,28.51
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,75,09-11-2019,13:00:00,27.0,12.00,0.00,11.40,22.3,1010.27,964.81,7.4,240,26.84
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,84,09-11-2019,13:00:00,26.0,8.00,0.40,9.60,23.1,1011.93,974.15,0.0,000,28.18
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,79,09-11-2019,13:00:00,27.7,12.00,0.00,2.90,23.6,1011.00,966.04,5.6,160,29.17
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,85,09-11-2019,13:00:00,26.9,7.00,1.30,1.30,24.1,1012.37,985.58,3.7,180,30.10
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,81,09-11-2019,13:00:00,27.2,7.00,0.20,0.50,23.7,1011.87,990.07,7.4,250,29.31
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,78,09-11-2019,13:00:00,27.2,8.00,0.00,0.00,22.9,1012.09,987.94,0.0,000,27.98
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,73,09-11-2019,13:00:00,28.7,10.00,0.01,0.80,23.3,1010.63,976.30,5.6,200,28.62
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,68,09-11-2019,13:00:00,29.2,10.00,0.10,1.20,22.8,1011.60,984.21,0.0,000,27.67
