WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,DewPoint,StationPressure,Rainfall,WindDirection,AirTemperature,LandVisibility,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,65,09-12-2019,13:00:00,0.10,26.80,1011.96,22.2,981.26,0.00,000,29.6,12.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,89,09-12-2019,13:00:00,0.00,22.24,1009.11,19.2,848.64,0.00,300,21.1,8.00,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,63,09-12-2019,13:00:00,2.60,27.12,1010.59,22.4,967.46,0.00,130,30.2,10.00,9.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,65,09-12-2019,13:00:00,0.00,27.55,1010.42,22.7,965.39,0.00,000,30.0,15.00,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,76,09-12-2019,13:00:00,3.20,30.96,1011.14,24.6,973.78,0.00,000,29.2,12.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,56,09-12-2019,13:00:00,0.00,24.48,1010.94,20.8,966.40,0.00,000,30.5,10.00,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,62,09-12-2019,13:00:00,0.60,30.24,1011.31,24.2,985.03,0.00,180,32.5,12.00,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,66,09-12-2019,13:00:00,0.80,29.37,1011.61,23.7,990.07,0.00,190,30.8,15.00,5.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,71,09-12-2019,13:00:00,4.30,28.37,1012.32,23.2,988.31,0.10,000,29.0,10.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,62,09-12-2019,13:00:00,0.01,25.93,1011.52,21.7,977.27,0.00,120,29.7,10.00,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,63,09-12-2019,13:00:00,0.00,28.09,1011.53,23.0,984.30,0.00,000,31.0,10.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,59,09-12-2019,13:00:00,0.00,25.80,1011.63,21.6,978.39,0.00,000,30.5,12.00,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,70,09-12-2019,13:00:00,1.20,30.14,1011.28,24.2,992.92,0.00,180,30.2,12.00,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,63,09-12-2019,13:00:00,0.00,28.48,1010.69,23.2,988.14,0.00,000,31.2,10.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,57,09-12-2019,13:00:00,0.01,27.00,1011.77,22.3,982.29,0.00,000,32.0,12.00,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,65,09-12-2019,13:00:00,1.00,27.55,1011.16,22.7,975.95,0.00,000,30.0,8.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,67,09-12-2019,13:00:00,0.00,31.68,1009.09,25.0,979.85,0.00,320,31.8,15.00,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,71,09-12-2019,13:00:00,0.60,30.31,1011.76,24.3,1004.49,0.00,000,30.0,10.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,70,09-12-2019,13:00:00,0.00,34.29,1009.44,26.3,989.87,0.00,240,32.6,{'@attributes': {'Unit': 'km'}},13.0
48353,LOEI,เลย,เลย,17.45000,101.73333,58,09-12-2019,13:00:00,0.01,28.25,1009.37,23.1,981.20,0.00,320,32.5,15.00,7.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,62,09-12-2019,13:00:00,22.20,28.12,1009.82,23.0,989.89,0.00,250,31.3,18.00,11.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,66,09-12-2019,13:00:00,0.60,31.52,1010.19,24.9,988.76,0.00,300,32.0,15.00,11.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,60,09-12-2019,13:00:00,0.30,28.38,1009.22,23.2,990.02,0.00,300,32.0,15.00,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,64,09-12-2019,13:00:00,0.00,29.96,1009.45,24.1,992.93,0.00,210,31.8,13.00,5.6
