WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed,DewPoint,RelativeHumidity,WindDirection,LandVisibility,MeanSeaLevelPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.39,09-12-2019,16:00:00,28.0,2.40,978.05,7.4,24.8,83,350,10.00,1008.82,2.30
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.99,09-12-2019,16:00:00,22.9,0.00,846.50,7.4,18.3,75,270,8.00,1005.53,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.93,09-12-2019,16:00:00,31.2,0.20,964.08,3.7,22.9,61,170,10.00,1006.92,0.20
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.91,09-12-2019,16:00:00,30.0,0.00,962.30,0.0,23.5,68,000,15.00,1007.19,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.05,09-12-2019,16:00:00,31.0,3.20,970.44,9.3,24.1,67,180,12.00,1007.45,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.84,09-12-2019,16:00:00,33.0,0.00,962.49,7.4,22.9,55,140,12.00,1006.49,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,28.50,09-12-2019,16:00:00,32.2,0.20,982.17,11.1,23.2,59,220,12.00,1008.40,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.25,09-12-2019,16:00:00,33.0,0.70,986.51,7.4,23.7,58,270,15.00,1007.82,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.65,09-12-2019,16:00:00,30.8,1.30,985.18,0.0,23.9,67,000,10.00,1008.97,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.22,09-12-2019,16:00:00,32.4,0.01,973.47,3.7,22.5,56,210,10.00,1007.29,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.81,09-12-2019,16:00:00,32.5,0.00,980.86,0.0,23.4,59,000,10.00,1007.85,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.82,09-12-2019,16:00:00,32.1,0.00,974.60,5.6,21.6,54,240,12.00,1007.54,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.96,09-12-2019,16:00:00,31.8,1.10,989.53,3.7,24.1,64,180,12.00,1007.72,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.71,09-12-2019,16:00:00,33.5,0.00,985.04,0.0,22.8,54,000,10.00,1007.35,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.28,09-12-2019,16:00:00,33.0,0.01,978.22,0.0,22.5,54,000,12.00,1007.47,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.49,09-12-2019,16:00:00,31.5,0.80,972.81,0.0,24.4,66,000,8.00,1007.72,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.79,09-12-2019,16:00:00,32.0,0.00,977.56,7.4,24.0,63,290,15.00,1006.72,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.79,09-12-2019,16:00:00,31.7,0.60,1001.23,0.0,22.8,59,000,11.00,1008.44,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,34.36,09-12-2019,16:00:00,34.0,0.00,987.01,9.3,26.4,65,250,20.00,1006.43,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,26.83,09-12-2019,16:00:00,32.2,0.01,978.79,11.1,22.2,56,340,15.00,1006.92,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.83,09-12-2019,16:00:00,33.0,22.20,987.21,7.4,24.0,59,310,18.00,1006.98,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.28,09-12-2019,16:00:00,33.0,0.60,986.16,3.7,24.8,62,330,15.00,1007.46,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,28.12,09-12-2019,16:00:00,33.0,0.30,987.47,7.4,23.0,56,340,15.00,1006.55,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.91,09-12-2019,16:00:00,32.2,0.00,990.36,3.7,24.0,62,210,13.00,1006.81,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.38,09-12-2019,16:00:00,33.1,0.00,990.06,3.7,25.4,64,080,12.00,1007.11,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.10,09-12-2019,16:00:00,31.3,3.10,980.89,7.4,25.2,70,270,15.00,1006.27,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.41,09-12-2019,16:00:00,31.6,0.60,1002.23,3.7,24.3,65,240,10.00,1007.94,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.49,09-12-2019,16:00:00,31.5,0.10,1001.95,0.0,24.4,66,000,12.00,1008.06,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,28.66,09-12-2019,16:00:00,32.0,0.40,992.00,0.0,23.3,60,000,12.00,1008.18,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.21,09-12-2019,16:00:00,30.0,3.00,986.11,9.3,21.9,62,240,10.00,1008.23,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.22,09-12-2019,16:00:00,32.4,0.00,994.55,11.1,22.5,56,260,8.00,1008.71,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.83,09-12-2019,16:00:00,33.0,2.00,991.71,0.0,24.0,59,000,7.00,1007.79,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,28.51,09-12-2019,16:00:00,31.5,0.10,1003.45,11.1,23.2,62,280,10.00,1008.61,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.52,09-12-2019,16:00:00,32.0,0.00,993.54,0.0,24.9,66,000,12.00,1006.51,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.21,09-12-2019,16:00:00,32.7,0.20,999.22,5.6,23.7,59,280,12.00,1008.39,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.56,09-12-2019,16:00:00,32.8,0.10,986.09,11.1,23.3,57,300,10.00,1007.37,0.00
